iter	Passed	Remaining
420	2584	3554
421	2590	3548
422	2599	3546
423	2605	3539
424	2615	3538
425	2622	3533
426	2631	3531
427	2638	3525
428	2647	3524
429	2654	3518
430	2665	3519
431	2672	3513
432	2681	3511
433	2687	3505
434	2696	3502
435	2703	3497
436	2712	3494
437	2719	3489
438	2727	3484
439	2732	3477
440	2740	3474
441	2749	3471
442	2756	3465
443	2765	3462
444	2770	3455
445	2779	3451
446	2784	3445
447	2793	3441
448	2801	3437
449	2815	3440
450	2823	3437
451	2831	3432
452	2837	3426
453	2846	3422
454	2851	3415
455	2860	3412
456	2866	3406
457	2874	3401
458	2881	3395
459	2888	3390
460	2897	3388
461	2905	3383
462	2913	3379
463	2920	3373
464	2925	3365
465	2930	3358
466	2937	3352
467	2943	3346
468	2978	3372
469	2986	3368
470	2993	3362
471	2999	3354
472	3004	3347
473	3009	3339
474	3015	3333
475	3021	3325
476	3025	3317
477	3032	3311
478	3040	3307
479	3048	3302
480	3053	3294
481	3059	3287
482	3065	3281
483	3070	3273
484	3076	3266
485	3082	3259
486	3087	3252
487	3092	3244
488	3098	3237
489	3103	3229
490	3108	3222
491	3115	3216
492	3120	3209
493	3126	3202
494	3132	3195
495	3137	3188
496	3143	3180
497	3148	3173
498	3153	3166
499	3159	3159
500	3164	3152
501	3170	3145
502	3175	3138
503	3182	3131
504	3188	3125
505	3194	3118
506	3199	3111
507	3205	3104
508	3210	3097
509	3215	3089
510	3220	3081
511	3226	3074
512	3231	3067
513	3236	3060
514	3242	3053
515	3247	3045
516	3252	3038
517	3257	3031
518	3263	3024
519	3269	3017
520	3274	3010
521	3280	3003
522	3285	2996
523	3291	2989
524	3296	2982
525	3302	2975
526	3307	2968
527	3312	2961
528	3318	2954
529	3323	2947
530	3328	2940
531	3334	2933
532	3342	2928
533	3348	2922
534	3357	2918
535	3365	2913
536	3374	2909
537	3381	2904
538	3390	2899
539	3396	2893
540	3404	2888
541	3412	2883
542	3420	2878
543	3428	2873
544	3439	2871
545	3447	2866
546	3454	2861
547	3461	2855
548	3467	2848
549	3474	2842
550	3486	2841
551	3495	2837
552	3504	2832
553	3510	2826
554	3517	2820
555	3523	2813
556	3528	2806
557	3534	2799
558	3540	2792
559	3545	2785
560	3550	2778
561	3556	2771
562	3561	2764
563	3566	2757
564	3573	2750
565	3578	2743
566	3584	2737
567	3589	2729
568	3594	2722
569	3599	2715
570	3605	2708
571	3610	2701
572	3616	2694
573	3621	2687
574	3626	2680
575	3631	2673
576	3636	2666
577	3643	2659
578	3648	2652
579	3653	2645
580	3659	2638
581	3664	2632
582	3669	2624
583	3675	2618
584	3681	2611
585	3686	2604
586	3691	2597
587	3697	2590
588	3702	2583
589	3708	2577
590	3714	2570
591	3719	2563
592	3724	2556
593	3731	2550
594	3736	2543
595	3741	2536
596	3747	2529
597	3752	2522
598	3758	2516
599	3764	2509
600	3769	2502
601	3774	2495
602	3780	2489
603	3785	2482
604	3791	2475
605	3797	2468
606	3802	2461
607	3807	2454
608	3813	2448
609	3819	2441
610	3824	2434
611	3829	2427
612	3834	2420
613	3839	2414
614	3845	2407
615	3850	2400
616	3855	2393
617	3861	2386
618	3868	2380
619	3874	2374
620	3879	2367
621	3884	2360
622	3889	2353
623	3895	2347
624	3900	2340
625	3905	2333
626	3911	2326
627	3916	2319
628	3921	2313
629	3927	2306
630	3932	2299
631	3937	2292
632	3943	2286
633	3948	2279
634	3955	2273
635	3991	2284
636	3997	2277
637	4004	2272
638	4011	2266
639	4019	2260
640	4025	2254
641	4031	2248
642	4038	2241
643	4043	2235
644	4048	2228
645	4054	2221
646	4059	2214
647	4065	2208
648	4071	2201
649	4076	2194
650	4081	2187
651	4086	2181
652	4092	2174
653	4097	2167
654	4103	2161
655	4108	2154
656	4113	2147
657	4119	2141
658	4124	2134
659	4130	2127
660	4135	2121
661	4141	2114
662	4146	2107
663	4151	2100
664	4157	2094
665	4163	2087
666	4168	2081
667	4174	2074
668	4179	2068
669	4185	2061
670	4190	2054
671	4195	2047
672	4200	2041
673	4206	2034
674	4211	2027
675	4216	2021
676	4221	2014
677	4227	2007
678	4232	2000
679	4237	1994
680	4243	1987
681	4248	1981
682	4253	1974
683	4259	1967
684	4264	1961
685	4270	1954
686	4275	1947
687	4280	1941
688	4285	1934
689	4291	1927
690	4296	1921
691	4301	1914
692	4308	1908
693	4313	1901
694	4318	1895
695	4324	1888
696	4329	1882
697	4335	1875
698	4340	1869
699	4346	1862
700	4351	1856
701	4356	1849
702	4362	1843
703	4367	1836
704	4372	1829
705	4377	1823
706	4383	1816
707	4389	1810
708	4394	1803
709	4399	1797
710	4406	1790
711	4413	1785
712	4419	1778
713	4426	1773
714	4433	1767
715	4439	1760
716	4447	1755
717	4460	1751
718	4466	1745
719	4472	1739
720	4479	1733
721	4485	1727
722	4491	1720
723	4497	1714
724	4502	1707
725	4508	1701
726	4513	1694
727	4518	1688
728	4524	1681
729	4530	1675
730	4535	1669
731	4541	1662
732	4546	1656
733	4551	1649
734	4556	1642
735	4562	1636
736	4567	1629
737	4573	1623
738	4578	1616
739	4583	1610
740	4588	1603
741	4593	1597
742	4599	1590
743	4605	1584
744	4610	1578
745	4615	1571
746	4620	1564
747	4626	1558
748	4631	1552
749	4636	1545
750	4641	1539
751	4647	1532
752	4652	1526
753	4657	1519
754	4663	1513
755	4668	1506
756	4675	1500
757	4680	1494
758	4685	1487
759	4690	1481
760	4696	1474
761	4701	1468
762	4706	1461
763	4711	1455
764	4717	1449
765	4722	1442
766	4727	1436
767	4733	1429
768	4738	1423
769	4743	1416
770	4750	1410
771	4755	1404
772	4760	1397
773	4765	1391
774	4771	1385
775	4776	1378
776	4781	1372
777	4786	1365
778	4791	1359
779	4797	1353
780	4802	1346
781	4807	1340
782	4813	1333
783	4819	1327
784	4824	1321
785	4830	1315
786	4835	1308
787	4841	1302
788	4847	1296
789	4852	1289
790	4857	1283
791	4863	1277
792	4868	1270
793	4873	1264
794	4879	1258
795	4884	1251
796	4890	1245
797	4896	1239
798	4901	1232
799	4906	1226
800	4912	1220
801	4918	1214
802	4923	1207
803	4928	1201
804	4934	1195
805	4940	1189
806	4946	1183
807	4952	1176
808	4958	1170
809	4966	1165
810	4974	1159
811	5021	1162
812	5029	1156
813	5035	1150
814	5045	1145
815	5051	1139
816	5057	1132
817	5063	1126
818	5068	1120
819	5074	1113
820	5080	1107
821	5085	1101
822	5091	1094
823	5096	1088
824	5102	1082
825	5107	1076
826	5113	1069
827	5119	1063
828	5125	1057
829	5130	1050
830	5136	1044
831	5141	1038
832	5147	1031
833	5152	1025
834	5158	1019
835	5163	1012
836	5169	1006
837	5174	1000
838	5179	993
839	5184	987
840	5190	981
841	5197	975
842	5202	968
843	5207	962
844	5213	956
845	5219	950
846	5224	943
847	5230	937
848	5236	931
849	5241	924
850	5247	918
851	5252	912
852	5257	906
853	5262	899
854	5269	893
