iter	RMSE
0	98.0651231
1	97.15579533
2	96.32019163
3	95.4213594
4	94.57520334
5	93.7468148
6	93.02798754
7	92.3065265
8	91.64029754
9	90.80596459
10	90.12126449
11	89.51006297
12	88.914038
13	88.29230286
14	87.66160163
15	87.08786592
16	86.54207328
17	85.96121842
18	85.45827306
19	85.02893368
20	84.61266711
21	84.09733728
22	83.65623671
23	83.26394018
24	82.84240903
25	82.4029555
26	82.00730073
27	81.63202165
28	81.22221056
29	80.81177094
30	80.45178683
31	80.08221229
32	79.70990534
33	79.37268887
34	79.03017123
35	78.71481525
36	78.41644561
37	78.15979405
38	77.83453682
39	77.550058
40	77.24305996
41	77.01029407
42	76.75833687
43	76.51620877
44	76.30583432
45	76.09214056
46	75.88482043
47	75.68623438
48	75.42997458
49	75.21291095
50	74.99627818
51	74.80792554
52	74.62951122
53	74.36681986
54	74.17776289
55	73.96833525
56	73.79747304
57	73.62937355
58	73.45235963
59	73.2849805
60	73.11182485
61	72.96391224
62	72.77959125
63	72.61444433
64	72.44697682
65	72.29676714
66	72.14026914
67	71.97658574
68	71.77188215
69	71.60801802
70	71.45147749
71	71.34452124
72	71.23078414
73	71.04597198
74	70.85239094
75	70.71281604
76	70.59660254
77	70.49288822
78	70.37076396
79	70.26680633
80	70.11681881
81	70.01381024
82	69.88916227
83	69.80957892
84	69.71642747
85	69.62313433
86	69.5013913
87	69.41572716
88	69.24526591
89	69.12485011
90	69.0634828
91	68.86948951
92	68.7963124
93	68.72071128
94	68.5138603
95	68.41912009
96	68.35004329
97	68.25180191
98	68.17253223
99	68.06992811
100	67.99193878
101	67.90739951
102	67.77212603
103	67.71098438
104	67.60967876
105	67.51160693
106	67.45661591
107	67.39302867
108	67.29287043
109	67.20509126
110	67.10900416
111	67.00242475
112	66.95247591
113	66.87914826
114	66.78208361
115	66.71272692
116	66.61466207
117	66.48188262
118	66.40368106
119	66.35089417
120	66.26287716
121	66.21025364
122	66.10267296
123	66.04026816
124	65.95672518
125	65.87435218
126	65.79823971
127	65.74898407
128	65.67119398
129	65.64000961
130	65.57791653
131	65.5042738
132	65.40977639
133	65.35325087
134	65.22939879
135	65.1624267
136	65.03434035
137	65.01242969
138	64.94938175
139	64.8476153
140	64.74891904
141	64.69755564
142	64.52843699
143	64.48452793
144	64.40953577
145	64.26828
146	64.17222784
147	64.11491394
148	64.05024836
149	63.9767923
150	63.92407272
151	63.88842846
152	63.81227667
153	63.75668302
154	63.70183628
155	63.55903952
156	63.50488113
157	63.47766332
158	63.39997103
159	63.34439997
160	63.27758751
161	63.1828614
162	63.11765429
163	63.05954023
164	62.97595513
165	62.86595026
166	62.79847476
167	62.65347237
168	62.61385818
169	62.56284331
170	62.51254473
171	62.45044608
172	62.41083781
173	62.38263676
174	62.3074326
175	62.24009076
176	62.15896936
177	62.11385457
178	62.05072035
179	61.95276195
180	61.89466876
181	61.87181483
182	61.82322948
183	61.74916608
184	61.71713773
185	61.66752366
186	61.57307807
187	61.52043876
188	61.47328312
189	61.4229838
190	61.34864559
191	61.30116602
192	61.26748583
193	61.23286488
194	61.06391523
195	61.02251609
196	60.89589793
197	60.85898731
198	60.78423237
199	60.74875409
200	60.70151545
201	60.5607437
202	60.47465956
203	60.3094098
204	60.23217437
205	60.17041764
206	60.13535479
207	60.08878327
208	60.03106019
209	59.97281056
210	59.93680404
211	59.88974644
212	59.84817078
213	59.79918299
214	59.76697102
215	59.7086638
216	59.64504512
217	59.60245457
218	59.48838959
219	59.46305223
220	59.40126809
221	59.28164347
222	59.25005901
223	59.17759508
224	59.12692457
225	59.08149182
226	59.03143059
227	58.97689923
228	58.93977573
229	58.88582505
230	58.84445948
231	58.81271952
232	58.75555489
233	58.68602178
234	58.65033136
235	58.62994215
236	58.5938878
237	58.52162703
238	58.49397361
239	58.4604332
240	58.41823795
241	58.39043664
242	58.33390589
243	58.30894272
244	58.27634399
245	58.22839152
246	58.19940265
247	58.13443792
248	58.10448687
249	58.03380594
250	57.8816125
251	57.82827621
252	57.77767786
253	57.7469054
254	57.72452695
255	57.7080898
256	57.64729423
257	57.61081644
258	57.50878857
259	57.47200293
260	57.42979308
261	57.33849529
262	57.28986309
263	57.26176218
264	57.21824355
265	57.19361916
266	57.15748044
267	57.13209857
268	57.10091848
269	57.01532601
270	56.8817384
271	56.82702493
272	56.69738996
273	56.6755284
274	56.6420656
275	56.6099627
276	56.57184739
277	56.50491567
278	56.45747605
279	56.42102341
280	56.39321562
281	56.36281362
282	56.32582527
283	56.26894799
284	56.18053566
285	56.08147019
286	56.06161147
287	56.02427498
288	56.0055768
289	55.90116732
290	55.86228182
291	55.80140619
292	55.78942481
293	55.75784829
294	55.71917769
295	55.68500915
296	55.63414543
297	55.6092213
298	55.59266858
299	55.55000933
300	55.53154998
301	55.49143163
302	55.4573529
303	55.3914834
304	55.36336085
305	55.33852961
306	55.27898761
307	55.23075448
308	55.17956822
309	55.16284265
310	55.14236413
311	55.11049918
312	55.00531995
313	54.99074516
314	54.94658996
315	54.92818451
316	54.90293456
317	54.88071155
318	54.84646419
319	54.81605454
320	54.81119593
321	54.78005367
322	54.74592065
323	54.72861721
324	54.71310773
325	54.68725895
326	54.64989795
327	54.63448787
328	54.61085657
329	54.57597997
330	54.56499477
331	54.50565736
332	54.46907679
333	54.45026427
334	54.36756118
335	54.34263119
336	54.32497021
337	54.30674825
338	54.18260547
339	54.14482248
340	54.11447866
341	54.09087494
342	54.03107505
343	54.00640095
344	53.96564235
345	53.91495362
346	53.89082843
347	53.87877005
348	53.85492327
349	53.8329486
350	53.78821462
351	53.77681071
352	53.73885766
353	53.69689791
354	53.64192691
355	53.62511421
356	53.49855863
357	53.42150512
358	53.37301622
359	53.28635482
360	53.26559789
361	53.23193899
362	53.16827662
363	53.14728479
364	53.09454309
365	53.07266118
366	53.040287
367	53.01974625
368	53.00871935
369	52.98049654
370	52.95444394
371	52.9162985
372	52.87255192
373	52.83715453
374	52.77095978
375	52.73826981
376	52.65708033
377	52.58027485
378	52.53298697
379	52.51780547
380	52.4862679
381	52.47304901
382	52.40508753
383	52.37213758
384	52.31349536
385	52.23233237
386	52.19078596
387	52.18053088
388	52.15404259
389	52.09846759
390	52.06443645
391	52.0415342
392	51.99550022
393	51.98059941
394	51.9413502
395	51.93254684
396	51.87629694
397	51.82847292
398	51.78239421
399	51.74213798
400	51.73404434
401	51.70628738
402	51.68497036
403	51.66492853
404	51.6305698
405	51.56524532
406	51.53803324
407	51.49793476
408	51.4493531
409	51.44555853
410	51.44163725
411	51.42914955
412	51.39240461
413	51.35399228
414	51.32115164
415	51.31509869
416	51.25768656
417	51.24056276
418	51.21783509
419	51.19678248
420	51.11643036
421	51.08809821
422	51.03813394
423	51.01897874
424	50.99414428
425	50.98148894
426	50.97621625
427	50.97251247
428	50.95128093
429	50.91232775
430	50.87975659
431	50.84311652
432	50.81666698
433	50.79141011
434	50.78803378
435	50.78313287
436	50.74559633
437	50.68514812
438	50.65256043
439	50.61992934
440	50.58117471
441	50.52397141
442	50.47598224
443	50.471231
444	50.45318265
445	50.44200007
446	50.40506758
447	50.38595029
448	50.36631293
