id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
129278,Villa with terrace in Venice Lido,485439,Elisabetta,Isole,Lido,45.40562,12.36547,Entire home/apt,300,13,7,2017-10-30,0.06,2,347
130605,Sweet dreams,642936,Maria,Isole,Santa Croce,45.439987,12.322111,Private room,78,2,255,2019-09-20,2.36,2,358
131244,Giardino dei Melograni  Economy Room,630328,Kosher House,Isole,Cannaregio,45.44487,12.32642,Hotel room,90,1,29,2019-11-11,0.31,23,326
131822,Giardino dei Melograni triple room,630328,Kosher House,Isole,Cannaregio,45.44634,12.32597,Hotel room,140,1,7,2013-07-21,0.08,23,336
131895,Giardino dei Melograni DUS,630328,Kosher House,Isole,Cannaregio,45.44494,12.32759,Hotel room,90,1,8,2015-08-13,0.07,23,320
131939,Giardino dei Melograni family room,630328,Kosher House,Isole,Cannaregio,45.44601,12.32668,Hotel room,200,1,2,2016-10-23,0.02,23,334
134035,HAPPY AND LUMINOUS FLAT IN VENICE WITH TERRACE,653451,Sara,Isole,Castello,45.43438,12.34683,Entire home/apt,87,2,66,2018-10-29,0.55,1,330
136713,Ca' Del Mercante Grand Canal with Roof Terrace,669047,Viewsonvenice,Isole,San Polo,45.43556,12.327,Entire home/apt,678,3,60,2019-08-29,0.94,75,92
137087,"Charming & Bohémienne, a cozy stay in San Marco",264845,Ilaria,Isole,Castello,45.43655,12.34655,Entire home/apt,124,2,86,2020-01-03,0.79,1,225
137304,"""BOUDOIR"" IN10 MINUTES FROM VENICE",671512,Zoia,Terraferma,Altobello,45.48554,12.24628,Private room,58,1,117,2017-10-29,1.06,1,363
139786,Ca' Grassi 2 Charme Apartment,669047,Viewsonvenice,Isole,San Marco,45.43452,12.32931,Entire home/apt,242,3,23,2019-10-12,0.20,75,344
139802,Ca' Grassi 1 Apartment for 4/5 Guests,669047,Viewsonvenice,Isole,San Marco,45.43314,12.32859,Entire home/apt,274,3,42,2019-10-21,0.41,75,335
140197,Nido D'Amore- Zona: Rialto,683035,Paola,Isole,San Polo,45.43919,12.33397,Entire home/apt,76,1,682,2021-07-14,5.66,1,295
142085,Widmann apartment in Venice centre,1878243,Elisabetta,Isole,Cannaregio,45.44018,12.33788,Entire home/apt,55,2,336,2021-01-07,2.88,3,0
145324,Double room with a View of the city,703872,Leonardo E Irene,Isole,Cannaregio,45.44285,12.34019,Private room,61,1,418,2019-10-27,3.52,3,161
145631,My Casa Allegra Venice Mestre Private Studio!,704911,Alessandra,Terraferma,Villaggio San Marco,45.4832,12.2586,Private room,50,2,609,2019-07-30,4.99,1,0
146821,Ca' dell' Ambasciatore Venezia,709828,Roberto,Isole,Castello,45.43265,12.35169,Entire home/apt,333,3,115,2019-10-09,1.14,2,186
148299,ARABESQUE- DAMASCO 4 PERSONS,716234,Paola,Isole,Castello,45.43601,12.34373,Hotel room,140,2,25,2019-04-16,0.33,3,337
148794,house of 500 canal view: a true Venetian feel,685618,Luisa,Isole,Cannaregio,45.44338,12.33133,Entire home/apt,90,2,167,2020-03-01,1.54,1,297
149749,"Venice, newly restored unit-apartm.",722130,Maddalena,Isole,Cannaregio,45.44087,12.34119,Entire home/apt,80,1,249,2021-06-20,2.27,2,175
155015,nice and cozy open space apartment,745553,Rosanna E Francesca,Isole,Santa Croce,45.44085,12.32833,Entire home/apt,115,3,276,2020-01-02,2.52,6,330
156728,Regina d'Oriente,745553,Rosanna E Francesca,Isole,Santa Croce,45.44019,12.33174,Entire home/apt,130,3,205,2020-01-10,1.99,6,345
160017,"Venice: house in the green, wi-fi",767044,Elisabetta,Terraferma,Bissuola,45.49859,12.2654,Entire home/apt,80,1,116,2018-06-22,1.50,1,306
160426,Bright apartment in Venice with canal view,766256,Laura,Isole,Dorsoduro,45.4341,12.3211,Entire home/apt,139,2,300,2019-08-31,2.66,2,283
165705,ARABESQUE DJERBA 1 PERS.IN VENICE,716234,Paola,Isole,Castello,45.43712,12.34393,Hotel room,75,2,148,2019-09-18,1.28,3,310
166381,Ca' Barba B&B: room n101,214390,Alessandro,Isole,San Polo,45.43996,12.33265,Hotel room,63,2,301,2021-07-09,3.54,4,321
167145,Special apartment for loving people,796717,Nicola,Isole,San Marco,45.43405,12.33528,Entire home/apt,84,2,163,2021-07-30,1.37,1,234
167168,Ca 'Barba FLAT - Rialto,214390,Alessandro,Isole,Santa Croce,45.43986,12.33153,Entire home/apt,338,4,12,2019-01-03,0.15,4,364
170523,"Wi-Fi Venice Home: only 2 persons, loving",813513,Mara,Terraferma,Carpenedo,45.49772,12.24932,Entire home/apt,49,5,182,2019-09-07,1.58,2,345
175509,Guest House BELLA ONDA (3x triple),848085,Valentina,Terraferma,Tessera,45.50346,12.3262,Hotel room,135,1,33,2020-01-24,0.46,5,363
184374,ARABESQUE MARRAKESH DOUBLE VENICE,716234,Paola,Isole,Castello,45.4354,12.34194,Hotel room,120,2,71,2017-06-05,0.59,3,317
202466,VIVALDI CANAL VIEW - BIENNALE & VIA GARIBALDI,334601,Valentina,Isole,Castello,45.43252,12.3561,Entire home/apt,111,2,153,2019-07-12,1.29,3,338
208801,Bright apartment in the heat of Venice with WIFI,1028258,Sandra,Isole,Castello,45.43798,12.33922,Entire home/apt,60,3,456,2019-11-10,3.94,2,0
217591,Royal Apartments Ca' Pierre,1123859,Lorenzo,Isole,Castello,45.43767,12.34657,Entire home/apt,180,1,38,2015-10-22,0.32,1,278
218393,Wi-Fi Venice Little Garden: only 1 person,813513,Mara,Terraferma,San Lorenzo XXV Aprile,45.49713,12.24943,Entire home/apt,39,5,196,2019-11-27,1.64,2,329
220238,Large apartment for 4,693554,Valentina,Isole,Castello,45.43275,12.35308,Entire home/apt,153,3,213,2021-05-31,1.89,1,183
234465,Sunny house Venice,1227993,Giorgio,Isole,Dorsoduro,45.43379,12.32053,Entire home/apt,110,3,42,2019-10-14,0.86,2,339
236585,lovely apartment Venice Lido with terrace,1240373,Francy,Isole,Lido,45.41637,12.37402,Entire home/apt,108,3,169,2019-04-08,1.50,1,81
238362,Villa aiTigli Room 1 with bathroom: up to 4 Pax,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Hotel room,66,1,81,2019-12-27,1.08,6,341
238374,Villa aiTigli Room 2 with bathroom: up to 5 Pax,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Private room,66,1,100,2019-06-29,1.36,6,347
238380,Villa ai Tigli - Room 3 - 3 Pax,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Private room,66,1,64,2019-11-02,0.59,6,318
238383,Villa aiTigli-Room 4-Bathroom in Room-Disabilities,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Private room,66,1,86,2018-10-31,1.29,6,343
238960,CA' DOLCE *stunning Channel Views* Free wi-fi :-),283131,Anunxiata,Isole,Cannaregio,45.44196,12.33683,Entire home/apt,850,3,129,2019-10-12,1.35,4,365
242296,blacksmith's hearth,1271580,Adriana,Isole,Cannaregio,45.44641,12.32318,Entire home/apt,98,3,260,2019-10-10,2.30,1,346
247270,Venice Apartments in Mestre,1296429,Tiziana,Terraferma,Chirignago,45.48641,12.19883,Entire home/apt,105,4,154,2019-07-28,1.54,2,309
256874,"b&b S.Marco Venice, canal view room",1351366,Marco E Alice,Isole,Castello,45.43625,12.3456,Private room,106,3,25,2018-11-05,0.29,2,320
260204,Conceptual Devices Apartment 2,1365288,Antonio,Isole,Santa Croce,45.44214,12.32914,Entire home/apt,85,5,155,2018-05-29,1.33,2,337
260487,Waterfront Retreat in Renovated Historic Building,1366623,Ivana,Isole,Giudecca,45.42833,12.31972,Entire home/apt,130,1,308,2021-07-22,2.72,1,150
261432,Rooftop Studio in Cannaregio (CDA1),1365288,Antonio,Isole,Santa Croce,45.4424,12.32759,Entire home/apt,58,5,143,2018-09-04,1.21,2,339
261640,balcony canal view central Venice,1351366,Marco E Alice,Isole,Castello,45.43627,12.34559,Private room,98,3,54,2017-08-07,0.65,2,309
