link,address,geo_location,services,open_hours,prices
https://holtankoljak.net/omv_budapest_xv_alkotmanyut14-20,"Budapest XV, Alkotmány út 14-20.","47.54449844,19.11610031","['Étterem', ' nagynyomású kútoszlop', ' ABC', ' UTA-kártya', ' bankkártya elfogadás', ' autópálya-matrica nemzetközi', ' porszívó', ' kézi autómosó', ' autópálya-matrica', ' shop', ' büfé', ' DKV-kártya', ' hűségkártya', ' kávé', ' kenőolaj', ' keréknyomás mérő', ' pontgyűjtő kártya', ' WC', ' Wifi', '']","['Hétfő:06:00 - 19:00', '\t\t\tKedd:06:00 - 19:00', '\t\t\tSzerda:06:00 - 19:00', '\t\t\tCsütörtök:06:00 - 19:00', '\t\t\tPéntek:06:00 - 19:00', '\t\t\tSzombat:06:00 - 19:00', '\t\t\tVasárnap:06:00 - 19:00']","{'Prémium Gázolaj': '758.9,- Ft', 'Gázolaj': '699.9,- Ft', '95-ös Benzin E10': '648.8,- Ft', '100-As Benzin E5': '688.9,- Ft', 'Prémium Benzin E10': '664.9,- Ft', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '479.9,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '479.9,- Ft'}"
https://holtankoljak.net/omv_budapest_xvi_szabadfoldiut1,"Budapest XVI, Szabadföldi út 1.","47.51746750,19.21430016","['gépi autómosó', ' autópálya-matrica', ' bankkártya elfogadás', ' nagynyomású kútoszlop', ' porszívó', ' shop', ' UTA-kártya', ' Étterem', ' büfé', ' DKV-kártya', ' hűségkártya', ' kávé', ' kenőolaj', ' keréknyomás mérő', ' pontgyűjtő kártya', ' WC', ' Wifi', '']","['Hétfő:05:00 - 22:00', '\t\t\tKedd:05:00 - 22:00', '\t\t\tSzerda:05:00 - 22:00', '\t\t\tCsütörtök:05:00 - 22:00', '\t\t\tPéntek:05:00 - 22:00', '\t\t\tSzombat:05:00 - 22:00', '\t\t\tVasárnap:05:00 - 22:00']","{'Gázolaj': '699.9,- Ft', 'Prémium Gázolaj': '758.9,- Ft', '95-ös Benzin E10': '648.8,- Ft', '100-As Benzin E5': '688.9,- Ft', 'Prémium Benzin E10': '664.9,- Ft', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '479.9,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '479.9,- Ft'}"
https://holtankoljak.net/avia_andocs_adyendreu2065hrsz,"Andocs, Ady Endre u. 206/5 hrsz.","46.65277863,17.92484665","['mobiltelefon egyenlegfeltöltés', ' keréknyomás mérő', ' bankkártya elfogadás', ' autópálya-matrica', ' PB-gáz', '']","['Hétfő:06:00 - 19:00', '\t\t\tKedd:06:00 - 19:00', '\t\t\tSzerda:06:00 - 19:00', '\t\t\tCsütörtök:06:00 - 19:00', '\t\t\tPéntek:06:00 - 19:00', '\t\t\tSzombat:06:00 - 13:00', '\t\t\tVasárnap:0-24 óráig']","{'Gázolaj': '735.0,- Ft', '100-As Benzin E5': '697.0,- Ft', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '479.9,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '479.9,- Ft'}"
https://holtankoljak.net/oil!_szentes_alsoret258,"Szentes, Alsórét 258.","46.66593170,20.23382187","['bankkártya elfogadás', ' autópálya-matrica', ' kávé', ' keréknyomás mérő', ' mobiltelefon egyenlegfeltöltés', ' PB-gáz', ' porszívó', ' shop', ' WC', '']","['Hétfő:0-24 óráig', '\t\t\tKedd:0-24 óráig', '\t\t\tSzerda:0-24 óráig', '\t\t\tCsütörtök:0-24 óráig', '\t\t\tPéntek:0-24 óráig', '\t\t\tSzombat:0-24 óráig', '\t\t\tVasárnap:0-24 óráig']","{'Gázolaj': '690.9,- Ft', '95-ös Benzin E10': '631.9,- Ft'}"
https://holtankoljak.net/magan_kut_ivancsa_hunyadiutca7821,"Iváncsa, Hunyadi utca 782/1. ","47.17221832,18.81462097","['bankkártya elfogadás', ' kávé', ' kenőolaj', ' keréknyomás mérő', ' kézi autómosó', ' shop', ' AdBlue kannás', ' WC', ' Wifi', '']","['Hétfő:06:00 - 20:00', '\t\t\tKedd:06:00 - 20:00', '\t\t\tSzerda:06:00 - 20:00', '\t\t\tCsütörtök:06:00 - 20:00', '\t\t\tPéntek:06:00 - 20:00', '\t\t\tSzombat:06:00 - 20:00', '\t\t\tVasárnap:06:00 - 18:00']","{'95-ös Benzin E10': 'Nem ismert', 'Gázolaj': 'Nem ismert', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft'}"
https://holtankoljak.net/tele-tank_nagyharsany_beremendiut,"Nagyharsány, Beremendi út","45.84611893,18.39250565","['Wifi', ' WC', ' shop', ' PB-gáz', ' nagynyomású kútoszlop', ' mobiltelefon egyenlegfeltöltés', ' keréknyomás mérő', ' kenőolaj', ' kávé', ' Ingyenes parkolás', ' HU-GO feltöltés', ' büfé', ' bankkártya elfogadás', ' autópálya-matrica nemzetközi', ' autópálya-matrica', '']","['Hétfő:06:00 - 18:00', '\t\t\tKedd:06:00 - 18:00', '\t\t\tSzerda:06:00 - 18:00', '\t\t\tCsütörtök:06:00 - 18:00', '\t\t\tPéntek:06:00 - 18:00', '\t\t\tSzombat:06:00 - 13:00', '\t\t\tVasárnap:0-24 óráig']","{'95-ös Benzin E10': '656.9,- Ft', 'Gázolaj': '716.9,- Ft', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft'}"
https://holtankoljak.net/omv_veszprem_budapestiut12,"Veszprém, Budapesti út 12.","47.09457016,17.91669464","['nagynyomású kútoszlop', ' ABC', ' UTA-kártya', ' bankkártya elfogadás', ' autópálya-matrica nemzetközi', ' porszívó', ' autópálya-matrica', ' gépi autómosó', ' shop', ' kávé', ' büfé', ' mobiltelefon egyenlegfeltöltés', ' DKV-kártya', ' hűségkártya', ' kenőolaj', ' keréknyomás mérő', ' pontgyűjtő kártya', ' WC', ' Wifi', '']","['Hétfő:0-24 óráig', '\t\t\tKedd:0-24 óráig', '\t\t\tSzerda:0-24 óráig', '\t\t\tCsütörtök:0-24 óráig', '\t\t\tPéntek:0-24 óráig', '\t\t\tSzombat:0-24 óráig', '\t\t\tVasárnap:0-24 óráig']","{'Prémium Gázolaj': '758.9,- Ft', '100-As Benzin E5': '688.9,- Ft', 'Gázolaj': '699.9,- Ft', '95-ös Benzin E10': '648.8,- Ft', 'Prémium Benzin E10': '664.9,- Ft', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '479.9,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '479.9,- Ft'}"
https://holtankoljak.net/mol_parad_24szfklut,"Parád, 24.sz. fkl. út","47.92427826,20.06736946","['nagynyomású kútoszlop', ' UTA-kártya', ' kávé', ' bankkártya elfogadás', ' hűségkártya', ' mobiltelefon egyenlegfeltöltés', ' kézi autómosó', ' autópálya-matrica', ' shop', '']","['Hétfő:06:00 - 21:00', '\t\t\tKedd:06:00 - 21:00', '\t\t\tSzerda:06:00 - 21:00', '\t\t\tCsütörtök:06:00 - 21:00', '\t\t\tPéntek:06:00 - 21:00', '\t\t\tSzombat:06:00 - 21:00', '\t\t\tVasárnap:06:00 - 21:00']","{'100-As Benzin E5': '702.0,- Ft', '95-ös Benzin E10': '665.0,- Ft', 'Gázolaj': '726.0,- Ft', 'Prémium Gázolaj': '781.0,- Ft', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft'}"
https://holtankoljak.net/oil_bonyhad_kulterulet03227hrsz6szfout,"Bonyhád, Külterület 032/27. hrsz. 6 sz. főút","46.29481506,18.53870010","['WC', ' shop', ' porszívó', ' PB-gáz', ' mobiltelefon egyenlegfeltöltés', ' kézi autómosó', ' keréknyomás mérő', ' kávé', ' bankkártya elfogadás', ' autópálya-matrica', '']","['Hétfő:05:00 - 21:00', '\t\t\tKedd:05:00 - 21:00', '\t\t\tSzerda:05:00 - 21:00', '\t\t\tCsütörtök:05:00 - 21:00', '\t\t\tPéntek:05:00 - 21:00', '\t\t\tSzombat:05:00 - 21:00', '\t\t\tVasárnap:05:00 - 21:00']","{'Gázolaj': 'Nem ismert', '95-ös Benzin E10': 'Nem ismert', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft'}"
https://holtankoljak.net/mol_csongrad_szentesiut,"Csongrád, Szentesi út","46.70017624,20.14689255","['WC', ' kávé', ' bankkártya elfogadás', ' UTA-kártya', ' mobiltelefon egyenlegfeltöltés', ' hűségkártya', ' pékség', ' shop', ' autópálya-matrica', ' nagynyomású kútoszlop', ' Wifi', ' Gyógyszer', '']","['Hétfő:06:00 - 20:00', '\t\t\tKedd:06:00 - 20:00', '\t\t\tSzerda:06:00 - 20:00', '\t\t\tCsütörtök:06:00 - 20:00', '\t\t\tPéntek:06:00 - 20:00', '\t\t\tSzombat:06:00 - 20:00', '\t\t\tVasárnap:06:00 - 20:00']","{'100-As Benzin E5': '702.0,- Ft', 'Prémium Gázolaj': '781.0,- Ft', '95-ös Benzin E10': '665.0,- Ft', 'Gázolaj': '726.0,- Ft', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft'}"
