iter	RMSE
399	21452675.58
400	21442471.98
401	21435778.92
402	21417563.25
403	21405447.32
404	21397824.64
405	21376692.33
406	21355074.72
407	21342986.58
408	21320213.77
409	21311442.35
410	21293078.23
411	21284825.91
412	21269777.87
413	21244147.31
414	21234336.52
415	21221065.4
416	21202836.42
417	21194933.95
418	21183683.68
419	21163639.39
420	21152041.57
421	21140695.67
422	21130622.99
423	21118657.33
424	21101804.1
425	21090454.69
426	21077446.46
427	21070117.97
428	21065908.6
429	21048534.67
430	21024400.05
431	21013564.59
432	21000935.26
433	20989235.28
434	20972091.59
435	20968849.73
436	20954224.84
437	20941368.48
438	20921955.34
439	20909723.71
440	20904761.46
441	20887140.52
442	20881197.27
443	20866500.38
444	20852570.19
445	20847290.56
446	20842703.27
447	20834015.88
448	20824689.85
449	20806610.72
450	20790568.59
451	20778377.18
452	20770371.64
453	20763001.43
454	20757132.54
455	20748878.94
456	20739213.75
457	20726966.3
458	20713043.9
459	20692042.57
460	20678356.7
461	20667491.36
462	20647355.59
463	20641309.27
464	20634191.99
465	20627898.95
466	20622042.23
467	20617300.69
468	20606308.61
469	20591863.57
470	20573690.02
471	20565270.66
472	20555292.88
473	20546801.39
474	20541941.16
475	20528766.99
476	20518075.24
477	20506422.37
478	20496188.64
479	20492161.47
480	20486473.01
481	20475929.63
482	20456108.34
483	20451944.87
484	20421807.88
485	20412172
486	20379574.14
487	20363758.7
488	20358786.13
489	20344810.22
490	20330645.74
491	20318362.64
492	20311754.81
493	20305574.14
494	20288553.68
495	20270057.38
496	20253960.82
497	20248687.17
498	20233366.53
499	20225614.27
500	20219389.07
501	20203304.98
502	20195990.56
503	20185882.93
504	20174768.07
505	20154187.9
506	20145838.97
507	20138211.75
508	20128225.3
509	20118271.32
510	20105041.62
511	20087343.39
512	20077720.34
513	20066976.11
514	20062163.26
515	20056949.57
516	20038945.74
517	20027422.47
518	20017017.5
519	20003047.33
520	19994208.32
521	19981413.48
522	19966966.93
523	19957657.5
524	19951891.08
525	19929033.42
526	19924948.29
527	19900376.96
528	19890292.43
529	19885844.59
530	19880877.97
531	19862601.75
532	19858493.77
533	19850693.08
534	19838527.95
535	19832393.41
536	19829497.62
537	19823259.17
538	19802376.24
539	19799160.64
540	19793723.84
541	19786364.32
542	19774326.71
543	19760231.65
544	19740690.95
545	19732150.34
546	19718174.82
547	19713847.45
548	19708196.25
549	19691139.71
550	19672560.79
551	19658388.52
552	19638366.4
553	19630245.86
554	19614646.69
555	19607988.19
556	19599889.64
557	19594207.62
558	19578803.41
559	19569716.74
560	19556725.35
561	19549735.89
562	19539373.83
563	19532438.36
564	19525564.75
565	19513629.55
566	19494788.63
567	19489655.52
568	19475901.37
569	19467744.69
570	19456537.59
571	19448050.84
572	19434045.53
573	19422997.38
574	19406483.04
575	19394417.22
576	19385234.18
577	19367643.83
578	19363808.81
579	19356802.51
580	19349574.18
581	19340745.44
582	19333693.48
583	19309883.19
584	19302599.18
585	19287627.23
586	19274555.46
587	19261800.58
588	19252437.5
589	19246778.08
590	19242367.21
591	19238480.4
592	19235177.95
593	19222182.79
594	19213974.48
595	19195536.58
596	19170213.57
597	19159807.36
598	19151465.83
599	19146664.39
600	19128891.28
601	19122666.47
602	19103855.31
603	19091775.83
604	19086266.11
605	19080219.8
606	19070099.93
607	19062505.83
608	19056185.09
609	19049306.15
610	19041381.73
611	19035968.73
612	19024086.85
613	19019654.79
614	19012031.62
615	19004876.26
616	18993032.93
617	18983049.54
618	18966996.15
619	18961977.98
620	18957474.64
621	18949528.98
622	18941997.13
623	18931544.04
624	18921058.66
625	18914328.39
626	18910200.33
627	18903019.67
628	18891264.24
629	18879751.2
630	18871780.94
631	18842356.58
632	18826783.98
