Síterep,Link,Régió,Parkoló,Hegytető,Sípályák hossza,Szintkülönbség,Liftek száma,Szezon eleje,Szezon vége,Távolság Budapesttől,Felnőtt napijegy ára,Húzólift,Kombilift,Kék,Piros,Fekete,Ülőlift,Nagykabinos lift,Kiskabinos lift,Vonat
Glungezer,https://sielok.hu/siterep/glungezer/,Tirol,950,2304,23.0,1354,6,2022.12.16.,2023.04.11.,723.0,42.0,3,1,6.5,15.5,1.0,1,0,1,0
Goldeck,https://sielok.hu/siterep/goldeck/,Karintia,547,2142,25.0,1595,5,2022.12.16.,2023.03.26.,587.0,47.0,2,0,8.0,8.5,8.5,2,0,1,0
Goldegg,https://sielok.hu/siterep/goldegg/,Salzburg,832,1225,5.0,393,3,,,557.0,45.0,3,0,4.0,1.0,0.0,0,0,0,0
Golm,https://sielok.hu/siterep/golm/,Vorarlberg,650,2100,26.7,1450,9,2022.12.08.,2023.04.16.,863.0,50.5,2,0,13.3,11.9,1.5,4,0,3,0
Golzentipp - Obertilliach,https://sielok.hu/siterep/obertilliach/,Tirol,1430,2248,12.2,818,5,2022.12.17.,2023.04.16.,659.0,43.0,4,0,3.4,7.8,1.0,0,0,1,0
Grebenzen - St. Lambrecht,https://sielok.hu/siterep/grebenzen/,Stájerország,1010,1870,12.2,860,9,2022.12.10.,2023.03.19.,450.0,47.0,7,0,2.9,9.0,0.3,1,0,1,0
Grossarltal - Dorfgastein,https://sielok.hu/siterep/grossarltal/,Salzburg,849,2033,63.2,1184,17,2022.12.08.,2023.04.15.,562.0,68.0,4,0,27.8,34.0,1.4,8,0,5,0
Grosseck - Speiereck,https://sielok.hu/siterep/grosseck/,Salzburg,1095,2400,50.0,1305,10,2022.12.08.,2023.04.10.,501.0,50.0,4,0,26.0,17.0,7.0,4,0,2,0
Grossglockner  Kals - Matrei,https://sielok.hu/siterep/grossglockner/,Tirol,1020,2422,44.6,1402,14,2022.12.08.,2023.04.10.,682.0,55.0,5,0,9.5,24.5,10.6,6,0,3,0
Grän - Füssener Jöchle,https://sielok.hu/siterep/gran/,Tirol,1150,1821,9.0,671,5,2022.12.16.,2023.04.10.,832.0,45.0,3,0,3.0,5.5,0.5,1,0,1,0
Hahnenkamm - Höfen - Reutte,https://sielok.hu/siterep/hahnenkamm-hofen/,Tirol,854,1900,16.0,1046,4,2022.12.17.,2023.04.02.,761.0,44.0,2,0,5.0,9.0,2.0,1,0,1,0
Harmanschlag - Arralifte,https://sielok.hu/siterep/harmanschlag-arralifte/,Alsó-Ausztria,740,860,4.0,120,2,,,399.0,24.0,2,0,2.0,2.0,0.0,0,0,0,0
Hauereck - St. Kathrein am Hauenstein,https://sielok.hu/siterep/stkathrein/,Stájerország,1000,1305,4.1,305,4,2022.12.18.,2023.03.05.,338.0,35.0,3,0,1.7,2.4,0.0,1,0,0,0
Heiligenblut am Grossglockner,https://sielok.hu/siterep/heiligenblut/,Karintia,1301,2989,55.0,1688,12,2022.12.08.,2023.04.10.,668.0,53.0,7,0,20.0,34.0,1.0,1,1,3,0
Hinterreit - Saalfelden,https://sielok.hu/siterep/saalfelden/,Salzburg,780,1150,9.0,370,2,,,611.0,,2,0,7.0,2.0,0.0,0,0,0,0
Hinterstoder,https://sielok.hu/siterep/hinterstoder/,Felső-Ausztria,600,2000,39.9,1400,14,2022.12.10.,2023.04.10.,497.0,55.0,10,0,12.0,18.0,9.9,2,0,2,0
Hintertux gleccser,https://sielok.hu/siterep/hintertux/,Tirol,1500,3250,60.0,1750,21,,,738.0,65.0,9,0,14.0,35.0,11.0,6,0,6,0
