licensePlate,model,vehicleRouteType,tripId,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,BKK_C218468,47.44795,19.037527,47,Városház tér,Deák Ferenc tér M
V4063,Tátra T5C5K,TRAM,BKK_C3480931,47.48333,19.005085,59,Márton Áron tér,Szent János Kórház
V2112,CAF 9 modulos szerelvény,TRAM,BKK_C3489331929,47.486168,19.10755,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV871,VanHool AG318 csuklós autóbusz,BUS,BKK_C3592411,47.42944,19.12998,223M,Boráros tér H,Szentlőrinci úti ltp.
MPW614,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C38559106,47.49616,19.071169,99,Mátyás király tér,Blaha Lujza tér M
MPW613,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_MPW613-fOUAfx51SwiDP5X-1lUMkQ,47.428665,19.155428,,,
LOV873,VanHool AG318 csuklós autóbusz,BUS,,47.427177,19.159882,,,
V1441,Ganz csuklós,TRAM,BKK_C3635021,47.465977,19.021955,49,Kelenföld vasútállomás M,Deák Ferenc tér M
BPO221,Ikarus 412-es típusú autóbusz,BUS,BKK_C3562059,47.45803,19.176441,282E,Alacskai úti lakótelep,Kőbánya-Kispest M
LOV868,VanHool AG318 csuklós autóbusz,BUS,BKK_C3658194,47.421906,19.16231,54,"Péterimajor, Víztorony tér",Boráros tér H
BPO220,Ikarus 412-es típusú autóbusz,BUS,BKK_C3515719,47.44842,19.14383,68,"Akadémiaújtelep, 525. tér",Vas Gereben utca
LOV869,VanHool AG318 csuklós autóbusz,BUS,BKK_C3551376,47.444427,19.096672,923,Békásmegyer H,Dél-pesti autóbuszgarázs
MPW619,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.428066,19.157082,,,
V1448,Ganz csuklós,TRAM,BKK_C36350718,47.48427,19.053268,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2209,CAF 5 modulos szerelvény,TRAM,BKK_C3495435,47.49876,19.137625,3,Mexikói út M,Gubacsi út / Határ út
MPW618,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.425568,19.158718,,,
V2208,CAF 5 modulos szerelvény,TRAM,,47.465675,19.12253,3,Mexikói út M,Gubacsi út / Határ út
MPW621,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.466717,19.126444,,,
MPW620,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.426243,19.157974,,,
V2205,CAF 5 modulos szerelvény,TRAM,BKK_C349543742J,47.464806,19.126368,3,Mexikói út M,Gubacsi út / Határ út
LOV874,VanHool AG318 csuklós autóbusz,BUS,,47.426506,19.158535,,,
V1444,Ganz csuklós,TRAM,,47.470703,19.092394,2,Jászai Mari tér,Közvágóhíd H
V2204,CAF 5 modulos szerelvény,TRAM,BKK_C349545808,47.44374,19.096737,3,Mexikói út M,Gubacsi út / Határ út
V1443,Ganz csuklós,TRAM,BKK_C363501346,47.474373,19.037697,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V4066,Tátra T5C5K,TRAM,BKK_C3474345,47.50987,19.008825,56A,Móricz Zs. körtér M,Hűvösvölgy
LOV875,VanHool AG318 csuklós autóbusz,BUS,,47.427055,19.15989,,,
V2207,CAF 5 modulos szerelvény,TRAM,BKK_C3495456,47.514442,19.120813,3,Mexikói út M,Gubacsi út / Határ út
MPW617,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.42922,19.15553,,,
V4069,Tátra T5C5K,TRAM,BKK_C348096835,47.511845,19.005861,59,Márton Áron tér,Szent János Kórház
LOV877,VanHool AG318 csuklós autóbusz,BUS,BKK_C3695030,47.4381,19.128977,123A,Szentlőrinci úti ltp.,Határ út M
V1445,Ganz csuklós,TRAM,BKK_C21846981,47.49638,19.057453,47,Városház tér,Deák Ferenc tér M
V4340,Tátra T5C5K,TRAM,BKK_C3474316034J,47.470165,19.027346,19,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV881,VanHool AG318 csuklós autóbusz,BUS,,47.425995,19.160023,,,
MPW622,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C3629238,47.47231,19.13924,117,Mélytó utca,Kőbánya alsó vasútáll.
V2212,CAF 5 modulos szerelvény,TRAM,BKK_C3495441,47.51462,19.120432,3,Mexikói út M,Gubacsi út / Határ út
V1450,Ganz csuklós,TRAM,BKK_C2184621,47.426617,19.0394,47,Városház tér,Deák Ferenc tér M
V2211,CAF 5 modulos szerelvény,TRAM,BKK_C3495474,47.519302,19.091152,3,Mexikói út M,Gubacsi út / Határ út
MPW624,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C3629241,47.474247,19.16202,185,Újhegy,Kőbánya alsó vasútáll.
V2214,CAF 5 modulos szerelvény,TRAM,BKK_C349543861J,47.46336,19.126053,3,Mexikói út M,Gubacsi út / Határ út
MPW623,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C3515712,47.46943,19.171566,68,"Akadémiaújtelep, 525. tér",Vas Gereben utca
LRV480,Renault ND Master mozgáskorl. száll.,BUS,,47.56695,19.03197,,,
V2210,CAF 5 modulos szerelvény,TRAM,BKK_C34954104,47.49674,19.1382,3,Mexikói út M,Gubacsi út / Határ út
V4071,Tátra T5C5K,TRAM,BKK_C352456,47.52072,19.069084,14,"Káp.megyer, Megyeri út",Lehel tér M
MPW630,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.426285,19.158422,,,
MPW629,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.427456,19.157692,,,
V2219,CAF 5 modulos szerelvény,TRAM,BKK_C3495447,47.519493,19.09709,3,Mexikói út M,Gubacsi út / Határ út
V2216,CAF 5 modulos szerelvény,TRAM,BKK_C3495411,47.45193,19.108904,3,Mexikói út M,Gubacsi út / Határ út
MPW626,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C3515710,47.442333,19.136387,68,"Akadémiaújtelep, 525. tér",Vas Gereben utca
MPW625,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.446354,19.165987,,,
V2218,CAF 5 modulos szerelvény,TRAM,BKK_C3495410040,47.476357,19.119627,3,Mexikói út M,Gubacsi út / Határ út
MPW628,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C37377175,47.404457,19.185904,266,"Ganztelep, Mednyánszky u.",Pestszentimre vasútáll.
V4043,Tátra T5C5K,TRAM,BKK_C363526168J,47.552647,19.092943,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV851,VanHool AG318 csuklós autóbusz,BUS,BKK_C3551912,47.46768,19.076199,23E,Boráros tér H,Pesterzsébeti lakótelep
BPO841,Ikarus 280-as típusú autóbusz,BUS,,47.59077,19.10038,,,
LOV857,VanHool AG318 csuklós autóbusz,BUS,BKK_C3695066,47.416878,19.130558,123A,Szentlőrinci úti ltp.,Határ út M
V2101,CAF 9 modulos szerelvény,TRAM,BKK_C348939,47.54777,19.030865,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
MXJ002,MB515 minibusz,BUS,BKK_C247946,47.48901,19.284424,298,Zimonyi utca,Rákoscsaba vasútállomás
V4050,Tátra T5C5K,TRAM,BKK_C3474359,47.48048,19.05206,56A,Móricz Zs. körtér M,Hűvösvölgy
LOV853,VanHool AG318 csuklós autóbusz,BUS,BKK_C376908,47.464725,19.12772,50,Lajosmizsei sorompó,Határ út M
V4044,Tátra T5C5,TRAM,BKK_C3489317576,47.509617,19.101198,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
BPO552,Ikarus 435-ös típusú autóbusz,BUS,BKK_C35763120,47.50114,19.135677,161,Rákoscsaba,Örs vezér tere M H
V4046,Tátra T5C5K,TRAM,,47.46208,19.042,,,
LZZ332,Ikarus 405-ös alacsonypadlós autóbusz,BUS,BKK_C352822,47.56455,19.110281,121,Újpest-városkapu M,R.palota-Újpest vasútáll.
925,MXA,SUBURBAN_RAILWAY,BKK_H15103_271,47.52132,19.220922,H9,Csömör,Örs vezér tere
LOV860,VanHool AG318 csuklós autóbusz,BUS,BKK_C3695073,47.464497,19.126326,123A,Szentlőrinci úti ltp.,Határ út M
LOV861,VanHool AG318 csuklós autóbusz,BUS,,47.42778,19.156372,,,
V2103,CAF 9 modulos szerelvény,TRAM,,47.46226,19.044174,,,
BPO851,Ikarus 280-as típusú autóbusz,BUS,,47.577915,19.114223,,,
V1438,Ganz csuklós,TRAM,BKK_C3778332,47.47161,19.072721,2,Jászai Mari tér,Közvágóhíd H
V2111,CAF 9 modulos szerelvény,TRAM,,47.49145,19.10499,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V2106,CAF 9 modulos szerelvény,TRAM,BKK_C3489318,47.518738,19.08848,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V2105,CAF 9 modulos szerelvény,TRAM,BKK_C3489320,47.543972,19.036142,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV864,VanHool AG318 csuklós autóbusz,BUS,BKK_LOV864-OdPvDfekSfuUneIqGtpTUw,47.457348,19.11736,,,
V2108,CAF 9 modulos szerelvény,TRAM,BKK_C3489313,47.46394,19.023144,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV865,VanHool AG318 csuklós autóbusz,BUS,BKK_C3769012,47.456554,19.147087,50,Lajosmizsei sorompó,Határ út M
V4058,Tátra T5C5K,TRAM,BKK_C3489312,47.46302,19.022984,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV866,VanHool AG318 csuklós autóbusz,BUS,BKK_C3551913,47.46586,19.07786,23E,Boráros tér H,Pesterzsébeti lakótelep
V1434,Ganz csuklós,TRAM,BKK_C218462984,47.483513,19.053366,47,Városház tér,Deák Ferenc tér M
V4329,Tátra T5C5K,TRAM,BKK_C3635215,47.47884,19.050198,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
MRZ400,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,BKK_C29078332,47.507446,19.02541,22A,"Budakeszi, Dózsa Gy. tér",Széll Kálmán tér M
MRZ246,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,BKK_C27641244,47.462425,18.990673,40,Budaörsi lakótelep,Kelenföld vasútállomás M
MRZ245,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,BKK_C2764166,47.433422,18.926096,88,Budatétény vá. (Campona),Kelenföld vasútállomás M
