licensePlate,model,vehicleRouteType,tripId,lat,lon,shortName,From,To
MMM136,MERCEDES Citaro O 530 (BKV spec.),BUS,,47.208504,18.38107,,,
V1440,Ganz csuklós,TRAM,BKK_C21846399,47.497528,19.055195,47,Városház tér,Deák Ferenc tér M
LOV871,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950293,47.45581,19.115007,123,"Soroksár, IKEA áruház",Határ út M
V2112,CAF 9 modulos szerelvény,TRAM,BKK_C34893211,47.47752,19.100155,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
MPW614,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C38559662,47.46663,19.126463,99,Mátyás király tér,Blaha Lujza tér M
LOV873,VanHool AG318 csuklós autóbusz,BUS,BKK_LOV873-_2RGD4yGTl-iZgbyLn4xuQ,47.42699,19.15785,,,
V1441,Ganz csuklós,TRAM,BKK_C36350199,47.487217,19.057878,49,Kelenföld vasútállomás M,Deák Ferenc tér M
MPW613,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C373771578,47.41396,19.20166,266,"Ganztelep, Mednyánszky u.",Pestszentimre vasútáll.
BPO221,Ikarus 412-es típusú autóbusz,BUS,BKK_C356201280,47.39909,19.205622,284E,"Pestszentimre, Benjámin u.",Kőbánya-Kispest M
BPO220,Ikarus 412-es típusú autóbusz,BUS,BKK_C35157113,47.473194,19.178432,68,"Akadémiaújtelep, 525. tér",Vas Gereben utca
V4061,Tátra T5C5K,TRAM,BKK_C347439975,47.4757,19.047096,56A,Móricz Zs. körtér M,Hűvösvölgy
V4332,Tátra T5C5,TRAM,,47.490517,19.089035,,,
V1448,Ganz csuklós,TRAM,BKK_C36350203,47.475544,19.041065,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2209,CAF 5 modulos szerelvény,TRAM,BKK_C34954437,47.49282,19.141636,3,Mexikói út M,Gubacsi út / Határ út
MPW618,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.427525,19.158087,,,
V2208,CAF 5 modulos szerelvény,TRAM,,47.46509,19.12241,,,
V4070,Tátra T5C5K,TRAM,BKK_C347439818,47.477917,19.046103,61,Móricz Zs. körtér M,Hűvösvölgy
MPW620,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C38559648,47.481964,19.104273,99,Mátyás király tér,Blaha Lujza tér M
V2204,CAF 5 modulos szerelvény,TRAM,BKK_C34954482,47.44589,19.099924,3,Mexikói út M,Gubacsi út / Határ út
V1443,Ganz csuklós,TRAM,BKK_C36350221,47.496807,19.056622,49,Kelenföld vasútállomás M,Deák Ferenc tér M
LOV875,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950285,47.43263,19.127386,123A,Szentlőrinci úti ltp.,Határ út M
MPW617,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C1858558,47.437836,19.1924,236,Havanna utcai lakótelep,Market Central Ferihegy
V4069,Tátra T5C5K,TRAM,BKK_C348092817,47.49149,19.01639,59,Márton Áron tér,Szent János Kórház
V1445,Ganz csuklós,TRAM,BKK_C21846249,47.427227,19.039083,47,Városház tér,Deák Ferenc tér M
V4340,Tátra T5C5K,TRAM,BKK_C3483816190,47.43594,19.042423,17,Savoya Park,Bécsi út / Vörösvári út
947,MXA,SUBURBAN_RAILWAY,BKK_H22275_389,47.383358,19.10802,H6,Ráckeve,Közvágóhíd
LOV881,VanHool AG318 csuklós autóbusz,BUS,BKK_C365811103,47.444645,19.129374,54,"Péterimajor, Víztorony tér",Boráros tér H
MPW622,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C36292325,47.473545,19.135635,117,Mélytó utca,Kőbánya alsó vasútáll.
V1450,Ganz csuklós,TRAM,BKK_C21846237,47.47722,19.047335,47,Városház tér,Deák Ferenc tér M
V2211,CAF 5 modulos szerelvény,TRAM,BKK_C34954452,47.51906,19.091278,3,Mexikói út M,Gubacsi út / Határ út
V4073,Tátra T5C5K,TRAM,BKK_C347439832,47.49842,19.028784,56A,Móricz Zs. körtér M,Hűvösvölgy
V2214,CAF 5 modulos szerelvény,TRAM,BKK_C34954425,47.454865,19.11316,3,Mexikói út M,Gubacsi út / Határ út
