licensePlate,model,vehicleRouteType,tripId,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,BKK_C21846969,47.486965,19.057049,47,Városház tér,Deák Ferenc tér M
V1579,TW 6000,TRAM,,47.47522,19.078188,28A,Új köztemető (Kozma u.),Blaha Lujza tér M
MOS267,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,BKK_C347602,47.49608,19.066956,956,"Pécel, Kun József utca",Pesthidegkút-Hűvösvölgy
V1581,TW 6000,TRAM,BKK_C291075989,47.49057,19.08974,28A,Új köztemető (Kozma u.),Blaha Lujza tér M
MPW614,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.42683,19.158726,,,
LOV873,VanHool AG318 csuklós autóbusz,BUS,,47.4283,19.156338,,,
V1580,TW 6000,TRAM,BKK_C34821318J,47.469986,19.0857,24,Keleti pályaudvar M,Közvágóhíd H
MPW613,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.428318,19.155733,,,
MOS268,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,,47.482006,19.270132,,,
V4331,Tátra T5C5K,TRAM,BKK_C3474326007,47.50988,19.008816,56A,Móricz Zs. körtér M,Hűvösvölgy
LOV868,VanHool AG318 csuklós autóbusz,BUS,,47.427425,19.159681,,,
LOV869,VanHool AG318 csuklós autóbusz,BUS,BKK_C3551326,47.46756,19.07667,923,Békásmegyer H,Dél-pesti autóbuszgarázs
V2209,CAF 5 modulos szerelvény,TRAM,BKK_C349541365,47.519127,19.091341,3,Mexikói út M,Gubacsi út / Határ út
V2208,CAF 5 modulos szerelvény,TRAM,,47.465576,19.122576,3,Mexikói út M,Gubacsi út / Határ út
BPO569,Ikarus 435-ös típusú autóbusz,BUS,,47.50144,19.23663,,,
MPW620,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.42705,19.158619,,,
V4339,Tátra T5C5,TRAM,BKK_C348931160J,47.491627,19.092255,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V1585,TW 6000,TRAM,BKK_C3482173,47.47445,19.070318,24,Keleti pályaudvar M,Közvágóhíd H
V2207,CAF 5 modulos szerelvény,TRAM,,47.46546,19.122704,,,
LOV877,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950585,47.42017,19.136312,123A,Szentlőrinci úti ltp.,Határ út M
V1445,Ganz csuklós,TRAM,,47.470234,19.024902,47,Városház tér,Deák Ferenc tér M
LOV881,VanHool AG318 csuklós autóbusz,BUS,BKK_C3672130,47.405594,19.188602,950,"Rákospalota, Kossuth utca",Pestszentimre vasútáll.
NBW003,MERCEDES Conecto szóló (BKV),BUS,BKK_C3710612,47.482338,19.243422,990,Rákoskert,Normafa
V1450,Ganz csuklós,TRAM,BKK_C21846956,47.497517,19.05531,47,Városház tér,Deák Ferenc tér M
V2211,CAF 5 modulos szerelvény,TRAM,BKK_C349541329,47.456398,19.114208,3,Mexikói út M,Gubacsi út / Határ út
NBW002,MERCEDES Conecto szóló (BKV),BUS,,47.502632,19.214764,144,"R.szentmihály, Csömöri út",Örs vezér tere M H
NBW004,MERCEDES Conecto szóló (BKV),BUS,,47.49876,19.236696,85,Kőbánya-Kispest M,Örs vezér tere M H
BPO231,Ikarus 412-es típusú autóbusz,BUS,,47.428642,19.1564,,,
