licensePlate,model,vehicleRouteType,tripId,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,BKK_C21846724,47.48456,19.053074,47,Városház tér,Deák Ferenc tér M
LOV871,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950423,47.41591,19.13419,123,"Soroksár, IKEA áruház",Határ út M
V2112,CAF 9 modulos szerelvény,TRAM,BKK_C3489317920,47.469353,19.050428,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV873,VanHool AG318 csuklós autóbusz,BUS,BKK_C37690377,47.465034,19.126972,50,Lajosmizsei sorompó,Határ út M
BPO221,Ikarus 412-es típusú autóbusz,BUS,BKK_C356201651,47.401867,19.202173,284E,"Pestszentimre, Benjámin u.",Kőbánya-Kispest M
BPO220,Ikarus 412-es típusú autóbusz,BUS,BKK_C35157211,47.441746,19.140905,68,"Akadémiaújtelep, 525. tér",Vas Gereben utca
LOV868,VanHool AG318 csuklós autóbusz,BUS,BKK_C365811854,47.38929,19.162025,54,"Péterimajor, Víztorony tér",Boráros tér H
LOV869,VanHool AG318 csuklós autóbusz,BUS,BKK_C37690356,47.456512,19.147144,50,Lajosmizsei sorompó,Határ út M
V1448,Ganz csuklós,TRAM,BKK_C36350393,47.497566,19.055193,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2209,CAF 5 modulos szerelvény,TRAM,BKK_C349541062,47.52014,19.110012,3,Mexikói út M,Gubacsi út / Határ út
V2208,CAF 5 modulos szerelvény,TRAM,BKK_C349541053,47.517754,19.09318,3,Mexikói út M,Gubacsi út / Határ út
LOV874,VanHool AG318 csuklós autóbusz,BUS,BKK_C37690365,47.455452,19.149525,50,Lajosmizsei sorompó,Határ út M
V1444,Ganz csuklós,TRAM,BKK_C377832676,47.50578,19.047674,2,Jászai Mari tér,Közvágóhíd H
LOV875,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950445,47.43872,19.127947,123A,Szentlőrinci úti ltp.,Határ út M
V1443,Ganz csuklós,TRAM,BKK_C36350381,47.467125,19.022074,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2204,CAF 5 modulos szerelvény,TRAM,BKK_C349541035,47.493416,19.141378,3,Mexikói út M,Gubacsi út / Határ út
V4338,Tátra T5C5K,TRAM,BKK_C3474339983,47.472656,19.045816,56,Városház tér,Hűvösvölgy
V2207,CAF 5 modulos szerelvény,TRAM,BKK_C349544014,47.470505,19.108711,3,Mexikói út M,Gubacsi út / Határ út
LOV877,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950430,47.443672,19.121063,123A,Szentlőrinci úti ltp.,Határ út M
V1445,Ganz csuklós,TRAM,BKK_C21846745,47.426334,19.039526,47,Városház tér,Deák Ferenc tér M
947,MXA,SUBURBAN_RAILWAY,BKK_H21364_419,47.32177,18.983946,H6,Ráckeve,Közvágóhíd
LOV881,VanHool AG318 csuklós autóbusz,BUS,BKK_LOV881-0kfOED8ITC-6jpIxzZ1Qmg,47.428238,19.15639,,,
V2212,CAF 5 modulos szerelvény,TRAM,BKK_C349541074,47.491516,19.138697,3,Mexikói út M,Gubacsi út / Határ út
V1451,Ganz csuklós,TRAM,BKK_C377832677,47.49589,19.04819,2,Jászai Mari tér,Közvágóhíd H
V1450,Ganz csuklós,TRAM,BKK_C21846736,47.466984,19.044046,47,Városház tér,Deák Ferenc tér M
V2211,CAF 5 modulos szerelvény,TRAM,BKK_C349541086,47.468063,19.107693,3,Mexikói út M,Gubacsi út / Határ út
V2214,CAF 5 modulos szerelvény,TRAM,BKK_C349541047,47.5217,19.104935,3,Mexikói út M,Gubacsi út / Határ út
V2213,CAF 5 modulos szerelvény,TRAM,BKK_C349541098,47.44373,19.096758,3,Mexikói út M,Gubacsi út / Határ út
LRV480,Renault ND Master mozgáskorl. száll.,BUS,,47.5686,19.027033,,,
BPO231,Ikarus 412-es típusú autóbusz,BUS,BKK_C35157194,47.467865,19.154854,68,"Akadémiaújtelep, 525. tér",Vas Gereben utca
V2210,CAF 5 modulos szerelvény,TRAM,BKK_C34954993,47.443924,19.095898,3,Mexikói út M,Gubacsi út / Határ út
V2219,CAF 5 modulos szerelvény,TRAM,BKK_C349541068,47.502357,19.136875,3,Mexikói út M,Gubacsi út / Határ út
BPO234,Ikarus 412-es típusú autóbusz,BUS,BKK_C36169566,47.455208,19.167027,182A,Gilice tér (Varjú utca),Kőbánya-Kispest M
V2216,CAF 5 modulos szerelvény,TRAM,BKK_C349541041,47.50717,19.133045,3,Mexikói út M,Gubacsi út / Határ út
LRV481,Renault ND Master mozgáskorl. száll.,BUS,,47.56817,19.02772,,,
V2218,CAF 5 modulos szerelvény,TRAM,BKK_C349541056,47.519154,19.091328,3,Mexikói út M,Gubacsi út / Határ út
V4313,Tátra T5C5K,TRAM,BKK_C3489317853,47.519585,19.087433,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV851,VanHool AG318 csuklós autóbusz,BUS,BKK_C355191488,47.47957,19.06713,23E,Boráros tér H,Pesterzsébeti lakótelep
BPO841,Ikarus 280-as típusú autóbusz,BUS,BKK_C36087814,47.51154,19.080248,30A,Keleti pályaudvar M,"Megyer, Szondi utca"
LOV857,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950433,47.416813,19.1307,123A,Szentlőrinci úti ltp.,Határ út M
V2101,CAF 9 modulos szerelvény,TRAM,BKK_C3489317861,47.463623,19.033289,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
MXJ002,MB515 minibusz,BUS,BKK_C2479488,47.491055,19.282848,298,Zimonyi utca,Rákoscsaba vasútállomás
MUT781,MB Citaro C2-S1-G csuklós autóbusz,BUS,BKK_C36467945,47.503742,19.08859,133E,"Újpalota, Nyírpalota út","Nagytétény, Erdélyi utca"
LOV853,VanHool AG318 csuklós autóbusz,BUS,BKK_C37690352,47.4659,19.125814,50,Lajosmizsei sorompó,Határ út M
LOV855,VanHool AG318 csuklós autóbusz,BUS,BKK_C367251530,47.446312,19.168339,136E,Havanna utcai lakótelep,Kőbánya-Kispest M
LZZ332,Ikarus 405-ös alacsonypadlós autóbusz,BUS,BKK_C3528276,47.565388,19.110395,121,Újpest-városkapu M,R.palota-Újpest vasútáll.
V2104,CAF 9 modulos szerelvény,TRAM,BKK_C3489317855,47.500526,19.108274,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4326,Tátra T5C5K,TRAM,BKK_C3474339986,47.44247,19.03659,56,Városház tér,Hűvösvölgy
BPO846,Ikarus 280-as típusú autóbusz,BUS,BKK_C36087747,47.534042,19.08752,30,Keleti pályaudvar M,"Káp.megyer, Mogyoródi-p."
LOV858,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950449,47.45904,19.119738,123A,Szentlőrinci úti ltp.,Határ út M
V1437,Ganz csuklós,TRAM,BKK_C36350375,47.476517,19.043951,49,Kelenföld vasútállomás M,Deák Ferenc tér M
BPO851,Ikarus 280-as típusú autóbusz,BUS,BKK_C365861935,47.56048,19.098806,20E,Keleti pályaudvar M,"Káp.megyer, Szilas-patak"
V2109,CAF 9 modulos szerelvény,TRAM,BKK_C3489317856,47.48678,19.107897,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V1438,Ganz csuklós,TRAM,BKK_C377832561,47.511173,19.047249,2,Jászai Mari tér,Közvágóhíd H
V2111,CAF 9 modulos szerelvény,TRAM,BKK_C3489317923,47.48808,19.108566,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V2106,CAF 9 modulos szerelvény,TRAM,BKK_C3489317857,47.47586,19.09899,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4328,Tátra T5C5K,TRAM,BKK_C36352348,47.451653,19.03836,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
V2105,CAF 9 modulos szerelvény,TRAM,BKK_C3489317860,47.469746,19.053753,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4327,Tátra T5C5K,TRAM,BKK_C348093511,47.49414,19.018278,59,Márton Áron tér,Szent János Kórház
LOV865,VanHool AG318 csuklós autóbusz,BUS,BKK_C37690363,47.45256,19.156313,50,Lajosmizsei sorompó,Határ út M
V2108,CAF 9 modulos szerelvény,TRAM,BKK_C3489317931,47.547478,19.03113,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
