licensePlate,model,vehicleRouteType,tripId,lat,lon,shortName,From,To
NAY365,MAN Lions City A21 (ArrivaBus),BUS,BKK_C326802,47.415302,19.071262,35,"Csepel, Csillagtelep",Szentlőrinci úti ltp.
NCA453,MERCEDES Conecto csuklós,BUS,BKK_C326937,47.429382,19.105736,36,"Csepel, Csillagtelep",Pestszentlőrinc vasútáll.
MHU729,MB Citaro C2-S1-G csuklós autóbusz,BUS,BKK_C3552810,47.602833,19.066488,34,"B.megyer, Újmegyeri tér",Göncz Árpád városkp. M
V1614,TW 6000,TRAM,,47.46524,19.122616,42,"Kispest, Tulipán utca",Határ út M
FKU933,Volvo 7700A típusú csuklós autóbusz,BUS,,47.50094,19.235842,,,
PKN619,MERCEDES Conecto szóló (BKV),BUS,BKK_C273764,47.480385,19.228138,67,"Rákoskeresztúr, Aranylúd u.",Örs vezér tere M H
PKN620,MERCEDES Conecto szóló (BKV),BUS,BKK_C3485449,47.513485,19.034628,931,"Árpádföld, Dezsőfia utca",Nyugati pályaudvar M
NAY363,MAN Lions City A21 (ArrivaBus),BUS,,47.430744,19.07076,,,
MHU865,MB Citaro C2-S1 szóló autóbusz,BUS,BKK_MHU865-aXVEym0jT4GbVaI3-_4sqQ,47.563797,19.119787,,,
T0608,GANZ-SOLARIS Trollino 12 trolibusz,TROLLEYBUS,,47.491974,19.11693,,,
RVY612,MERCEDES Conecto 2 szóló autóbusz,BUS,BKK_C3147833,47.43475,19.081514,948,"Csepel, Hollandi út",Dél-pesti autóbuszgarázs
NCA451,MERCEDES Conecto csuklós,BUS,BKK_C3269343,47.44542,19.17305,36,"Csepel, Csillagtelep",Pestszentlőrinc vasútáll.
FKU927,Volvo 7700A típusú csuklós autóbusz,BUS,BKK_C3781024489,47.47002,19.165346,85,Kőbánya-Kispest M,Örs vezér tere M H
SKR734,MERCEDES Conecto G 2 csuklós autóbusz,BUS,,47.49887,19.236265,,,
RCT269,MB515 minibusz,BUS,,47.49957,19.237143,,,
