licensePlate,model,vehicleRouteType,tripId,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,BKK_C2184676,47.44382,19.036873,47,Városház tér,Deák Ferenc tér M
LOV871,VanHool AG318 csuklós autóbusz,BUS,BKK_C35924222,47.4374,19.100512,223M,Boráros tér H,Szentlőrinci úti ltp.
V2112,CAF 9 modulos szerelvény,TRAM,BKK_C3489317747,47.463516,19.023111,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V1442,Ganz csuklós,TRAM,,47.470234,19.025923,,,
LOV873,VanHool AG318 csuklós autóbusz,BUS,,47.42715,19.160036,,,
V1441,Ganz csuklós,TRAM,BKK_C3635039,47.496296,19.057873,49,Kelenföld vasútállomás M,Deák Ferenc tér M
BPO221,Ikarus 412-es típusú autóbusz,BUS,BKK_C35620358,47.451233,19.194304,282E,Alacskai úti lakótelep,Kőbánya-Kispest M
BPO220,Ikarus 412-es típusú autóbusz,BUS,BKK_C3515739,47.45914,19.149263,68,"Akadémiaújtelep, 525. tér",Vas Gereben utca
LOV868,VanHool AG318 csuklós autóbusz,BUS,BKK_C36581124,47.444862,19.128695,54,"Péterimajor, Víztorony tér",Boráros tér H
LOV869,VanHool AG318 csuklós autóbusz,BUS,BKK_C35519751,47.45633,19.085873,23E,Boráros tér H,Pesterzsébeti lakótelep
V1448,Ganz csuklós,TRAM,BKK_C3635055,47.484623,19.052984,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2209,CAF 5 modulos szerelvény,TRAM,BKK_C34954152,47.51858,19.092024,3,Mexikói út M,Gubacsi út / Határ út
V2208,CAF 5 modulos szerelvény,TRAM,BKK_C34954206,47.52,19.097792,3,Mexikói út M,Gubacsi út / Határ út
LOV874,VanHool AG318 csuklós autóbusz,BUS,BKK_C3769067,47.45258,19.156263,50,Lajosmizsei sorompó,Határ út M
V1444,Ganz csuklós,TRAM,BKK_C3778355,47.467674,19.075722,2,Jászai Mari tér,Közvágóhíd H
V2205,CAF 5 modulos szerelvény,TRAM,BKK_C34954173,47.482567,19.128609,3,Mexikói út M,Gubacsi út / Határ út
LOV875,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950101,47.420197,19.136276,123A,Szentlőrinci úti ltp.,Határ út M
V1443,Ganz csuklós,TRAM,BKK_C3635065,47.48349,19.053286,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2204,CAF 5 modulos szerelvény,TRAM,BKK_C349545811,47.491646,19.138783,3,Mexikói út M,Gubacsi út / Határ út
V2207,CAF 5 modulos szerelvény,TRAM,BKK_C34954236,47.45259,19.110033,3,Mexikói út M,Gubacsi út / Határ út
LOV877,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950105,47.44639,19.117094,123A,Szentlőrinci úti ltp.,Határ út M
V1445,Ganz csuklós,TRAM,BKK_C2184681,47.477844,19.047695,47,Városház tér,Deák Ferenc tér M
V4340,Tátra T5C5K,TRAM,BKK_C3474338551,47.508995,19.016403,56,Városház tér,Hűvösvölgy
V2206,CAF 5 modulos szerelvény,TRAM,,47.464817,19.123547,,,
947,MXA,SUBURBAN_RAILWAY,BKK_H24028_420,47.31375,18.974634,H6,Ráckeve,Közvágóhíd
LOV881,VanHool AG318 csuklós autóbusz,BUS,BKK_C36581120,47.39653,19.174463,54,"Péterimajor, Víztorony tér",Boráros tér H
V1451,Ganz csuklós,TRAM,BKK_C377831143J,47.471333,19.082027,2,Jászai Mari tér,Közvágóhíd H
V2212,CAF 5 modulos szerelvény,TRAM,BKK_C34954194,47.514465,19.120804,3,Mexikói út M,Gubacsi út / Határ út
V1450,Ganz csuklós,TRAM,BKK_C2184641,47.426197,19.039648,47,Városház tér,Deák Ferenc tér M
V2211,CAF 5 modulos szerelvény,TRAM,BKK_C34954218,47.47361,19.115482,3,Mexikói út M,Gubacsi út / Határ út
V2214,CAF 5 modulos szerelvény,TRAM,BKK_C34954131,47.522163,19.102976,3,Mexikói út M,Gubacsi út / Határ út
LRV480,Renault ND Master mozgáskorl. száll.,BUS,,47.512394,19.10014,,,
V2213,CAF 5 modulos szerelvény,TRAM,BKK_C349545825,47.482124,19.12719,3,Mexikói út M,Gubacsi út / Határ út
V2210,CAF 5 modulos szerelvény,TRAM,BKK_C34954107,47.44353,19.09636,3,Mexikói út M,Gubacsi út / Határ út
V2219,CAF 5 modulos szerelvény,TRAM,BKK_C34954212,47.502213,19.136833,3,Mexikói út M,Gubacsi út / Határ út
LRV481,Renault ND Master mozgáskorl. száll.,BUS,,47.57745,19.093163,MOZG,Különjárat,Különjárat
V2216,CAF 5 modulos szerelvény,TRAM,BKK_C34954113,47.503975,19.136412,3,Mexikói út M,Gubacsi út / Határ út
LRV482,Renault ND Master mozgáskorl. száll.,BUS,,47.55865,19.042103,,,
V2215,CAF 5 modulos szerelvény,TRAM,BKK_C34954143,47.515083,19.119598,3,Mexikói út M,Gubacsi út / Határ út
V2218,CAF 5 modulos szerelvény,TRAM,BKK_C34954179,47.519295,19.091076,3,Mexikói út M,Gubacsi út / Határ út
V4315,Tátra T5C5K,TRAM,BKK_C2902218,47.491947,19.109068,1M,Népliget M,Bécsi út / Vörösvári út
LOV851,VanHool AG318 csuklós autóbusz,BUS,BKK_C35519754,47.43983,19.096512,23E,Boráros tér H,Pesterzsébeti lakótelep
V4314,Tátra T5C5K,TRAM,BKK_C34809323,47.48164,18.998959,59B,Márton Áron tér,Hűvösvölgy
BPO841,Ikarus 280-as típusú autóbusz,BUS,BKK_C3608764,47.53831,19.08997,30,Keleti pályaudvar M,"Káp.megyer, Mogyoródi-p."
LOV857,VanHool AG318 csuklós autóbusz,BUS,BKK_C3695094,47.441833,19.123678,123A,Szentlőrinci úti ltp.,Határ út M
V2101,CAF 9 modulos szerelvény,TRAM,BKK_C3489317599,47.469746,19.084467,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
MXJ002,MB515 minibusz,BUS,BKK_C2479415,47.491074,19.28285,298,Zimonyi utca,Rákoscsaba vasútállomás
MUT781,MB Citaro C2-S1-G csuklós autóbusz,BUS,BKK_C36467153,47.517883,19.109615,133E,"Újpalota, Nyírpalota út","Nagytétény, Erdélyi utca"
LOV853,VanHool AG318 csuklós autóbusz,BUS,BKK_C3769083,47.465057,19.126822,50,Lajosmizsei sorompó,Határ út M
LOV855,VanHool AG318 csuklós autóbusz,BUS,BKK_C3672593,47.458164,19.145819,136E,Havanna utcai lakótelep,Kőbánya-Kispest M
LZZ332,Ikarus 405-ös alacsonypadlós autóbusz,BUS,BKK_C3528218,47.556347,19.08492,121,Újpest-városkapu M,R.palota-Újpest vasútáll.
V4324,Tátra T5C5K,TRAM,BKK_C348091086,47.509636,19.012981,59B,Márton Áron tér,Hűvösvölgy
LOV860,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950109,47.46186,19.123932,123A,Szentlőrinci úti ltp.,Határ út M
V4323,Tátra T5C5K,TRAM,BKK_C3489317662,47.5411,19.040518,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV861,VanHool AG318 csuklós autóbusz,BUS,BKK_C3769071,47.45616,19.147865,50,Lajosmizsei sorompó,Határ út M
V2104,CAF 9 modulos szerelvény,TRAM,BKK_C3489317592,47.521725,19.083948,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4325,Tátra T5C5,TRAM,BKK_C3489317756,47.50037,19.108192,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V2103,CAF 9 modulos szerelvény,TRAM,BKK_C3489317663,47.548447,19.029793,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
BPO846,Ikarus 280-as típusú autóbusz,BUS,BKK_C36087145,47.598755,19.121326,30,Keleti pályaudvar M,"Káp.megyer, Mogyoródi-p."
LOV858,VanHool AG318 csuklós autóbusz,BUS,,47.417152,19.130621,,,
V1437,Ganz csuklós,TRAM,BKK_C3635061,47.475117,19.03976,49,Kelenföld vasútállomás M,Deák Ferenc tér M
BPO851,Ikarus 280-as típusú autóbusz,BUS,BKK_C36586192,47.55765,19.100399,20E,Keleti pályaudvar M,"Káp.megyer, Szilas-patak"
V2109,CAF 9 modulos szerelvény,TRAM,,47.4634,19.02314,,,
V1439,Ganz csuklós,TRAM,,47.469997,19.025593,,,
V1438,Ganz csuklós,TRAM,BKK_C3778358,47.500347,19.0463,2,Jászai Mari tér,Közvágóhíd H
V2111,CAF 9 modulos szerelvény,TRAM,BKK_C3489317751,47.469246,19.05901,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V1433,Ganz csuklós,TRAM,,47.470333,19.024626,,,
V4328,Tátra T5C5K,TRAM,BKK_C36352991,47.437145,19.032997,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
V2106,CAF 9 modulos szerelvény,TRAM,BKK_C3489317594,47.51794,19.089746,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V2105,CAF 9 modulos szerelvény,TRAM,BKK_C3489317689,47.47591,19.098873,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV865,VanHool AG318 csuklós autóbusz,BUS,BKK_C3769052,47.46474,19.128193,50,Lajosmizsei sorompó,Határ út M
V2108,CAF 9 modulos szerelvény,TRAM,BKK_C3489317638,47.524754,19.078999,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV866,VanHool AG318 csuklós autóbusz,BUS,BKK_C3551945,47.450703,19.089037,23E,Boráros tér H,Pesterzsébeti lakótelep
V1434,Ganz csuklós,TRAM,BKK_C2184668,47.491745,19.061329,47,Városház tér,Deák Ferenc tér M
BPO811,Ikarus 280-as típusú autóbusz,BUS,BKK_C3781024680,47.477932,19.157272,85E,Kőbánya-Kispest M,Örs vezér tere M H
MRZ400,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,BKK_C29078195,47.507435,19.025595,22A,"Budakeszi, Dózsa Gy. tér",Széll Kálmán tér M
MRZ246,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,BKK_C27641432,47.46075,18.938875,40,Budaörsi lakótelep,Kelenföld vasútállomás M
MRZ245,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,BKK_C27641118,47.461285,18.946817,88,Budatétény vá. (Campona),Kelenföld vasútállomás M
MRZ397,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,BKK_C29078194,47.51388,19.002579,22A,"Budakeszi, Dózsa Gy. tér",Széll Kálmán tér M
1111-1147,MXA-MXA,SUBURBAN_RAILWAY,BKK_H40874_3,47.652046,19.064613,H5,Szentendre,Batthyány tér
V4304,Tátra T5C5K,TRAM,BKK_C3524513,47.572605,19.114408,14,"Káp.megyer, Megyeri út",Lehel tér M
V4310,Tátra T5C5K,TRAM,BKK_C34809333,47.48601,19.007057,59B,Márton Áron tér,Hűvösvölgy
V4309,Tátra T5C5K,TRAM,BKK_C3489317601,47.462597,19.048569,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
MRZ352,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,BKK_C29078343,47.510204,19.008219,22A,"Budakeszi, Dózsa Gy. tér",Széll Kálmán tér M
PKD002,Ikarus 127V típusú szóló autóbusz,BUS,BKK_C3713262,47.511345,19.00081,156,Dániel út,Széll Kálmán tér M
V4305,Tátra T5C5K,TRAM,BKK_C35245172,47.560745,19.089767,14,"Káp.megyer, Megyeri út",Lehel tér M
V4308,Tátra T5C5K,TRAM,BKK_C36352111,47.53606,19.033342,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
V4307,Tátra T5C5K,TRAM,BKK_C35245171,47.54993,19.091005,14,"Káp.megyer, Megyeri út",Lehel tér M
MRZ247,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,BKK_C27641368,47.45251,18.955288,40,Budaörsi lakótelep,Kelenföld vasútállomás M
V4277,Tátra T5C5,TRAM,BKK_C3489317754,47.475883,19.09884,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4276,Tátra T5C5K,TRAM,BKK_C35245173,47.565197,19.100586,14,"Káp.megyer, Megyeri út",Lehel tér M
V4272,Tátra T5C5,TRAM,BKK_C3489330805,47.50723,19.104046,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
BPO801,Ikarus 280-as típusú autóbusz,BUS,BKK_C3769060,47.45051,19.16073,50,Lajosmizsei sorompó,Határ út M
