licensePlate,model,vehicleRouteType,tripId,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,BKK_C21846443,47.47467,19.046642,47,Városház tér,Deák Ferenc tér M
LOV871,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950333,47.424767,19.129848,123A,Szentlőrinci úti ltp.,Határ út M
V2112,CAF 9 modulos szerelvény,TRAM,BKK_C34893844,47.462498,19.041334,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV872,VanHool AG318 csuklós autóbusz,BUS,,47.427113,19.158743,,,
V4065,Tátra T5C5K,TRAM,BKK_C3474315595J,47.434387,19.036674,56,Városház tér,Hűvösvölgy
LOV873,VanHool AG318 csuklós autóbusz,BUS,BKK_LOV873-Y0z8QLiMSxOVpIINxlIL6Q,47.465187,19.126524,,,
MPW613,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C373771843,47.404434,19.1859,266,"Ganztelep, Mednyánszky u.",Pestszentimre vasútáll.
V1441,Ganz csuklós,TRAM,,47.47002,19.025198,,,
BPO221,Ikarus 412-es típusú autóbusz,BUS,BKK_C356201331,47.464027,19.146433,282E,Alacskai úti lakótelep,Kőbánya-Kispest M
BPO220,Ikarus 412-es típusú autóbusz,BUS,BKK_C35157139,47.486584,19.186523,68,"Akadémiaújtelep, 525. tér",Vas Gereben utca
LOV868,VanHool AG318 csuklós autóbusz,BUS,BKK_LOV868-DaLYxSyFRfCPrydmBAGe6w,47.464394,19.142202,,,
V4061,Tátra T5C5K,TRAM,BKK_C3474311281,47.49009,19.04718,56A,Móricz Zs. körtér M,Hűvösvölgy
V1448,Ganz csuklós,TRAM,BKK_C36350265,47.4708,19.028936,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2209,CAF 5 modulos szerelvény,TRAM,BKK_C34954509,47.520603,19.098938,3,Mexikói út M,Gubacsi út / Határ út
MPW618,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.42775,19.158554,,,
MPW620,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C38559862,47.495937,19.072124,99,Mátyás király tér,Blaha Lujza tér M
V1444,Ganz csuklós,TRAM,BKK_C377835087,47.49556,19.048391,2,Jászai Mari tér,Közvágóhíd H
V2204,CAF 5 modulos szerelvény,TRAM,BKK_C34954485,47.452072,19.109179,3,Mexikói út M,Gubacsi út / Határ út
V1443,Ganz csuklós,TRAM,BKK_C36350255,47.477856,19.047583,49,Kelenföld vasútállomás M,Deák Ferenc tér M
LOV875,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950337,47.452557,19.110142,123,"Soroksár, IKEA áruház",Határ út M
MPW617,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C1858576,47.436806,19.222664,236A,Havanna utcai lakótelep,"Ganztelep, Mednyánszky u."
V4069,Tátra T5C5K,TRAM,BKK_C348093058,47.509773,19.010056,59,Márton Áron tér,Szent János Kórház
V1445,Ganz csuklós,TRAM,BKK_C21846422,47.474438,19.046625,47,Városház tér,Deák Ferenc tér M
V4340,Tátra T5C5K,TRAM,BKK_C3483816304,47.48901,19.02452,17,Savoya Park,Bécsi út / Vörösvári út
