host_is_superhost,host_total_listings_count,host_identity_verified,room_type,accommodates,bedrooms,beds,price,availability_30,availability_365,number_of_reviews,number_of_reviews_l30d,review_scores_cleanliness,review_scores_value,instant_bookable,reviews_per_month,description_host,description_neighbourhood,neighbourhood_cleansed_grouped,host_since_years,first_review_years,last_review_years,bathrooms_are_shared,bathrooms_count,amenity_washer,amenity_hangers,amenity_long_term_stays_allowed,amenity_shampoo,amenity_dishes_and_silverware,amenity_elevator,amenity_tv,amenity_hot_water,amenity_workspace,amenity_stove,amenity_bed_linens,amenity_refrigerator,amenity_hair_dryer,amenity_iron,amenity_coffee_maker,amenity_cooking_basics,name_cleaned_length,description_cleaned_length,name_touristy
0,41.0,1,private_room,2,1.0,1.0,14.0,0,0,34,0,4.71,4.5,0,1.41,0,0,Margareten,10.375342465753423,2.117808219178082,1.6767123287671233,0,1.5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7,156,1
0,41.0,1,private_room,2,1.0,0.0,20.0,0,0,51,0,4.78,4.63,0,1.91,0,0,Margareten,10.375342465753423,2.3424657534246576,1.7671232876712328,0,2.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7,139,1
1,1.0,0,entire_place,2,1.0,1.0,140.0,2,305,78,0,4.96,4.78,0,0.73,0,0,Innere Stadt,9.457534246575342,8.964383561643835,1.6602739726027398,0,1.0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,3,161,0
0,4.0,1,entire_place,2,1.0,1.0,96.0,27,338,85,0,4.5,4.58,1,1.19,0,0,Innere Stadt,9.506849315068491,5.991780821917808,3.4712328767123286,0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,7,158,0
0,4.0,1,entire_place,3,1.0,1.0,99.0,23,348,41,0,4.4,4.62,1,0.66,0,0,Innere Stadt,9.506849315068491,5.238356164383561,2.947945205479452,0,1.0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,6,153,0
1,3.0,1,entire_place,4,1.0,1.0,100.0,17,67,177,0,4.66,4.66,0,1.61,1,0,Favoriten,9.446575342465753,9.186301369863012,1.6684931506849314,0,1.0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,5,155,0
1,2.0,1,entire_place,3,1.0,3.0,75.0,8,208,214,1,4.7,4.62,1,1.95,0,0,Leopoldstadt,9.432876712328769,9.164383561643836,1.904109589041096,0,1.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,130,1
1,1.0,1,entire_place,2,1.0,1.0,73.0,0,297,56,0,4.73,4.52,0,0.98,0,1,Mariahilf,9.578082191780824,4.835616438356165,3.0794520547945203,0,1.0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,7,146,1
0,4.0,1,entire_place,5,2.0,4.0,175.0,30,365,59,0,4.84,4.75,0,0.75,0,0,Innere Stadt,9.452054794520548,6.5917808219178085,2.06027397260274,0,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,164,0
1,1.0,1,entire_place,2,1.0,1.0,65.0,0,294,167,0,4.93,4.9,0,1.5,1,0,Mariahilf,9.4,9.263013698630138,1.5506849315068494,0,1.5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,139,1
0,41.0,1,entire_place,2,1.0,1.0,19.0,2,43,55,0,4.35,4.65,0,0.82,0,0,Margareten,10.375342465753423,5.66027397260274,1.4821917808219178,0,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7,139,0
0,41.0,1,private_room,2,1.0,0.0,39.0,0,0,25,0,4.68,4.68,0,0.92,0,0,Margareten,10.375342465753423,2.3863013698630136,1.641095890410959,0,1.5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,9,143,1
0,41.0,1,private_room,2,1.0,1.0,35.0,30,180,18,0,4.72,4.61,0,0.64,0,0,Margareten,10.375342465753423,2.4493150684931506,1.936986301369863,1,1.5,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,7,142,1
1,5.0,1,entire_place,2,1.0,1.0,59.0,3,297,371,0,4.83,4.68,1,3.7,0,0,Landstra§e,9.37808219178082,8.378082191780821,1.9863013698630136,0,1.0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,3,62,1
0,41.0,1,entire_place,5,1.0,0.0,33.0,5,329,22,0,4.73,4.14,0,0.4,0,0,Margareten,10.375342465753423,4.676712328767123,3.26027397260274,0,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,9,140,1
0,41.0,1,entire_place,5,1.0,3.0,35.0,5,53,42,0,4.62,4.5,0,0.74,0,0,Margareten,10.375342465753423,4.835616438356165,1.558904109589041,0,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7,139,1
0,2.0,0,entire_place,4,1.0,4.0,100.0,0,188,66,0,4.72,4.52,1,0.8,1,0,Leopoldstadt,10.273972602739724,6.882191780821918,3.893150684931507,0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5,166,0
1,2.0,1,entire_place,5,1.0,1.0,53.0,0,92,612,1,4.93,4.81,0,5.59,0,1,Rudolfsheim-Fnfhaus,9.336986301369864,9.142465753424656,1.5452054794520549,0,1.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,139,1
0,2.0,1,entire_place,2,1.0,1.0,70.0,30,365,6,0,4.83,4.2,0,0.06,0,0,Alsergrund,9.334246575342464,9.093150684931508,5.665753424657535,0,1.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,171,1
0,1.0,1,entire_place,3,2.0,0.0,120.0,5,12,9,0,5.0,5.0,1,0.1,0,0,Other,10.008219178082191,7.326027397260274,3.682191780821918,0,1.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,166,0
1,1.0,1,private_room,1,1.0,1.0,39.0,28,363,124,0,4.93,4.8,0,1.14,0,1,Favoriten,9.326027397260274,9.063013698630137,4.2027397260273975,1,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7,114,0
0,8.0,1,entire_place,9,2.0,7.0,90.0,30,365,34,0,4.81,4.6,0,0.5,0,1,Mariahilf,9.32054794520548,5.736986301369863,2.0027397260273974,0,1.0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,4,144,0
0,6.0,1,entire_place,4,1.0,2.0,54.0,18,221,26,0,4.42,4.19,1,0.27,0,1,Other,9.315068493150685,7.967123287671233,1.0383561643835617,0,1.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,148,0
