host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,room_type,accommodates,bedrooms,beds,price,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_cleanliness,review_scores_location,review_scores_value,instant_bookable,description_host,description_neighbourhood,neighbourhood_cleansed_grouped,host_since_years,first_review_years,last_review_years,bathrooms_count,amenity_kitchen,amenity_hot_water,amenity_cooking_basics,amenity_long_term_stays_allowed,amenity_iron,amenity_workspace,amenity_bed_linens,amenity_hangers,amenity_refrigerator,amenity_air_conditioning,amenity_dishes_and_silverware,amenity_shampoo,amenity_tv,amenity_coffee_maker,amenity_washer,amenity_stove,name_cleaned_length,description_cleaned_length,name_touristy
within_day,1.0,,0,1,entire_place,4,2.0,2.0,84.0,29,269,83,0,0,4.95,4.86,4.8,0,0,0,Centro Storico,10.780821917808218,7.043835616438356,3.197260273972603,1.5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,8,167,0
within_hour,1.0,1.0,1,1,private_room,2,1.0,1.0,42.0,0,162,444,0,0,4.87,4.79,4.86,1,0,1,Campo di Marte,10.843835616438357,9.835616438356164,1.3726027397260274,1.5,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,7,156,0
within_hour,1.0,1.0,1,1,entire_place,2,1.0,1.0,60.0,0,216,152,2,0,4.95,4.92,4.84,1,0,0,Centro Storico,11.452054794520548,9.150684931506849,1.9397260273972603,1.0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,4,143,0
missing,,,0,1,entire_place,4,1.0,2.0,62.0,0,163,96,0,0,4.7,4.52,4.6,0,0,1,Campo di Marte,10.7013698630137,8.66027397260274,3.8767123287671232,1.0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,5,153,0
missing,,,0,1,entire_place,5,3.0,3.0,95.0,30,365,23,0,0,4.77,4.81,4.67,0,0,1,Centro Storico,10.7013698630137,7.47945205479452,1.663013698630137,3.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,147,0
missing,,,0,1,entire_place,7,2.0,4.0,85.0,30,365,130,0,0,4.93,4.94,4.86,0,0,1,Centro Storico,10.7013698630137,9.964383561643835,4.178082191780822,2.0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,6,169,0
missing,,,0,1,entire_place,4,1.0,2.0,75.0,30,365,9,0,0,5.0,5.0,4.67,1,0,1,Centro Storico,10.67945205479452,3.238356164383561,4.380821917808219,1.0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,6,140,1
within_hour,1.0,0.83,0,1,private_room,3,1.0,2.0,75.0,22,326,3,0,0,4.33,4.67,4.0,0,0,0,Centro Storico,11.134246575342466,6.928767123287671,4.167123287671233,1.0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,4,145,0
within_hour,1.0,1.0,1,1,entire_place,3,1.0,1.0,124.0,18,57,36,4,1,5.0,4.92,4.92,1,0,0,Centro Storico,10.652054794520549,5.315068493150685,0.1671232876712328,1.5,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,7,37,0
within_few_hours,1.0,1.0,1,1,entire_place,6,2.0,4.0,89.0,15,328,66,0,0,4.88,4.91,4.79,1,0,0,Centro Storico,10.646575342465754,6.049315068493151,1.8273972602739723,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,6,152,0
