licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
RIW880,MAN Lions City GL NG313 csuklós busz,BUS,47.208187,18.381472,,,
LOV871,VanHool AG318 csuklós autóbusz,BUS,47.455498,19.149433,50,Lajosmizsei sorompó,Határ út M
V2112,CAF 9 modulos szerelvény,TRAM,47.440315,19.035557,,,
LOV873,VanHool AG318 csuklós autóbusz,BUS,47.479443,19.067455,54,"Péterimajor, Víztorony tér",Boráros tér H
V1441,Ganz csuklós,TRAM,47.48016,19.065767,2,Jászai Mari tér,Közvágóhíd H
V4331,Tátra T5C5K,TRAM,47.49953,19.027002,56,Városház tér,Hűvösvölgy
BPO220,Ikarus 412-es típusú autóbusz,BUS,47.443848,19.176731,236,Havanna utcai lakótelep,Market Central Ferihegy
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.443398,19.121462,123A,Szentlőrinci úti ltp.,Határ út M
LOV869,VanHool AG318 csuklós autóbusz,BUS,47.38928,19.162012,54,"Péterimajor, Víztorony tér",Boráros tér H
V1448,Ganz csuklós,TRAM,47.475067,19.039593,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2209,CAF 5 modulos szerelvény,TRAM,47.519173,19.091246,3,Mexikói út M,Gubacsi út / Határ út
V2208,CAF 5 modulos szerelvény,TRAM,47.44617,19.10041,3,Mexikói út M,Gubacsi út / Határ út
LOV874,VanHool AG318 csuklós autóbusz,BUS,47.442253,19.094568,23E,Boráros tér H,Pesterzsébeti lakótelep
V1444,Ganz csuklós,TRAM,47.47624,19.069159,2,Jászai Mari tér,Közvágóhíd H
V2205,CAF 5 modulos szerelvény,TRAM,47.511784,19.125263,3,Mexikói út M,Gubacsi út / Határ út
LOV875,VanHool AG318 csuklós autóbusz,BUS,47.477337,19.068798,23E,Boráros tér H,Pesterzsébeti lakótelep
V1443,Ganz csuklós,TRAM,47.480595,19.052492,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2204,CAF 5 modulos szerelvény,TRAM,47.4436,19.096525,3,Mexikói út M,Gubacsi út / Határ út
V2207,CAF 5 modulos szerelvény,TRAM,47.50224,19.136911,3,Mexikói út M,Gubacsi út / Határ út
V1445,Ganz csuklós,TRAM,47.458332,19.040747,47,Városház tér,Deák Ferenc tér M
V2206,CAF 5 modulos szerelvény,TRAM,47.445675,19.09953,3,Mexikói út M,Gubacsi út / Határ út
V1451,Ganz csuklós,TRAM,47.486843,19.056583,2,Jászai Mari tér,Közvágóhíd H
V2212,CAF 5 modulos szerelvény,TRAM,47.499943,19.137405,3,Mexikói út M,Gubacsi út / Határ út
V1450,Ganz csuklós,TRAM,47.497494,19.055252,47,Városház tér,Deák Ferenc tér M
V2211,CAF 5 modulos szerelvény,TRAM,47.509285,19.129528,3,Mexikói út M,Gubacsi út / Határ út
V2214,CAF 5 modulos szerelvény,TRAM,47.46797,19.1077,3,Mexikói út M,Gubacsi út / Határ út
LOV878,VanHool AG318 csuklós autóbusz,BUS,47.479485,19.067307,223M,Boráros tér H,Szentlőrinci úti ltp.
BPO231,Ikarus 412-es típusú autóbusz,BUS,47.490475,19.25985,98,Rákoscsaba vasútállomás,Kőbánya-Kispest M
V2210,CAF 5 modulos szerelvény,TRAM,47.481712,19.127022,3,Mexikói út M,Gubacsi út / Határ út
V2219,CAF 5 modulos szerelvény,TRAM,47.46384,19.109467,3,Mexikói út M,Gubacsi út / Határ út
BPO234,Ikarus 412-es típusú autóbusz,BUS,47.42387,19.234655,236A,Havanna utcai lakótelep,"Ganztelep, Mednyánszky u."
LRV481,Renault ND Master mozgáskorl. száll.,BUS,47.515453,19.097075,,,
V2216,CAF 5 modulos szerelvény,TRAM,47.522175,19.102636,3,Mexikói út M,Gubacsi út / Határ út
LRV482,Renault ND Master mozgáskorl. száll.,BUS,47.567932,19.028908,MOZG,Különjárat,Különjárat
V2215,CAF 5 modulos szerelvény,TRAM,47.4826,19.130344,3,Mexikói út M,Gubacsi út / Határ út
V2218,CAF 5 modulos szerelvény,TRAM,47.48725,19.13377,3,Mexikói út M,Gubacsi út / Határ út
V4313,Tátra T5C5K,TRAM,47.469986,19.052725,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4315,Tátra T5C5K,TRAM,47.507713,19.10346,1M,Népliget M,Bécsi út / Vörösvári út
