licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,47.512535,19.047646,2,Jászai Mari tér,Közvágóhíd H
LOV871,VanHool AG318 csuklós autóbusz,BUS,47.465218,19.126493,,,
LOV872,VanHool AG318 csuklós autóbusz,BUS,47.45056,19.16083,50,Lajosmizsei sorompó,Határ út M
V4337,Tátra T5C5K,TRAM,47.504925,19.02437,59B,Márton Áron tér,Hűvösvölgy
LOV873,VanHool AG318 csuklós autóbusz,BUS,47.432034,19.149807,54,"Péterimajor, Víztorony tér",Boráros tér H
V1441,Ganz csuklós,TRAM,47.467766,19.075783,2,Jászai Mari tér,Közvágóhíd H
V4331,Tátra T5C5K,TRAM,47.48452,19.026144,61,Móricz Zs. körtér M,Hűvösvölgy
BPO221,Ikarus 412-es típusú autóbusz,BUS,47.46486,19.232956,,,
BPO220,Ikarus 412-es típusú autóbusz,BUS,47.42654,19.158577,,,
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.41699,19.131254,123A,Szentlőrinci úti ltp.,Határ út M
LOV869,VanHool AG318 csuklós autóbusz,BUS,47.402657,19.18422,54,"Péterimajor, Víztorony tér",Boráros tér H
V1448,Ganz csuklós,TRAM,47.489227,19.061314,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2209,CAF 5 modulos szerelvény,TRAM,47.49292,19.14159,3,Mexikói út M,Gubacsi út / Határ út
V2208,CAF 5 modulos szerelvény,TRAM,47.45646,19.114079,3,Mexikói út M,Gubacsi út / Határ út
LOV874,VanHool AG318 csuklós autóbusz,BUS,47.458366,19.083858,23E,Boráros tér H,Pesterzsébeti lakótelep
V2205,CAF 5 modulos szerelvény,TRAM,47.500786,19.137238,3,Mexikói út M,Gubacsi út / Határ út
V1444,Ganz csuklós,TRAM,47.474167,19.070593,2,Jászai Mari tér,Közvágóhíd H
V4339,Tátra T5C5,TRAM,47.47017,19.087465,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V2204,CAF 5 modulos szerelvény,TRAM,47.4824,19.12898,3,Mexikói út M,Gubacsi út / Határ út
V4338,Tátra T5C5K,TRAM,47.47547,19.047081,61,Móricz Zs. körtér M,Hűvösvölgy
V1443,Ganz csuklós,TRAM,47.470085,19.025126,,,
V2207,CAF 5 modulos szerelvény,TRAM,47.473507,19.115217,3,Mexikói út M,Gubacsi út / Határ út
V2206,CAF 5 modulos szerelvény,TRAM,47.492405,19.141764,3,Mexikói út M,Gubacsi út / Határ út
V1445,Ganz csuklós,TRAM,47.494587,19.059523,47,Városház tér,Deák Ferenc tér M
V2212,CAF 5 modulos szerelvény,TRAM,47.519108,19.091345,3,Mexikói út M,Gubacsi út / Határ út
V1451,Ganz csuklós,TRAM,47.475033,19.070444,2,Jászai Mari tér,Közvágóhíd H
V1450,Ganz csuklós,TRAM,47.474762,19.046701,47,Városház tér,Deák Ferenc tér M
V2211,CAF 5 modulos szerelvény,TRAM,47.456303,19.114931,3,Mexikói út M,Gubacsi út / Határ út
V2214,CAF 5 modulos szerelvény,TRAM,47.505978,19.135082,3,Mexikói út M,Gubacsi út / Határ út
LRV480,Renault ND Master mozgáskorl. száll.,BUS,47.515472,19.097021,,,
LOV878,VanHool AG318 csuklós autóbusz,BUS,47.416878,19.130508,223M,Boráros tér H,Szentlőrinci úti ltp.
BPO231,Ikarus 412-es típusú autóbusz,BUS,47.458908,19.235035,98,Rákoscsaba vasútállomás,Kőbánya-Kispest M
