licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
PHG660,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.501896,19.135616,277,Bosnyák tér,Örs vezér tere M H
PHG657,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.508686,19.171446,277,Bosnyák tér,Örs vezér tere M H
V4267,Tátra T5C5K,TRAM,47.551994,19.092371,,,
V4261,Tátra T5C5K,TRAM,47.5517,19.09212,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4264,Tátra T5C5K,TRAM,47.499786,19.10825,,,
PKN602,MERCEDES Conecto szóló (BKV),BUS,47.45918,19.33204,162,"Maglód, Auchan áruház",Kőbánya alsó vasútáll.
V4259,Tátra T5C5K,TRAM,47.4812,19.004723,59,Márton Áron tér,Szent János Kórház
PKN609,MERCEDES Conecto szóló (BKV),BUS,47.492256,19.140644,162A,"Rákoskeresztúr, városkp.",Kőbánya alsó vasútáll.
PKN610,MERCEDES Conecto szóló (BKV),BUS,47.456577,19.201998,98E,Rákoshegy vasútállomás,Kőbánya-Kispest M
PKN607,MERCEDES Conecto szóló (BKV),BUS,47.484093,19.234692,162,"Maglód, Auchan áruház",Kőbánya alsó vasútáll.
PKN608,MERCEDES Conecto szóló (BKV),BUS,47.48357,19.127447,162,"Maglód, Auchan áruház",Kőbánya alsó vasútáll.
PKN606,MERCEDES Conecto szóló (BKV),BUS,47.486065,19.206612,162,"Maglód, Auchan áruház",Kőbánya alsó vasútáll.
PKN603,MERCEDES Conecto szóló (BKV),BUS,47.50005,19.23716,,,
PKN604,MERCEDES Conecto szóló (BKV),BUS,47.489185,19.034668,110E,Bosnyák tér,Apor Vilmos tér
PHG645,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.457462,19.294786,197,Rákoskert vasútállomás,Sáránd utca
PHG643,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.538147,19.164377,175,Cinkota H,"Újpalota, Szentmihályi út"
PHG644,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.51681,19.1623,277,Bosnyák tér,Örs vezér tere M H
PHG641,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.49034,19.149687,161A,"R.keresztúr, Kis utcai ltp.",Örs vezér tere M H
PHG640,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.541714,19.151848,175,Cinkota H,"Újpalota, Szentmihályi út"
PHG637,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.4979,19.23903,,,
PHG636,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,47.504547,19.13682,144,"R.szentmihály, Csömöri út",Örs vezér tere M H
