licensePlate,model,vehicleRouteType,tripId,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,BKK_C218464,47.46484,19.043173,47,Városház tér,Deák Ferenc tér M
V4063,Tátra T5C5K,TRAM,BKK_C348095,47.511887,19.005764,59,Márton Áron tér,Szent János Kórház
V4062,Tátra T5C5K,TRAM,,47.51499,19.000566,,,
MPW614,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.427822,19.157295,,,
MPW613,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C3737111,47.465065,19.127287,999,Dél-pesti autóbuszgarázs,Határ út M
LOV873,VanHool AG318 csuklós autóbusz,BUS,,47.42719,19.15988,,,
V1441,Ganz csuklós,TRAM,,47.470074,19.024477,,,
BPO221,Ikarus 412-es típusú autóbusz,BUS,BKK_C3562016,47.413204,19.20148,282E,Alacskai úti lakótelep,Kőbánya-Kispest M
LOV868,VanHool AG318 csuklós autóbusz,BUS,BKK_C3658118,47.424606,19.158777,54,"Péterimajor, Víztorony tér",Boráros tér H
BPO220,Ikarus 412-es típusú autóbusz,BUS,,47.42699,19.159777,,,
LOV869,VanHool AG318 csuklós autóbusz,BUS,BKK_C3551376,47.473766,19.071302,923,Békásmegyer H,Dél-pesti autóbuszgarázs
MPW619,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.428036,19.157074,,,
V1448,Ganz csuklós,TRAM,BKK_C363503,47.480606,19.052034,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2209,CAF 5 modulos szerelvény,TRAM,BKK_C3495432,47.444187,19.097422,3,Mexikói út M,Gubacsi út / Határ út
MPW621,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_MPW621-RTKkh4bMTJm3FQ1-N3o9sg,47.427567,19.157547,,,
MPW620,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.427994,19.15709,,,
V2207,CAF 5 modulos szerelvény,TRAM,BKK_C349543652,47.50011,19.13736,3,Mexikói út M,Gubacsi út / Határ út
MPW617,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.427856,19.157286,,,
LOV881,VanHool AG318 csuklós autóbusz,BUS,BKK_C36721233,47.420174,19.209692,950,"Rákospalota, Kossuth utca",Pestszentimre vasútáll.
MPW622,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.42693,19.159073,,,
V2212,CAF 5 modulos szerelvény,TRAM,,47.465454,19.122784,3,Mexikói út M,Gubacsi út / Határ út
V1450,Ganz csuklós,TRAM,BKK_C218463741J,47.437054,19.037254,47,Városház tér,Deák Ferenc tér M
V2211,CAF 5 modulos szerelvény,TRAM,,47.465096,19.12288,3,Mexikói út M,Gubacsi út / Határ út
MPW624,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_MPW624-oUiTGLoNQJ2GsWTOmZs0og,47.42925,19.15652,,,
MPW623,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.427624,19.157476,,,
V2210,CAF 5 modulos szerelvény,TRAM,BKK_C349543658,47.518913,19.11306,3,Mexikói út M,Gubacsi út / Határ út
V4071,Tátra T5C5K,TRAM,,47.551403,19.093527,,,
MPW630,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.426243,19.158482,,,
MPW629,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.427444,19.157736,,,
V2219,CAF 5 modulos szerelvény,TRAM,,47.466366,19.12277,3,Mexikói út M,Gubacsi út / Határ út
V2216,CAF 5 modulos szerelvény,TRAM,BKK_C349549,47.517815,19.115072,3,Mexikói út M,Gubacsi út / Határ út
MPW626,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.434296,19.146673,,,
MPW625,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.426327,19.158106,,,
V2218,CAF 5 modulos szerelvény,TRAM,BKK_C349542085,47.482403,19.129992,3,Mexikói út M,Gubacsi út / Határ út
MPW628,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_MPW628-dG0z2APvQdKUyjUV9ayAYQ,47.429394,19.155987,,,
LOV851,VanHool AG318 csuklós autóbusz,BUS,,47.43229,19.186651,,,
LOV857,VanHool AG318 csuklós autóbusz,BUS,BKK_C3695010,47.416866,19.130554,123A,Szentlőrinci úti ltp.,Határ út M
V2101,CAF 9 modulos szerelvény,TRAM,BKK_C348934913,47.468704,19.07102,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
MXJ002,MB515 minibusz,BUS,,47.499763,19.23684,,,
LOV853,VanHool AG318 csuklós autóbusz,BUS,,47.460056,19.119871,,,
V4044,Tátra T5C5,TRAM,,47.490974,19.109013,,,
BPO552,Ikarus 435-ös típusú autóbusz,BUS,,47.501408,19.236282,,,
LZZ332,Ikarus 405-ös alacsonypadlós autóbusz,BUS,,47.564293,19.110611,,,
V1438,Ganz csuklós,TRAM,BKK_C377831128J,47.47402,19.079334,2,Jászai Mari tér,Közvágóhíd H
V2106,CAF 9 modulos szerelvény,TRAM,BKK_C348934911,47.46303,19.023077,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4328,Tátra T5C5K,TRAM,BKK_C363526127J,47.475895,19.09888,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V2105,CAF 9 modulos szerelvény,TRAM,,47.461567,19.041677,,,
LOV864,VanHool AG318 csuklós autóbusz,BUS,,47.42695,19.160563,,,
V2108,CAF 9 modulos szerelvény,TRAM,BKK_C3489331407,47.49577,19.10906,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV865,VanHool AG318 csuklós autóbusz,BUS,,47.42836,19.156286,,,
MRZ246,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,BKK_MRZ246-3MkpgjCuTNOFO-l7RA8bfg,47.456005,18.940676,,,
MRZ245,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,,47.456104,18.94114,,,
V4024,Tátra T5C5K,TRAM,BKK_C3474358402,47.48429,19.053185,56A,Móricz Zs. körtér M,Hűvösvölgy
1111-1147,MXA-MXA,SUBURBAN_RAILWAY,BKK_H4009_3,47.535084,19.04573,H5,Szentendre,Batthyány tér
V4304,Tátra T5C5K,TRAM,BKK_C35245933,47.563023,19.090809,14,"Káp.megyer, Megyeri út",Lehel tér M
V4031,Tátra T5C5K,TRAM,,47.551605,19.09218,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4305,Tátra T5C5K,TRAM,BKK_C35245151,47.54221,19.08672,14,"Káp.megyer, Megyeri út",Lehel tér M
V4308,Tátra T5C5K,TRAM,BKK_C363526148J,47.531425,19.080877,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4276,Tátra T5C5K,TRAM,BKK_C35245152,47.587086,19.117945,14,"Káp.megyer, Megyeri út",Lehel tér M
V4282,Tátra T5C5K,TRAM,,47.548782,19.029411,,,
V4281,Tátra T5C5K,TRAM,BKK_C3635257,47.44122,18.979519,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
V4287,Tátra T5C5K,TRAM,BKK_C363525970J,47.45425,19.03922,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
BPO806,Ikarus 280-as típusú autóbusz,BUS,,47.567738,19.02896,,,
V4290,Tátra T5C5K,TRAM,BKK_C34893773J,47.526073,19.078388,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4017,Tátra T5C5K,TRAM,,47.55077,19.092745,,,
BPO804,Ikarus 280-as típusú autóbusz,BUS,,47.543335,19.03685,,,
V4011,Tátra T5C5K,TRAM,,47.55198,19.093672,,,
NCA431,MERCEDES Conecto csuklós,BUS,BKK_NCA431-2THF6_TYSbSL8lID1QWmIg,47.441902,19.073063,,,
NCA432,MERCEDES Conecto csuklós,BUS,BKK_C346217176,47.41612,19.09316,151,Kőbánya alsó vasútáll.,"Csepel, Határ utca"
PDN684,VanHool NewA330 szóló autóbusz,BUS,BKK_C3524821,47.433304,19.177757,198,"R.csaba-Újtelep, Tóalmás u.",Dél-pesti autóbuszgarázs
NCA440,MERCEDES Conecto csuklós,BUS,BKK_NCA440-s4hIx6LIR9qaGplj9E6m1Q,47.46355,19.07962,,,
NCA435,MERCEDES Conecto csuklós,BUS,BKK_C381093,47.462204,19.154163,100E,Liszt Ferenc Airport 2,Deák Ferenc tér M
PHG659,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,,47.498978,19.235764,,,
NCA436,MERCEDES Conecto csuklós,BUS,BKK_C381097,47.418533,19.25597,100E,Liszt Ferenc Airport 2,Deák Ferenc tér M
NCA434,MERCEDES Conecto csuklós,BUS,,47.45854,19.02757,,,
V4265,Tátra T5C5K,TRAM,BKK_C34893645J,47.50258,19.10765,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4261,Tátra T5C5K,TRAM,BKK_C348934909,47.53296,19.066116,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
PKN601,MERCEDES Conecto szóló (BKV),BUS,BKK_C3438260,47.52292,19.228321,908,Cinkotai autóbuszgarázs,Móricz Zs. körtér M
PKN607,MERCEDES Conecto szóló (BKV),BUS,BKK_C3470790,47.51048,19.206238,996,Cinkotai autóbuszgarázs,Újpest-központ M
PKN604,MERCEDES Conecto szóló (BKV),BUS,,47.498653,19.236223,,,
PHG645,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,,47.50159,19.23517,,,
PHG643,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,BKK_C080362,47.524937,19.204517,175,Cinkota H,"Újpalota, Szentmihályi út"
PHG641,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,,47.501278,19.234283,,,
PHG642,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,BKK_C247952,47.459656,19.300444,197,Rákoskert vasútállomás,Sáránd utca
NAY348,MAN Lions City A21 (ArrivaBus),BUS,BKK_NAY348-yWqlfLSPRjyowkdHkf7hvg,47.4368,19.070818,,,
PHG639,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,,47.501617,19.235113,,,
NAY346,MAN Lions City A21 (ArrivaBus),BUS,BKK_NAY346-kyuhohpiTHyl4_3ks45RUQ,47.44291,19.121735,,,
PHG640,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,,47.49907,19.237087,,,
PHG637,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,,47.499115,19.237215,144,"R.szentmihály, Csömöri út",Örs vezér tere M H
NAY344,MAN Lions City A21 (ArrivaBus),BUS,BKK_C369733,47.465073,19.127369,194,Gloriett lakótelep,Határ út M
PHG638,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,,47.5242,19.184263,,,
NAY342,MAN Lions City A21 (ArrivaBus),BUS,BKK_C350342410,47.401848,19.102724,152,Hollandi út,Szent Imre tér
PHG636,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,,47.499138,19.236258,,,
V4241,Tátra T5C5K,TRAM,,47.552315,19.092943,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
PHG652,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,BKK_C3582612,47.48285,19.27891,262,"Rákoskert, Erzsébet körút",Kőbánya alsó vasútáll.
NCA429,MERCEDES Conecto csuklós,BUS,,47.442577,19.082176,,,
NAY354,MAN Lions City A21 (ArrivaBus),BUS,BKK_NAY354-i3lCWuJ9QlGyh5IZL9LjbQ,47.41021,19.060362,,,
NAY355,MAN Lions City A21 (ArrivaBus),BUS,BKK_C3696011,47.43369,19.182884,182,Alacskai úti lakótelep,Kőbánya-Kispest M
NAY352,MAN Lions City A21 (ArrivaBus),BUS,BKK_NAY352-5o92sIewSkKkQg9LUSGNEg,47.466385,19.076109,,,
PHG625,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,,47.500862,19.234913,,,
PHG623,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,,47.49951,19.236977,,,
PHG621,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,BKK_C279982,47.50929,19.179373,92,Kistarcsa - Auchan Liget,Rákosszentmihály vasútáll.
PHG622,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,,47.50123,19.216192,,,
V2253,CAF 5 modulos szerelvény,TRAM,BKK_C3493111,47.519375,19.036476,19,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
NCA480,MERCEDES Conecto csuklós,BUS,BKK_C3269350,47.45489,19.181114,36,"Csepel, Csillagtelep",Pestszentlőrinc vasútáll.
NCA478,MERCEDES Conecto csuklós,BUS,BKK_C3560927,47.489742,19.074503,909,"Kispest, Kossuth tér",Deák Ferenc tér M
NCA476,MERCEDES Conecto csuklós,BUS,BKK_C365628,47.46015,19.306091,97E,Rákoskert sugárút,Örs vezér tere M H
NCA477,MERCEDES Conecto csuklós,BUS,BKK_C369752,47.450043,19.146439,194M,Gloriett lakótelep,Határ út M
V2250,CAF 5 modulos szerelvény,TRAM,,47.456562,19.04019,,,
NCA474,MERCEDES Conecto csuklós,BUS,BKK_C3646731,47.410896,19.023106,133E,"Újpalota, Nyírpalota út","Nagytétény, Erdélyi utca"
NCA475,MERCEDES Conecto csuklós,BUS,BKK_NCA475-UuafxolNSJG9lXt3XD7mfg,47.48607,19.191607,,,
V2248,CAF 5 modulos szerelvény,TRAM,BKK_C349314186J,47.482872,19.052761,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
PHG635,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,,47.498714,19.237514,,,
PHG633,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,,47.50127,19.234243,,,
849-833,MIXA-MIXA,SUBURBAN_RAILWAY,BKK_H31283_227,47.419884,19.065157,H7,Csepel,Boráros tér
NAY336,MAN Lions City A21 (ArrivaBus),BUS,BKK_C369608,47.451157,19.176792,184,"Pestszentimre, Benjámin u.",Kőbánya-Kispest M
NAY334,MAN Lions City A21 (ArrivaBus),BUS,BKK_C3697313,47.42753,19.17322,194,Gloriett lakótelep,Határ út M
PHG626,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,,47.501095,19.234266,,,
NAY333,MAN Lions City A21 (ArrivaBus),BUS,,47.579662,19.053041,,,
PHG627,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,,47.498817,19.237106,,,
NAY331,MAN Lions City A21 (ArrivaBus),BUS,BKK_NAY331-ZFh9YfzWR_KlvXmAXgvO3g,47.45799,19.029081,,,
V2237,CAF 5 modulos szerelvény,TRAM,BKK_C349314030J,47.54172,19.030586,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
NCA414,MERCEDES Conecto csuklós,BUS,,47.409996,19.060337,,,
NCA415,MERCEDES Conecto csuklós,BUS,BKK_C3269314,47.446327,19.171001,36,"Csepel, Csillagtelep",Pestszentlőrinc vasútáll.
NCA412,MERCEDES Conecto csuklós,BUS,BKK_C3462114,47.44191,19.075943,151,Kőbánya alsó vasútáll.,"Csepel, Határ utca"
