licensePlate,model,vehicleRouteType,tripId,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,BKK_C21846869,47.47469,19.046705,47,Városház tér,Deák Ferenc tér M
V4063,Tátra T5C5K,TRAM,,47.47549,19.04696,,,
V2112,CAF 9 modulos szerelvény,TRAM,,47.440117,19.035393,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
MPW614,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C36119136,47.45499,19.18835,217,Szarvas csárda tér,Kőbánya alsó vasútáll.
LOV873,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950518,47.42947,19.129938,123A,Szentlőrinci úti ltp.,Határ út M
V1441,Ganz csuklós,TRAM,BKK_C36350493,47.47041,19.027895,49,Kelenföld vasútállomás M,Deák Ferenc tér M
MPW613,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.427593,19.157532,,,
V4064,Tátra T5C5K,TRAM,,47.47001,19.025806,,,
BPO221,Ikarus 412-es típusú autóbusz,BUS,BKK_C18585169,47.41678,19.251694,236,Havanna utcai lakótelep,Market Central Ferihegy
LOV868,VanHool AG318 csuklós autóbusz,BUS,BKK_LOV868-pLjlH_9ERieU3jsm3sSi5g,47.42816,19.156477,,,
V4061,Tátra T5C5K,TRAM,BKK_C3474324702,47.501053,19.02416,61,Móricz Zs. körtér M,Hűvösvölgy
V1448,Ganz csuklós,TRAM,BKK_C36350501,47.483295,19.053143,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2209,CAF 5 modulos szerelvény,TRAM,BKK_C349544206,47.519592,19.097174,3,Mexikói út M,Gubacsi út / Határ út
V2208,CAF 5 modulos szerelvény,TRAM,BKK_C349541218,47.517147,19.116234,3,Mexikói út M,Gubacsi út / Határ út
MPW618,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.427845,19.158754,,,
MPW621,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C36119130,47.48394,19.127388,217,Szarvas csárda tér,Kőbánya alsó vasútáll.
LOV874,VanHool AG318 csuklós autóbusz,BUS,,47.428257,19.157978,,,
V2205,CAF 5 modulos szerelvény,TRAM,BKK_C349541179,47.47612,19.119238,3,Mexikói út M,Gubacsi út / Határ út
LOV875,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950533,47.416786,19.130632,123A,Szentlőrinci úti ltp.,Határ út M
V1443,Ganz csuklós,TRAM,BKK_C36350471,47.497143,19.05602,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V4338,Tátra T5C5K,TRAM,BKK_C3474324709,47.495262,19.035337,56A,Móricz Zs. körtér M,Hűvösvölgy
V2207,CAF 5 modulos szerelvény,TRAM,BKK_C349542594,47.517094,19.116224,3,Mexikói út M,Gubacsi út / Határ út
MPW617,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_MPW617-mrEnJ6pZSoqA6kgLwa-6iA,47.427673,19.1575,,,
V1445,Ganz csuklós,TRAM,BKK_C21846877,47.489525,19.061367,47,Városház tér,Deák Ferenc tér M
V2206,CAF 5 modulos szerelvény,TRAM,BKK_C349541206,47.51843,19.092157,3,Mexikói út M,Gubacsi út / Határ út
LOV877,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950537,47.43833,19.128565,123,"Soroksár, IKEA áruház",Határ út M
MPW616,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.427692,19.15811,,,
LOV881,VanHool AG318 csuklós autóbusz,BUS,BKK_C37690484,47.45165,19.158676,50,Lajosmizsei sorompó,Határ út M
V2212,CAF 5 modulos szerelvény,TRAM,,47.519146,19.091312,3,Mexikói út M,Gubacsi út / Határ út
MPW622,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.426723,19.158546,,,
V1450,Ganz csuklós,TRAM,BKK_C21846836,47.49752,19.055302,47,Városház tér,Deák Ferenc tér M
V2211,CAF 5 modulos szerelvény,TRAM,BKK_C349541242,47.448715,19.104063,3,Mexikói út M,Gubacsi út / Határ út
V2214,CAF 5 modulos szerelvény,TRAM,,47.464947,19.122732,,,
V4076,Tátra T5C5K,TRAM,,47.47061,19.0247,19,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
BPO231,Ikarus 412-es típusú autóbusz,BUS,BKK_C35335316,47.390343,19.119215,135,"Soroksár, IKEA áruház",Millenniumtelep H
V2210,CAF 5 modulos szerelvény,TRAM,BKK_C349541224,47.491524,19.138708,3,Mexikói út M,Gubacsi út / Határ út
MPW630,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_MPW630-tfp2PtXMQYyEgz0fJiVIVA,47.426186,19.158903,,,
V2219,CAF 5 modulos szerelvény,TRAM,BKK_C349541236,47.475803,19.118807,3,Mexikói út M,Gubacsi út / Határ út
MPW629,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.426315,19.15801,,,
BPO234,Ikarus 412-es típusú autóbusz,BUS,BKK_C369922355,47.48297,19.126505,95,Felsőcsatári köz,Puskás Ferenc Stadion M
V2216,CAF 5 modulos szerelvény,TRAM,,47.46566,19.122864,3,Mexikói út M,Gubacsi út / Határ út
MPW626,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_C35157255,47.45085,19.14547,68,"Akadémiaújtelep, 525. tér",Vas Gereben utca
V2215,CAF 5 modulos szerelvény,TRAM,BKK_C349541161,47.455475,19.11414,3,Mexikói út M,Gubacsi út / Határ út
LRV482,Renault ND Master mozgáskorl. száll.,BUS,,47.568184,19.02767,,,
MPW625,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.42604,19.158508,,,
V2218,CAF 5 modulos szerelvény,TRAM,BKK_C349541185,47.49284,19.14159,3,Mexikói út M,Gubacsi út / Határ út
MPW628,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_MPW628-cGGDhn3_Qz2HSSdsdWgUwg,47.46085,19.10914,,,
LOV851,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950523,47.46606,19.124203,123,"Soroksár, IKEA áruház",Határ út M
V4042,Tátra T5C5K,TRAM,BKK_C35245130,47.54259,19.086956,14,"Káp.megyer, Megyeri út",Lehel tér M
LOV857,VanHool AG318 csuklós autóbusz,BUS,BKK_C355191592,47.475525,19.069597,23E,Boráros tér H,Pesterzsébeti lakótelep
MXJ001,MB515 minibusz,BUS,,47.490974,19.282902,,,
V4048,Tátra T5C5,TRAM,,47.490894,19.088911,,,
V2101,CAF 9 modulos szerelvény,TRAM,BKK_C34893942,47.543343,19.037172,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV853,VanHool AG318 csuklós autóbusz,BUS,,47.428764,19.155897,,,
V4316,Tátra T5C5K,TRAM,,47.470234,19.024603,,,
BPO552,Ikarus 435-ös típusú autóbusz,BUS,BKK_C37178418,47.547504,19.14149,7E,"Újpalota, Nyírpalota út",Blaha Lujza tér M
LOV855,VanHool AG318 csuklós autóbusz,BUS,BKK_C367251712,47.44835,19.166294,136E,Havanna utcai lakótelep,Kőbánya-Kispest M
V4318,Tátra T5C5K,TRAM,BKK_C3474324749,47.4966,19.032919,56A,Móricz Zs. körtér M,Hűvösvölgy
LZZ332,Ikarus 405-ös alacsonypadlós autóbusz,BUS,BKK_C3528299,47.564396,19.110775,121,Újpest-városkapu M,R.palota-Újpest vasútáll.
925,MXA,SUBURBAN_RAILWAY,BKK_H15386_271,47.525528,19.221132,H9,Csömör,Örs vezér tere
V4324,Tátra T5C5K,TRAM,BKK_C348094625,47.48169,18.999006,59A,Márton Áron tér,Széll Kálmán tér M
LOV860,VanHool AG318 csuklós autóbusz,BUS,BKK_C36950531,47.417873,19.156546,123,"Soroksár, IKEA áruház",Határ út M
V4323,Tátra T5C5K,TRAM,BKK_C348931066-20211019-01,47.536613,19.05784,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V2104,CAF 9 modulos szerelvény,TRAM,BKK_C348931107J,47.441086,19.035643,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4054,Tátra T5C5,TRAM,,47.489815,19.089197,,,
