licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,47.469933,19.025434,49,Kelenföld vasútállomás M,Deák Ferenc tér M
MOS267,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.49194,19.140047,956,"Pécel, Kun József utca",Pesthidegkút-Hűvösvölgy
LOV871,VanHool AG318 csuklós autóbusz,BUS,47.428898,19.15568,,,
MPW614,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427944,19.157187,,,
LOV873,VanHool AG318 csuklós autóbusz,BUS,47.426933,19.160841,914,"Káp.megyer, Mogyoródi-p.",Dél-pesti autóbuszgarázs
V1441,Ganz csuklós,TRAM,47.470116,19.025373,47,Városház tér,Deák Ferenc tér M
V1580,TW 6000,TRAM,47.47086,19.091932,24,Keleti pályaudvar M,Közvágóhíd H
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.50822,19.059204,923,Békásmegyer H,Dél-pesti autóbuszgarázs
BPO220,Ikarus 412-es típusú autóbusz,BUS,47.42704,19.158363,,,
LOV869,VanHool AG318 csuklós autóbusz,BUS,47.544117,19.087687,914,"Káp.megyer, Mogyoródi-p.",Dél-pesti autóbuszgarázs
MPW618,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427837,19.157305,,,
MPW620,VanHool A330 CNG típusú szóló autóbusz,BUS,47.4267,19.158567,,,
LOV874,VanHool AG318 csuklós autóbusz,BUS,47.427876,19.159647,,,
MOS271,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.48824,19.225222,,,
V2205,CAF 5 modulos szerelvény,TRAM,47.46493,19.123117,3,Mexikói út M,Gubacsi út / Határ út
LOV875,VanHool AG318 csuklós autóbusz,BUS,47.42825,19.15637,123A,Szentlőrinci úti ltp.,Határ út M
V2207,CAF 5 modulos szerelvény,TRAM,47.506977,19.133268,3,Mexikói út M,Gubacsi út / Határ út
LOV881,VanHool AG318 csuklós autóbusz,BUS,47.428265,19.156368,,,
MPW622,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427486,19.158447,,,
NBW003,MERCEDES Conecto szóló (BKV),BUS,47.500774,19.236841,,,
V2211,CAF 5 modulos szerelvény,TRAM,47.459965,19.120844,3,Mexikói út M,Gubacsi út / Határ út
V4224,Tátra T5C5K,TRAM,47.56584,19.111631,14,"Káp.megyer, Megyeri út",Lehel tér M
V2214,CAF 5 modulos szerelvény,TRAM,47.46521,19.122478,3,Mexikói út M,Gubacsi út / Határ út
LOV878,VanHool AG318 csuklós autóbusz,BUS,47.512527,19.050348,923,Békásmegyer H,Dél-pesti autóbuszgarázs
MPW631,VanHool A330 CNG típusú szóló autóbusz,BUS,47.426327,19.158089,,,
MPW625,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42671,19.161978,980,Dél-pesti autóbuszgarázs,"Rákoskeresztúr, városkp."
V2218,CAF 5 modulos szerelvény,TRAM,47.465225,19.123882,3,Mexikói út M,Gubacsi út / Határ út
NBW009,MERCEDES Conecto szóló (BKV),BUS,47.49738,19.071625,908,Cinkotai autóbuszgarázs,Móricz Zs. körtér M
NBW008,MERCEDES Conecto szóló (BKV),BUS,47.50926,19.129374,990,Rákoskert,Normafa
MUT887,VanHool  NewAG300 csuklós autóbusz,BUS,47.428043,19.158876,,,
V1559,TW 6000,TRAM,47.471058,19.0823,,,
V4043,Tátra T5C5K,TRAM,47.483627,19.053444,,,
MUT889,VanHool  NewAG300 csuklós autóbusz,BUS,47.573383,19.048616,923,Békásmegyer H,Dél-pesti autóbuszgarázs
V4315,Tátra T5C5K,TRAM,47.49063,19.089369,,,
LOV857,VanHool AG318 csuklós autóbusz,BUS,47.404495,19.185883,950A,"Rákospalota, Kossuth utca",Pestszentimre vasútáll.
MUT894,VanHool  NewAG300 csuklós autóbusz,BUS,47.462357,19.080584,923,Békásmegyer H,Dél-pesti autóbuszgarázs
V2101,CAF 9 modulos szerelvény,TRAM,47.491558,19.10385,,,
MUT891,VanHool  NewAG300 csuklós autóbusz,BUS,47.427517,19.159386,923,Békásmegyer H,Dél-pesti autóbuszgarázs
LOV853,VanHool AG318 csuklós autóbusz,BUS,47.42859,19.158215,,,
V2102,CAF 9 modulos szerelvény,TRAM,47.440536,19.035404,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
MUT898,VanHool  NewAG300 csuklós autóbusz,BUS,47.42473,19.154346,923,Békásmegyer H,Dél-pesti autóbuszgarázs
LOV860,VanHool AG318 csuklós autóbusz,BUS,47.426933,19.158487,,,
MUT897,VanHool  NewAG300 csuklós autóbusz,BUS,47.43692,19.097704,923,Békásmegyer H,Dél-pesti autóbuszgarázs
V4323,Tátra T5C5K,TRAM,47.552624,19.092627,,,
BPI147,Ikarus 435-ös típusú autóbusz,BUS,47.5015,19.236605,,,
V1570,TW 6000,TRAM,47.47002,19.086088,24,Keleti pályaudvar M,Közvágóhíd H
MUT900,VanHool  NewAG300 csuklós autóbusz,BUS,47.42774,19.15854,,,
V2103,CAF 9 modulos szerelvény,TRAM,47.490173,19.106752,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
MUT899,VanHool  NewAG300 csuklós autóbusz,BUS,47.42707,19.15884,,,
LOV858,VanHool AG318 csuklós autóbusz,BUS,47.428207,19.15643,,,
MUU906,VanHool  NewAG300 csuklós autóbusz,BUS,47.597828,19.054003,,,
V1575,TW 6000,TRAM,47.470955,19.092377,,,
V2109,CAF 9 modulos szerelvény,TRAM,47.491657,19.103777,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V1433,Ganz csuklós,TRAM,47.47033,19.025433,,,
MUU902,VanHool  NewAG300 csuklós autóbusz,BUS,47.42792,19.156496,,,
V4055,Tátra T5C5,TRAM,47.490673,19.089289,,,
MOS262,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.50746,19.113304,,,
MUU904,VanHool  NewAG300 csuklós autóbusz,BUS,47.427963,19.158606,,,
V1434,Ganz csuklós,TRAM,47.452484,19.03867,47,Városház tér,Deák Ferenc tér M
MOS261,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.507553,19.0237,956,"Pécel, Kun József utca",Pesthidegkút-Hűvösvölgy
V2107,CAF 9 modulos szerelvény,TRAM,47.439594,19.03574,,,
MOS256,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.50745,19.112753,,,
BPO811,Ikarus 280-as típusú autóbusz,BUS,47.427006,19.158731,,,
MRZ399,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.426632,19.160807,994,"Gyál, Vecsési út",Dél-pesti autóbuszgarázs
MRZ395,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.43208,19.043142,,,
MUT884,VanHool  NewAG300 csuklós autóbusz,BUS,47.42677,19.158968,,,
MUT886,VanHool  NewAG300 csuklós autóbusz,BUS,47.42815,19.159407,,,
V1552,TW 6000,TRAM,47.46478,19.124489,,,
V4278,Tátra T5C5K,TRAM,47.5514,19.092604,14,"Káp.megyer, Megyeri út",Lehel tér M
PDN610,MAN Lions City A21 (ArrivaBus),BUS,47.4582,19.029535,,,
LYH129,MERCEDES Citaro O 530 (BKV spec.),BUS,47.500156,19.024172,960,"B.megyer, Újmegyeri tér",Móricz Zs. körtér M
LYH130,MERCEDES Citaro O 530 (BKV spec.),BUS,47.507954,19.026476,960,"B.megyer, Újmegyeri tér",Móricz Zs. körtér M
BPI181,Ikarus 280-as típusú autóbusz,BUS,47.428543,19.156858,,,
V4137,Tátra T5C5K,TRAM,47.552155,19.092367,,,
V4017,Tátra T5C5K,TRAM,47.5385,19.084757,14,"Káp.megyer, Megyeri út",Lehel tér M
PDN626,MAN Lions City A21 (ArrivaBus),BUS,47.45791,19.02925,53,Mindszenty J. bíboros tér,Móricz Zs. körtér M
PDN622,MAN Lions City A21 (ArrivaBus),BUS,47.458046,19.027948,154,Infopark - BudaPart,Gazdagréti tér
PDN623,MAN Lions City A21 (ArrivaBus),BUS,47.458187,19.028257,141,Savoya Park,Kelenföld vasútállomás M
LYH116,MERCEDES Citaro O 530 (BKV spec.),BUS,47.526516,19.0762,901,Bécsi út / Vörösvári út,Kelenföld vasútállomás M
LYH112,MERCEDES Citaro O 530 (BKV spec.),BUS,47.567986,19.031595,165,Remetehegyi út,Kolosy tér
PDB384,MERCEDES Conecto szóló (BKV),BUS,47.487705,19.243223,998,"Rákoskeresztúr, városközp.","Rákoskeresztúr, városközp."
NCA437,MERCEDES Conecto csuklós,BUS,47.459003,19.026798,,,
NCA438,MERCEDES Conecto csuklós,BUS,47.458874,19.02685,,,
PDB383,MERCEDES Conecto szóló (BKV),BUS,47.499256,19.237038,,,
