id,num_of_stops,total_distance,shortName,type,From,To
BKK_9160,16.0,6874.0,916,BUS,Uránia,Széll Kálmán tér M
BKK_9140,65.0,29755.0,914,BUS,"Káp.megyer, Mogyoródi-p.",Dél-pesti autóbuszgarázs
BKK_9220,23.0,9999.0,922,BUS,"Budakeszi, Dózsa Gy. tér",Széll Kálmán tér M
BKK_9600,44.0,19612.0,960,BUS,"B.megyer, Újmegyeri tér",Móricz Zs. körtér M
BKK_9900,98.0,44522.0,990,BUS,Rákoskert,Normafa
BKK_9500,75.0,37397.0,950,BUS,"Rákospalota, Kossuth utca",Pestszentimre vasútáll.
BKK_9791,32.0,15179.0,979A,BUS,"Csepel, Csillagtelep",Deák Ferenc tér M
BKK_9070,39.0,17279.0,907,BUS,Örs vezér tere M H,Kelenföld vasútállomás M
BKK_9230,65.0,32052.0,923,BUS,Békásmegyer H,Dél-pesti autóbuszgarázs
BKK_9961,48.0,20006.0,996A,BUS,Cinkotai autóbuszgarázs,Újpest-központ M
BKK_9310,70.0,30488.0,931,BUS,"Árpádföld, Dezsőfia utca",Nyugati pályaudvar M
BKK_9341,28.0,13902.0,934,BUS,Békásmegyer H,Nyugati pályaudvar M
BKK_9980,22.0,8728.0,998,BUS,"Rákoskeresztúr, városközp.","Rákoskeresztúr, városközp."
BKK_9990,23.0,9574.0,999,BUS,Dél-pesti autóbuszgarázs,Határ út M
BKK_9501,41.0,21943.0,950A,BUS,"Rákospalota, Kossuth utca",Pestszentimre vasútáll.
BKK_9400,41.0,18627.0,940,BUS,Budaörsi lakótelep,Móricz Zs. körtér M
BKK_9071,11.0,4939.0,907A,BUS,Astoria M,Bosnyák tér
BKK_9010,39.0,21169.0,901,BUS,Bécsi út / Vörösvári út,Kelenföld vasútállomás M
BKK_9311,15.0,7385.0,931A,BUS,Deák Ferenc tér M,Örs vezér tere M H
BKK_9640,22.0,10102.0,964,BUS,"Solymár, PEMÜ",Hűvösvölgy
BKK_9800,28.0,12542.0,980,BUS,Dél-pesti autóbuszgarázs,"Rákoskeresztúr, városkp."
BKK_9180,44.0,23602.0,918,BUS,Óbudai autóbuszgarázs,Kelenföld vasútállomás M
BKK_9730,65.0,30076.0,973,BUS,"Újpalota, Szentmihályi út","Nagytétény, ipartelep"
BKK_9660,25.0,12626.0,966,BUS,Millenniumtelep H,Határ út M
BKK_9731,24.0,11253.0,973A,BUS,"Rákospalota, MÁV-telep",Városház tér
BKK_9410,57.0,23062.0,941,BUS,Budatétény vá. (Campona),Móricz Zs. körtér M
BKK_9300,9.0,4117.0,930,BUS,"Megyer, Szondi utca",Újpest-központ M
BKK_9090,36.0,16637.0,909,BUS,"Kispest, Kossuth tér",Deák Ferenc tér M
BKK_9680,28.0,13278.0,968,BUS,Cinkotai autóbuszgarázs,"Kispest, Kossuth tér"
BKK_9720,48.0,25472.0,972,BUS,"Törökbálint, Nyár utca",Móricz Zs. körtér M
BKK_9940,26.0,13197.0,994,BUS,"Gyál, Vecsési út",Dél-pesti autóbuszgarázs
BKK_9790,57.0,26668.0,979,BUS,"Csepel, Csillagtelep","Újpalota, Nyírpalota út"
BKK_9722,50.0,23972.0,972B,BUS,Móricz Zsigmond körtér M,"Törökbálint, Nyár utca"
BKK_2615,6.0,10042.0,261E,BUS,"Rákoskeresztúr, városkp.",Örs vezér tere M H
BKK_0944,19.0,21628.0,94M,BUS,"Gyál, Vecsési út",Határ út M
BKK_2620,39.0,17944.0,262,BUS,"Rákoskert, Erzsébet körút",Kőbánya alsó vasútáll.
BKK_0844,28.0,21949.0,84M,BUS,"Gyál, Deák Ferenc utca",Nagyvárad tér M
BKK_2944,27.0,21742.0,294M,BUS,"Gyál, Vecsési út",Nagyvárad tér M
BKK_1461,6.0,3548.0,146A,BUS,Cinkotai autóbuszgarázs,"Rákoskeresztúr, városkp."
BKK_2802,10.0,5360.0,280B,BUS,Bányató út,"Lakihegy, Cseresznyés utca"
BKK_VP24,11.0,5607.0,24,BUS,Keleti pályaudvar M,Közvágóhíd H
BKK_3480,17.0,8031.0,48,TRAM,Savoya Park,Deák Ferenc tér M
BKK_2410,12.0,4840.0,241,BUS,Lomnici utca,Savoya Park
BKK_MP533,13.0,11300.0,M3,BUS,Kőbánya-Kispest M,Lehel tér M
BKK_3027,12.0,6063.0,N2,TRAM,Nosztalgiajárat,Nosztalgiajárat
