licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
LOV871,VanHool AG318 csuklós autóbusz,BUS,47.42697,19.15939,,,
MPW614,VanHool A330 CNG típusú szóló autóbusz,BUS,47.426792,19.158398,,,
LOV873,VanHool AG318 csuklós autóbusz,BUS,47.406155,19.18317,54,"Péterimajor, Víztorony tér",Boráros tér H
MPW613,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42409,19.208843,282E,Alacskai úti lakótelep,Kőbánya-Kispest M
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.467613,19.12012,914,"Káp.megyer, Mogyoródi-p.",Dél-pesti autóbuszgarázs
BPO566,Ikarus 435-ös típusú autóbusz,BUS,47.501816,19.234955,,,
LOV869,VanHool AG318 csuklós autóbusz,BUS,47.45422,19.152443,950,"Rákospalota, Kossuth utca",Pestszentimre vasútáll.
MPW619,VanHool A330 CNG típusú szóló autóbusz,BUS,47.428043,19.157087,,,
V1448,Ganz csuklós,TRAM,47.49728,19.055521,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2208,CAF 5 modulos szerelvény,TRAM,47.52236,19.102453,3,Mexikói út M,Gubacsi út / Határ út
MPW618,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427437,19.157696,,,
MPW621,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427525,19.157587,,,
MPW620,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427685,19.157478,,,
LOV874,VanHool AG318 csuklós autóbusz,BUS,47.602856,19.066511,34,"B.megyer, Újmegyeri tér",Göncz Árpád városkp. M
V2205,CAF 5 modulos szerelvény,TRAM,47.443817,19.095613,3,Mexikói út M,Gubacsi út / Határ út
MPW617,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42646,19.158903,,,
V2206,CAF 5 modulos szerelvény,TRAM,47.519054,19.091187,3,Mexikói út M,Gubacsi út / Határ út
V1445,Ganz csuklós,TRAM,47.48665,19.056671,47,Városház tér,Deák Ferenc tér M
MPW616,VanHool A330 CNG típusú szóló autóbusz,BUS,47.433956,19.203903,,,
MPW622,VanHool A330 CNG típusú szóló autóbusz,BUS,47.471516,19.163546,,,
V2212,CAF 5 modulos szerelvény,TRAM,47.47131,19.109352,3,Mexikói út M,Gubacsi út / Határ út
V1450,Ganz csuklós,TRAM,47.470055,19.025778,47,Városház tér,Deák Ferenc tér M
V2214,CAF 5 modulos szerelvény,TRAM,47.4652,19.12363,,,
MPW624,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42704,19.158125,,,
MPW623,VanHool A330 CNG típusú szóló autóbusz,BUS,47.483753,19.1275,217,Szarvas csárda tér,Kőbánya alsó vasútáll.
LOV878,VanHool AG318 csuklós autóbusz,BUS,47.427,19.160778,923,Békásmegyer H,Dél-pesti autóbuszgarázs
BPO231,Ikarus 412-es típusú autóbusz,BUS,47.426468,19.161554,,,
MPW630,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42621,19.158344,,,
MPW629,VanHool A330 CNG típusú szóló autóbusz,BUS,47.426556,19.161175,,,
BPO582,Ikarus 435-ös típusú autóbusz,BUS,47.499195,19.236702,161,Rákoscsaba,Örs vezér tere M H
MPW631,VanHool A330 CNG típusú szóló autóbusz,BUS,47.428143,19.156954,,,
MPW626,VanHool A330 CNG típusú szóló autóbusz,BUS,47.441597,19.140724,68,"Akadémiaújtelep, 525. tér",Vas Gereben utca
MPW625,VanHool A330 CNG típusú szóló autóbusz,BUS,47.445835,19.135689,999,Dél-pesti autóbuszgarázs,Határ út M
V2215,CAF 5 modulos szerelvény,TRAM,47.509304,19.129465,3,Mexikói út M,Gubacsi út / Határ út
MPW628,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42629,19.158466,,,
V2218,CAF 5 modulos szerelvény,TRAM,47.488808,19.13555,3,Mexikói út M,Gubacsi út / Határ út
LOV851,VanHool AG318 csuklós autóbusz,BUS,47.50818,19.059317,923,Békásmegyer H,Dél-pesti autóbuszgarázs
LOV857,VanHool AG318 csuklós autóbusz,BUS,47.42667,19.1582,,,
MXJ001,MB515 minibusz,BUS,47.485744,19.283257,,,
V2101,CAF 9 modulos szerelvény,TRAM,47.492573,19.103786,,,
LOV853,VanHool AG318 csuklós autóbusz,BUS,47.475163,19.069885,54,"Péterimajor, Víztorony tér",Boráros tér H
925,MXA,SUBURBAN_RAILWAY,47.545635,19.259499,H8,Gödöllő,Örs vezér tere
V2102,CAF 9 modulos szerelvény,TRAM,47.463367,19.02319,,,
V4051,Tátra T5C5K,TRAM,47.565857,19.111753,14,"Káp.megyer, Megyeri út",Lehel tér M
LOV861,VanHool AG318 csuklós autóbusz,BUS,47.425602,19.128574,123A,Szentlőrinci úti ltp.,Határ út M
V4326,Tátra T5C5K,TRAM,47.475742,19.046862,56A,Móricz Zs. körtér M,Hűvösvölgy
