licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
BPI156,Ikarus 435-ös típusú autóbusz,BUS,47.501617,19.236185,,,
LOV871,VanHool AG318 csuklós autóbusz,BUS,47.42697,19.159367,,,
MOS269,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.434864,19.070778,,,
MPW614,VanHool A330 CNG típusú szóló autóbusz,BUS,47.426758,19.158356,,,
LOV873,VanHool AG318 csuklós autóbusz,BUS,47.493713,19.060108,914,"Káp.megyer, Mogyoródi-p.",Dél-pesti autóbuszgarázs
MOS268,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.500282,19.029604,956,"Pécel, Kun József utca",Pesthidegkút-Hűvösvölgy
MPW613,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427525,19.157597,,,
BPO221,Ikarus 412-es típusú autóbusz,BUS,47.468124,19.118942,,,
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.5985,19.121344,914,"Káp.megyer, Mogyoródi-p.",Dél-pesti autóbuszgarázs
BPO566,Ikarus 435-ös típusú autóbusz,BUS,47.50138,19.2363,,,
LOV869,VanHool AG318 csuklós autóbusz,BUS,47.44528,19.173376,950,"Rákospalota, Kossuth utca",Pestszentimre vasútáll.
MOS275,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.50991,19.009964,956,"Pécel, Kun József utca",Pesthidegkút-Hűvösvölgy
MPW619,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42802,19.157099,,,
V2208,CAF 5 modulos szerelvény,TRAM,47.471733,19.11074,3,Mexikói út M,Gubacsi út / Határ út
MPW618,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42741,19.157694,,,
MPW621,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427547,19.157602,,,
MPW620,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42767,19.157454,,,
LOV874,VanHool AG318 csuklós autóbusz,BUS,47.584286,19.049637,923,Békásmegyer H,Dél-pesti autóbuszgarázs
V4216,Tátra T5C5K,TRAM,47.55202,19.09249,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
MOS273,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.37953,19.009209,,,
MPW617,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427593,19.157503,,,
MPW616,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427402,19.157719,,,
LOV877,VanHool AG318 csuklós autóbusz,BUS,47.427086,19.158852,,,
V2206,CAF 5 modulos szerelvény,TRAM,47.46544,19.123194,3,Mexikói út M,Gubacsi út / Határ út
MPW622,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42813,19.156988,,,
V2212,CAF 5 modulos szerelvény,TRAM,47.465355,19.123444,,,
NBW002,MERCEDES Conecto szóló (BKV),BUS,47.49995,19.236998,,,
