licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
LOV871,VanHool AG318 csuklós autóbusz,BUS,47.45815,19.143147,50,Lajosmizsei sorompó,Határ út M
MPW614,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427765,19.157358,,,
LOV873,VanHool AG318 csuklós autóbusz,BUS,47.428722,19.15589,,,
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.416885,19.130514,123A,Szentlőrinci úti ltp.,Határ út M
BPO220,Ikarus 412-es típusú autóbusz,BUS,47.42909,19.155949,,,
LOV869,VanHool AG318 csuklós autóbusz,BUS,47.449615,19.121668,54,"Péterimajor, Víztorony tér",Boráros tér H
V2209,CAF 5 modulos szerelvény,TRAM,47.514877,19.120077,3,Mexikói út M,Gubacsi út / Határ út
MPW619,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42621,19.158596,,,
V2208,CAF 5 modulos szerelvény,TRAM,47.445866,19.099762,3,Mexikói út M,Gubacsi út / Határ út
MPW618,VanHool A330 CNG típusú szóló autóbusz,BUS,47.49988,19.104929,95,Felsőcsatári köz,Puskás Ferenc Stadion M
MPW621,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427914,19.15721,,,
MPW620,VanHool A330 CNG típusú szóló autóbusz,BUS,47.486103,19.092705,99,Mátyás király tér,Blaha Lujza tér M
V2205,CAF 5 modulos szerelvény,TRAM,47.454887,19.113335,3,Mexikói út M,Gubacsi út / Határ út
V4339,Tátra T5C5,TRAM,47.490303,19.089333,,,
V2204,CAF 5 modulos szerelvény,TRAM,47.459873,19.111565,3,Mexikói út M,Gubacsi út / Határ út
LOV875,VanHool AG318 csuklós autóbusz,BUS,47.427998,19.15818,,,
V1445,Ganz csuklós,TRAM,47.426353,19.03949,47,Városház tér,Deák Ferenc tér M
V2206,CAF 5 modulos szerelvény,TRAM,47.481525,19.126886,3,Mexikói út M,Gubacsi út / Határ út
MPW616,VanHool A330 CNG típusú szóló autóbusz,BUS,47.426903,19.160698,,,
923,MXA,SUBURBAN_RAILWAY,47.50439,19.144953,H8,Gödöllő,Örs vezér tere
V2212,CAF 5 modulos szerelvény,TRAM,47.519287,19.091154,3,Mexikói út M,Gubacsi út / Határ út
LOV881,VanHool AG318 csuklós autóbusz,BUS,47.428772,19.155832,,,
MPW622,VanHool A330 CNG típusú szóló autóbusz,BUS,47.426792,19.15776,,,
V2211,CAF 5 modulos szerelvény,TRAM,47.47369,19.115503,3,Mexikói út M,Gubacsi út / Határ út
V1450,Ganz csuklós,TRAM,47.487076,19.057522,47,Városház tér,Deák Ferenc tér M
MPW623,VanHool A330 CNG típusú szóló autóbusz,BUS,47.447056,19.19139,217,Szarvas csárda tér,Kőbánya alsó vasútáll.
V2210,CAF 5 modulos szerelvény,TRAM,47.44387,19.09636,3,Mexikói út M,Gubacsi út / Határ út
BPO231,Ikarus 412-es típusú autóbusz,BUS,47.464314,19.160542,98,Rákoscsaba vasútállomás,Kőbánya-Kispest M
MPW630,VanHool A330 CNG típusú szóló autóbusz,BUS,47.45978,19.126488,99,Mátyás király tér,Blaha Lujza tér M
V2219,CAF 5 modulos szerelvény,TRAM,47.518627,19.092012,3,Mexikói út M,Gubacsi út / Határ út
BPO582,Ikarus 435-ös típusú autóbusz,BUS,47.504402,19.147573,,,
MPW629,VanHool A330 CNG típusú szóló autóbusz,BUS,47.483864,19.12753,,,
BPO234,Ikarus 412-es típusú autóbusz,BUS,47.426826,19.159788,,,
MPW631,VanHool A330 CNG típusú szóló autóbusz,BUS,47.426197,19.158884,,,
V2215,CAF 5 modulos szerelvény,TRAM,47.522163,19.1013,3,Mexikói út M,Gubacsi út / Határ út
MPW625,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42383,19.234577,266,"Ganztelep, Mednyánszky u.",Pestszentimre vasútáll.
MPW628,VanHool A330 CNG típusú szóló autóbusz,BUS,47.44454,19.096584,166,Ferihegy vasútállomás,Gubacsi út / Határ út
V4042,Tátra T5C5K,TRAM,47.565475,19.109615,14,"Káp.megyer, Megyeri út",Lehel tér M
MXJ003,MB515 minibusz,BUS,47.499096,19.236973,,,
V4048,Tátra T5C5,TRAM,47.492867,19.086008,,,
V4317,Tátra T5C5K,TRAM,47.507755,19.021992,61,Móricz Zs. körtér M,Hűvösvölgy
LOV853,VanHool AG318 csuklós autóbusz,BUS,47.396675,19.174414,54,"Péterimajor, Víztorony tér",Boráros tér H
949,MXA,SUBURBAN_RAILWAY,47.31903,18.980743,H6,Ráckeve,Közvágóhíd
925,MXA,SUBURBAN_RAILWAY,47.518234,19.21466,H9,Csömör,Örs vezér tere
V2102,CAF 9 modulos szerelvény,TRAM,47.440136,19.035606,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4052,Tátra T5C5K,TRAM,47.464462,19.023458,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV861,VanHool AG318 csuklós autóbusz,BUS,47.44067,19.125288,123A,Szentlőrinci úti ltp.,Határ út M
V2104,CAF 9 modulos szerelvény,TRAM,47.462933,19.02302,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V2103,CAF 9 modulos szerelvény,TRAM,47.46965,19.083866,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV858,VanHool AG318 csuklós autóbusz,BUS,47.479656,19.067095,54,"Péterimajor, Víztorony tér",Boráros tér H
V2110,CAF 9 modulos szerelvény,TRAM,47.462013,19.048069,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V1437,Ganz csuklós,TRAM,47.46897,19.024801,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2109,CAF 9 modulos szerelvény,TRAM,47.490894,19.10891,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V1438,Ganz csuklós,TRAM,47.4703,19.092438,,,
V1433,Ganz csuklós,TRAM,47.476105,19.042257,49,Kelenföld vasútállomás M,Deák Ferenc tér M
LOV864,VanHool AG318 csuklós autóbusz,BUS,47.42772,19.16,,,
V2105,CAF 9 modulos szerelvény,TRAM,47.47005,19.086683,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV865,VanHool AG318 csuklós autóbusz,BUS,47.46768,19.076176,23E,Boráros tér H,Pesterzsébeti lakótelep
V2108,CAF 9 modulos szerelvény,TRAM,47.544903,19.03477,,,
V4058,Tátra T5C5K,TRAM,47.55307,19.092934,14,"Káp.megyer, Megyeri út",Lehel tér M
LOV866,VanHool AG318 csuklós autóbusz,BUS,47.42202,19.133688,123A,Szentlőrinci úti ltp.,Határ út M
V2107,CAF 9 modulos szerelvény,TRAM,47.531696,19.068237,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4329,Tátra T5C5K,TRAM,47.474445,19.046524,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
MRZ400,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.50744,19.025602,22A,"Budakeszi, Dózsa Gy. tér",Széll Kálmán tér M
MRZ399,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.46353,19.022577,64A,"Solymár, Templom tér",Hűvösvölgy
MRZ246,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.464752,19.018587,188,Honfoglalás sétány,Kelenföld vasútállomás M
MRZ245,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.451996,18.95862,,,
V4023,Tátra T5C5K,TRAM,47.52981,19.080454,14,"Káp.megyer, Megyeri út",Lehel tér M
MRZ397,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.46292,19.026083,,,
V4304,Tátra T5C5K,TRAM,47.551334,19.092464,,,
V4040,Tátra T5C5K,TRAM,47.512093,19.039425,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
PKD002,Ikarus 127V típusú szóló autóbusz,BUS,47.473495,19.027723,,,
MRZ250,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.472664,19.033876,,,
V4276,Tátra T5C5K,TRAM,47.570473,19.113533,14,"Káp.megyer, Megyeri út",Lehel tér M
V4275,Tátra T5C5K,TRAM,47.475613,19.047194,56A,Móricz Zs. körtér M,Hűvösvölgy
917-985,MXA-MXA,SUBURBAN_RAILWAY,47.582706,19.27574,H8,Gödöllő,Örs vezér tere
V4281,Tátra T5C5K,TRAM,47.490242,19.089825,,,
BPO801,Ikarus 280-as típusú autóbusz,BUS,47.428936,19.156485,,,
V4284,Tátra T5C5K,TRAM,47.475307,19.046803,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
BPO808,Ikarus 280-as típusú autóbusz,BUS,47.568462,19.030102,,,
V4257,Tátra T5C5K,TRAM,47.463516,19.034294,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4251,Tátra T5C5K,TRAM,47.548088,19.02937,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
NCA431,MERCEDES Conecto csuklós,BUS,47.418747,19.066916,36,"Csepel, Csillagtelep",Pestszentlőrinc vasútáll.
PHG656,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,47.4787,19.23756,67,"Rákoskeresztúr, Aranylúd u.",Örs vezér tere M H
V4250,Tátra T5C5K,TRAM,47.551468,19.092417,14,"Káp.megyer, Megyeri út",Lehel tér M
PDN684,VanHool NewA330 szóló autóbusz,BUS,47.427567,19.159914,,,
NCA440,MERCEDES Conecto csuklós,BUS,47.459263,19.027172,,,
NCA437,MERCEDES Conecto csuklós,BUS,47.492912,19.054546,8E,"Újpalota, Nyírpalota út",Kelenföld vasútállomás M
NCA438,MERCEDES Conecto csuklós,BUS,47.500397,19.13561,97E,Rákoskert sugárút,Örs vezér tere M H
NCA435,MERCEDES Conecto csuklós,BUS,47.427994,19.265137,,,
PHG660,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.502987,19.16795,277,Bosnyák tér,Örs vezér tere M H
NCA436,MERCEDES Conecto csuklós,BUS,47.447887,19.206886,100E,Liszt Ferenc Airport 2,Deák Ferenc tér M
NCA434,MERCEDES Conecto csuklós,BUS,47.497448,19.055706,100E,Liszt Ferenc Airport 2,Deák Ferenc tér M
PKN601,MERCEDES Conecto szóló (BKV),BUS,47.50113,19.2353,,,
PKN602,MERCEDES Conecto szóló (BKV),BUS,47.459095,19.332283,162,"Maglód, Auchan áruház",Kőbánya alsó vasútáll.
853,MIXA,SUBURBAN_RAILWAY,47.42468,19.06711,H7,Csepel,Boráros tér
PKN609,MERCEDES Conecto szóló (BKV),BUS,47.504047,19.14425,44,Centenáriumi lakótelep,Örs vezér tere M H
PKN610,MERCEDES Conecto szóló (BKV),BUS,47.46318,19.149199,98,Rákoscsaba vasútállomás,Kőbánya-Kispest M
PKN607,MERCEDES Conecto szóló (BKV),BUS,47.47993,19.2548,162A,"Rákoskeresztúr, városkp.",Kőbánya alsó vasútáll.
PKN608,MERCEDES Conecto szóló (BKV),BUS,47.45898,19.332487,162,"Maglód, Auchan áruház",Kőbánya alsó vasútáll.
PKN606,MERCEDES Conecto szóló (BKV),BUS,47.483593,19.127417,162A,"Rákoskeresztúr, városkp.",Kőbánya alsó vasútáll.
PKN604,MERCEDES Conecto szóló (BKV),BUS,47.51427,19.103428,112,Bosnyák tér,Thomán István utca
PHG645,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.460213,19.30687,197,Rákoskert vasútállomás,Sáránd utca
PHG643,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.524616,19.205145,175,Cinkota H,"Újpalota, Szentmihályi út"
NAY349,MAN Lions City A21 (ArrivaBus),BUS,47.42655,19.075342,71,Szentmiklósi út,Szent Imre tér
PHG644,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.513615,19.165604,277,Bosnyák tér,Örs vezér tere M H
NAY350,MAN Lions City A21 (ArrivaBus),BUS,47.428604,19.175396,194,Gloriett lakótelep,Határ út M
PHG639,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.500973,19.236778,,,
NAY345,MAN Lions City A21 (ArrivaBus),BUS,47.463215,19.149242,194,Gloriett lakótelep,Határ út M
NAY346,MAN Lions City A21 (ArrivaBus),BUS,47.43825,19.073133,,,
NAY343,MAN Lions City A21 (ArrivaBus),BUS,47.410145,19.060328,35,"Csepel, Csillagtelep",Szentlőrinci úti ltp.
PHG637,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.50084,19.236813,,,
NAY344,MAN Lions City A21 (ArrivaBus),BUS,47.444344,19.137836,194,Gloriett lakótelep,Határ út M
NAY341,MAN Lions City A21 (ArrivaBus),BUS,47.41007,19.07242,159,Szent László utcai ltp.,"Csepel, Szent Imre tér"
PHG636,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,47.50471,19.136848,144,"R.szentmihály, Csömöri út",Örs vezér tere M H
NAY342,MAN Lions City A21 (ArrivaBus),BUS,47.43198,19.070312,,,
PHG654,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,47.467903,19.15492,68,"Akadémiaújtelep, 525. tér",Vas Gereben utca
NCA430,MERCEDES Conecto csuklós,BUS,47.451378,19.123734,148,"Csepel, Soroksári rév",Kőbánya-Kispest M
V4245,Tátra T5C5K,TRAM,47.49048,19.08898,,,
NCA429,MERCEDES Conecto csuklós,BUS,47.407475,19.100048,148,"Csepel, Soroksári rév",Kőbánya-Kispest M
PHG653,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,47.503296,19.13787,67,"Rákoskeresztúr, Aranylúd u.",Örs vezér tere M H
PHG651,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,47.51961,19.148174,92,Kistarcsa - Auchan Liget,Rákosszentmihály vasútáll.
PHG648,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.501694,19.234968,144,"R.szentmihály, Csömöri út",Örs vezér tere M H
NAY354,MAN Lions City A21 (ArrivaBus),BUS,47.41004,19.060255,35,"Csepel, Csillagtelep",Szentlőrinci úti ltp.
NAY355,MAN Lions City A21 (ArrivaBus),BUS,47.4371,19.074915,,,
PHG646,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.50471,19.13665,144,"R.szentmihály, Csömöri út",Örs vezér tere M H
NAY352,MAN Lions City A21 (ArrivaBus),BUS,47.38884,19.101004,152,Hollandi út,Szent Imre tér
PHG647,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.501293,19.234367,,,
PHG625,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,47.528778,19.167854,144,"R.szentmihály, Csömöri út",Örs vezér tere M H
PHG623,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,47.518764,19.22444,92,Kistarcsa - Auchan Liget,Rákosszentmihály vasútáll.
NAY329,MAN Lions City A21 (ArrivaBus),BUS,47.458,19.02763,,,
NCA482,MERCEDES Conecto csuklós,BUS,47.433426,19.070585,151,Kőbánya alsó vasútáll.,"Csepel, Határ utca"
PHG621,"Volvo hibrid szóló (BKV, 3 ajt) autóbusz",BUS,47.516098,19.17135,92,Kistarcsa - Auchan Liget,Rákosszentmihály vasútáll.
V2255,CAF 5 modulos szerelvény,TRAM,47.441048,19.035618,17,Savoya Park,Bécsi út / Vörösvári út
