licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
T0237,GVM (Ikarus 280)típusú trolibusz,TROLLEYBUS,47.492146,19.116854,,,
V4002,Tátra T5C5K,TRAM,47.48359,19.053484,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
BPO469,Ikarus 280-as típusú autóbusz,BUS,47.42851,19.156918,,,
V1365,Ganz csuklós,TRAM,47.47782,19.047485,49,Kelenföld vasútállomás M,Deák Ferenc tér M
MRZ392,"MAN A21 szóló (Volán, helyközi, 2 ajtós)",BUS,47.439686,18.90102,172,Kelenföld vasútállomás M,Törökbálint vasútállomás
FLR721,Volvo 7700A típusú csuklós autóbusz,BUS,47.428078,19.159376,,,
FLR722,Volvo 7700A típusú csuklós autóbusz,BUS,47.500366,19.234854,,,
SGY815,MAN Lions City A21 (ArrivaBus),BUS,47.405727,19.014372,138,Budatétény vá. (Campona),"Csepel, Szent Imre tér"
FLR716,Volvo 7700A típusú csuklós autóbusz,BUS,47.501587,19.136183,168E,"Rákoshegy, Ferihegyi út",Örs vezér tere M H
SGY812,MAN Lions City A21 (ArrivaBus),BUS,47.436935,19.007332,101E,Budatétény vá. (Campona),Kelenföld vasútállomás M
FLR718,Volvo 7700A típusú csuklós autóbusz,BUS,47.485493,19.28804,202E,Kucorgó tér,Kőbánya-Kispest M
FLR719,Volvo 7700A típusú csuklós autóbusz,BUS,47.428013,19.15962,,,
FLR724,Volvo 7700A típusú csuklós autóbusz,BUS,47.466667,19.154266,202E,Kucorgó tér,Kőbánya-Kispest M
SGY820,MAN Lions City A21 (ArrivaBus),BUS,47.427197,19.067442,138,Budatétény vá. (Campona),"Csepel, Szent Imre tér"
SGY821,MAN Lions City A21 (ArrivaBus),BUS,47.464825,19.033674,58,Móricz Zs. körtér M,Jégmadár utca
FLR725,Volvo 7700A típusú csuklós autóbusz,BUS,47.500412,19.234848,,,
SGY818,MAN Lions City A21 (ArrivaBus),BUS,47.458214,19.02751,,,
V1359,KCSV7 Korszerűsített Ganz,TRAM,47.470787,19.092352,,,
MRZ385,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.368668,18.888828,,,
SKR815,MERCEDES Conecto 2 szóló autóbusz,BUS,47.491364,19.116327,,,
V2012,Siemens Combino,TRAM,47.508038,19.026747,4,Újbuda-központ M,Széll Kálmán tér M
V1330,KCSV7 Korszerűsített Ganz,TRAM,47.508827,19.046654,2,Jászai Mari tér,Közvágóhíd H
FKU945,Volvo 7700A típusú csuklós autóbusz,BUS,47.500114,19.236633,,,
MRZ358,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.45202,19.012743,,,
FKU946,Volvo 7700A típusú csuklós autóbusz,BUS,47.501728,19.135588,85,Kőbánya-Kispest M,Örs vezér tere M H
V1332,KCSV7 Korszerűsített Ganz,TRAM,47.47939,19.066614,2,Jászai Mari tér,Közvágóhíd H
V2014,Siemens Combino,TRAM,47.51217,19.050982,6,Móricz Zs. körtér M,Széll Kálmán tér M
FKU948,Volvo 7700A típusú csuklós autóbusz,BUS,47.49952,19.083384,30A,Keleti pályaudvar M,"Megyer, Szondi utca"
MRZ360,"MAN A21 szóló (Volán, helyközi, 2 ajtós)",BUS,47.45463,19.023973,287,Budatétény vá. (Campona),Budaörsi lakótelep
SKR814,MERCEDES Conecto 2 szóló autóbusz,BUS,47.50753,19.025831,91,Széll Kálmán tér M,Nyugati pályaudvar M
MRZ357,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.507446,19.025578,22A,"Budakeszi, Dózsa Gy. tér",Széll Kálmán tér M
V1327,KCSV7 Korszerűsített Ganz,TRAM,47.470356,19.092737,,,
MRZ356,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.50991,19.00975,22,"Budakeszi, Tesco áruház",Széll Kálmán tér M
V2011,Siemens Combino,TRAM,47.474056,19.047388,4,Újbuda-központ M,Széll Kálmán tér M
FKU944,Volvo 7700A típusú csuklós autóbusz,BUS,47.550293,19.042076,9,Kőbánya alsó vasútáll.,"Óbuda, Bogdáni út"
SKR823,MERCEDES Conecto 2 szóló autóbusz,BUS,47.42763,19.15999,,,
SKR821,MERCEDES Conecto 2 szóló autóbusz,BUS,47.54164,19.14169,130,"Újpalota, Sárfű utca",Puskás Ferenc Stadion M
SKR822,MERCEDES Conecto 2 szóló autóbusz,BUS,47.491364,19.116297,291,"Zugliget, Libegő",Nyugati pályaudvar M
MRZ363,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.509766,19.012974,222,"Budakeszi, Honfoglalás sét.",Széll Kálmán tér M
FKU950,Volvo 7700A típusú csuklós autóbusz,BUS,47.500324,19.135645,276E,"R.csaba-Újtelep, Naplás út",Örs vezér tere M H
V2017,Siemens Combino,TRAM,47.490135,19.090258,,,
MRZ362,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.43213,19.042953,,,
SKR818,MERCEDES Conecto 2 szóló autóbusz,BUS,47.49213,19.116028,,,
V2019,Siemens Combino,TRAM,47.492428,19.103443,,,
MRZ364,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.432,19.043173,,,
V1340,KCSV7 Korszerűsített Ganz,TRAM,47.471363,19.07291,2,Jászai Mari tér,Közvágóhíd H
V2024,Siemens Combino,TRAM,47.475597,19.056732,6,Móricz Zs. körtér M,Széll Kálmán tér M
V2025,Siemens Combino,TRAM,47.486477,19.070286,4,Újbuda-központ M,Széll Kálmán tér M
FLR701,Volvo 7700A típusú csuklós autóbusz,BUS,47.499218,19.078388,7,"Újpalota, Nyírpalota út",Albertfalva vasútállomás
V1342,Ganz csuklós,TRAM,47.47035,19.025316,47,Városház tér,Deák Ferenc tér M
MRZ365,"MAN A21 szóló (Volán, helyközi, 2 ajtós)",BUS,47.410587,18.956367,13,"Diósd, Búzavirág u.",Budatétény vá. (Campona)
MRZ368,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.46498,19.022673,22A,"Budakeszi, Dózsa Gy. tér",Széll Kálmán tér M
LMG064,VOLVO-ALFABUSZ Civis 12 típ.szóló autób.,BUS,47.56729,19.031822,57,Hűvösvölgy,Remetekertváros
V2021,Siemens Combino,TRAM,47.496574,19.07049,6,Móricz Zs. körtér M,Széll Kálmán tér M
MRZ367,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.43192,19.042814,,,
