licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
LOV871,VanHool AG318 csuklós autóbusz,BUS,47.464935,19.127256,50,Lajosmizsei sorompó,Határ út M
V2112,CAF 9 modulos szerelvény,TRAM,47.440475,19.035408,,,
V4062,Tátra T5C5K,TRAM,47.435436,19.036386,56,Városház tér,Hűvösvölgy
MPW614,VanHool A330 CNG típusú szóló autóbusz,BUS,47.46365,19.127388,99,Mátyás király tér,Blaha Lujza tér M
V1441,Ganz csuklós,TRAM,47.50878,19.046568,2,Jászai Mari tér,Közvágóhíd H
MPW613,VanHool A330 CNG típusú szóló autóbusz,BUS,47.43131,19.18094,284E,"Pestszentimre, Benjámin u.",Kőbánya-Kispest M
V4331,Tátra T5C5K,TRAM,47.49838,19.029078,56A,Móricz Zs. körtér M,Hűvösvölgy
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.46448,19.12636,123,"Soroksár, IKEA áruház",Határ út M
V4333,Tátra T5C5K,TRAM,47.478638,19.044737,61,Móricz Zs. körtér M,Hűvösvölgy
LOV869,VanHool AG318 csuklós autóbusz,BUS,47.389275,19.162033,54,"Péterimajor, Víztorony tér",Boráros tér H
V1448,Ganz csuklós,TRAM,47.483334,19.05304,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2209,CAF 5 modulos szerelvény,TRAM,47.505352,19.135962,3,Mexikói út M,Gubacsi út / Határ út
MPW618,VanHool A330 CNG típusú szóló autóbusz,BUS,47.483433,19.12651,195,"Rákoskeresztúr, városkp.",Puskás Ferenc Stadion M
V2208,CAF 5 modulos szerelvény,TRAM,47.454792,19.113064,3,Mexikói út M,Gubacsi út / Határ út
MPW621,VanHool A330 CNG típusú szóló autóbusz,BUS,47.45746,19.1777,282E,Alacskai úti lakótelep,Kőbánya-Kispest M
MPW620,VanHool A330 CNG típusú szóló autóbusz,BUS,47.483448,19.099672,99,Mátyás király tér,Blaha Lujza tér M
V1444,Ganz csuklós,TRAM,47.47166,19.072676,2,Jászai Mari tér,Közvágóhíd H
V4067,Tátra T5C5K,TRAM,47.508133,19.026773,17,Savoya Park,Bécsi út / Vörösvári út
V2205,CAF 5 modulos szerelvény,TRAM,47.51949,19.11213,3,Mexikói út M,Gubacsi út / Határ út
V2204,CAF 5 modulos szerelvény,TRAM,47.476135,19.119316,3,Mexikói út M,Gubacsi út / Határ út
MPW617,VanHool A330 CNG típusú szóló autóbusz,BUS,47.46616,19.126595,,,
V1445,Ganz csuklós,TRAM,47.425648,19.039871,47,Városház tér,Deák Ferenc tér M
MPW616,VanHool A330 CNG típusú szóló autóbusz,BUS,47.421883,19.21132,166,Ferihegy vasútállomás,Gubacsi út / Határ út
V2206,CAF 5 modulos szerelvény,TRAM,47.50226,19.136856,3,Mexikói út M,Gubacsi út / Határ út
923,MXA,SUBURBAN_RAILWAY,47.52537,19.221115,H9,Csömör,Örs vezér tere
LOV881,VanHool AG318 csuklós autóbusz,BUS,47.461765,19.150337,,,
MPW622,VanHool A330 CNG típusú szóló autóbusz,BUS,47.483406,19.128193,185,Újhegy,Kőbánya alsó vasútáll.
V2212,CAF 5 modulos szerelvény,TRAM,47.519295,19.091166,3,Mexikói út M,Gubacsi út / Határ út
V1450,Ganz csuklós,TRAM,47.478107,19.048532,47,Városház tér,Deák Ferenc tér M
V4073,Tátra T5C5K,TRAM,47.475376,19.047115,56A,Móricz Zs. körtér M,Hűvösvölgy
V2211,CAF 5 modulos szerelvény,TRAM,47.46896,19.107557,3,Mexikói út M,Gubacsi út / Határ út
V4076,Tátra T5C5K,TRAM,47.481632,19.033024,17,Savoya Park,Bécsi út / Vörösvári út
MPW624,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42785,19.158482,,,
V2214,CAF 5 modulos szerelvény,TRAM,47.465122,19.123299,,,
MPW623,VanHool A330 CNG típusú szóló autóbusz,BUS,47.444515,19.189926,217,Szarvas csárda tér,Kőbánya alsó vasútáll.
LOV878,VanHool AG318 csuklós autóbusz,BUS,47.464897,19.141748,,,
BPO231,Ikarus 412-es típusú autóbusz,BUS,47.464558,19.141768,,,
V2210,CAF 5 modulos szerelvény,TRAM,47.443882,19.096313,3,Mexikói út M,Gubacsi út / Határ út
MPW630,VanHool A330 CNG típusú szóló autóbusz,BUS,47.481403,19.105885,99,Mátyás király tér,Blaha Lujza tér M
BPO582,Ikarus 435-ös típusú autóbusz,BUS,47.482246,19.244057,161,Rákoscsaba,Örs vezér tere M H
MPW629,VanHool A330 CNG típusú szóló autóbusz,BUS,47.4679,19.163568,117,Mélytó utca,Kőbánya alsó vasútáll.
V2219,CAF 5 modulos szerelvény,TRAM,47.510975,19.126585,3,Mexikói út M,Gubacsi út / Határ út
BPO234,Ikarus 412-es típusú autóbusz,BUS,47.433464,19.220701,236,Havanna utcai lakótelep,Market Central Ferihegy
MPW626,VanHool A330 CNG típusú szóló autóbusz,BUS,47.44173,19.1409,68,"Akadémiaújtelep, 525. tér",Vas Gereben utca
V4077,Tátra T5C5K,TRAM,47.5174,19.060875,14,"Káp.megyer, Megyeri út",Lehel tér M
MPW625,VanHool A330 CNG típusú szóló autóbusz,BUS,47.41863,19.208233,266,"Ganztelep, Mednyánszky u.",Pestszentimre vasútáll.
V2215,CAF 5 modulos szerelvény,TRAM,47.520176,19.098145,3,Mexikói út M,Gubacsi út / Határ út
MPW628,VanHool A330 CNG típusú szóló autóbusz,BUS,47.40443,19.185902,266,"Ganztelep, Mednyánszky u.",Pestszentimre vasútáll.
V2218,CAF 5 modulos szerelvény,TRAM,47.446327,19.100622,3,Mexikói út M,Gubacsi út / Határ út
V4313,Tátra T5C5K,TRAM,47.506725,19.10447,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4043,Tátra T5C5K,TRAM,47.443775,19.036894,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
MXJ003,MB515 minibusz,BUS,47.481583,19.291101,298,Zimonyi utca,Rákoscsaba vasútállomás
LOV857,VanHool AG318 csuklós autóbusz,BUS,47.415623,19.142424,,,
V4048,Tátra T5C5,TRAM,47.492844,19.108963,,,
V2101,CAF 9 modulos szerelvény,TRAM,47.44098,19.034906,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
MUT781,MB Citaro C2-S1-G csuklós autóbusz,BUS,47.547432,19.141472,,,
LOV852,VanHool AG318 csuklós autóbusz,BUS,47.427208,19.158709,,,
LOV853,VanHool AG318 csuklós autóbusz,BUS,47.47945,19.067461,54,"Péterimajor, Víztorony tér",Boráros tér H
V4047,Tátra T5C5K,TRAM,47.58172,19.11697,14,"Káp.megyer, Megyeri út",Lehel tér M
