licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,47.467545,19.07598,2,Jászai Mari tér,Közvágóhíd H
LOV871,VanHool AG318 csuklós autóbusz,BUS,47.450172,19.160341,50,Lajosmizsei sorompó,Határ út M
LOV872,VanHool AG318 csuklós autóbusz,BUS,47.464756,19.12774,50,Lajosmizsei sorompó,Határ út M
LOV873,VanHool AG318 csuklós autóbusz,BUS,47.435593,19.145523,54,"Péterimajor, Víztorony tér",Boráros tér H
V1441,Ganz csuklós,TRAM,47.51229,19.047562,2,Jászai Mari tér,Közvágóhíd H
BPO221,Ikarus 412-es típusú autóbusz,BUS,47.43268,19.174713,,,
BPO220,Ikarus 412-es típusú autóbusz,BUS,47.426533,19.158579,,,
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.466465,19.123066,123A,Szentlőrinci úti ltp.,Határ út M
V4333,Tátra T5C5K,TRAM,47.509914,19.009428,61,Móricz Zs. körtér M,Hűvösvölgy
LOV869,VanHool AG318 csuklós autóbusz,BUS,47.4538,19.093258,54,"Péterimajor, Víztorony tér",Boráros tér H
V2209,CAF 5 modulos szerelvény,TRAM,47.522263,19.101572,3,Mexikói út M,Gubacsi út / Határ út
V1448,Ganz csuklós,TRAM,47.46759,19.022207,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2208,CAF 5 modulos szerelvény,TRAM,47.473656,19.115408,3,Mexikói út M,Gubacsi út / Határ út
LOV874,VanHool AG318 csuklós autóbusz,BUS,47.47943,19.067421,23E,Boráros tér H,Pesterzsébeti lakótelep
V2205,CAF 5 modulos szerelvény,TRAM,47.520657,19.107868,3,Mexikói út M,Gubacsi út / Határ út
V1444,Ganz csuklós,TRAM,47.4955,19.048365,2,Jászai Mari tér,Közvágóhíd H
V2204,CAF 5 modulos szerelvény,TRAM,47.44477,19.098303,3,Mexikói út M,Gubacsi út / Határ út
V1443,Ganz csuklós,TRAM,47.4704,19.027607,,,
V2207,CAF 5 modulos szerelvény,TRAM,47.46324,19.109764,3,Mexikói út M,Gubacsi út / Határ út
V2206,CAF 5 modulos szerelvény,TRAM,47.44387,19.096268,3,Mexikói út M,Gubacsi út / Határ út
V1445,Ganz csuklós,TRAM,47.426857,19.039165,47,Városház tér,Deák Ferenc tér M
V2212,CAF 5 modulos szerelvény,TRAM,47.482456,19.129236,3,Mexikói út M,Gubacsi út / Határ út
V1451,Ganz csuklós,TRAM,47.512074,19.047518,2,Jászai Mari tér,Közvágóhíd H
