licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,47.441414,19.036417,47,Városház tér,Deák Ferenc tér M
MOS267,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.49448,19.061035,956,"Pécel, Kun József utca",Pesthidegkút-Hűvösvölgy
LOV871,VanHool AG318 csuklós autóbusz,BUS,47.428257,19.15638,,,
LOV872,VanHool AG318 csuklós autóbusz,BUS,47.427177,19.160492,,,
V1581,TW 6000,TRAM,47.470825,19.093468,,,
MOS269,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.43101,19.070978,38,Szigetszentmiklós,"Csepel, Szent Imre tér"
LOV873,VanHool AG318 csuklós autóbusz,BUS,47.427204,19.159891,,,
V1441,Ganz csuklós,TRAM,47.470684,19.024864,,,
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.572563,19.114033,,,
LOV869,VanHool AG318 csuklós autóbusz,BUS,47.429176,19.217888,950,"Rákospalota, Kossuth utca",Pestszentimre vasútáll.
MOS275,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.4833,19.238546,,,
V2208,CAF 5 modulos szerelvény,TRAM,47.465073,19.12272,3,Mexikói út M,Gubacsi út / Határ út
LOV874,VanHool AG318 csuklós autóbusz,BUS,47.60397,19.059956,,,
V1583,TW 6000,TRAM,47.476192,19.077255,24,Keleti pályaudvar M,Közvágóhíd H
V4067,Tátra T5C5K,TRAM,47.470047,19.024853,,,
LOV875,VanHool AG318 csuklós autóbusz,BUS,47.42844,19.156197,,,
V1443,Ganz csuklós,TRAM,47.470066,19.025156,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V4216,Tátra T5C5K,TRAM,47.52068,19.036777,,,
MOS270,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.589245,19.149902,,,
947,MXA,SUBURBAN_RAILWAY,47.332253,18.997377,H6,Ráckeve,Közvágóhíd
V1450,Ganz csuklós,TRAM,47.493755,19.060389,47,Városház tér,Deák Ferenc tér M
V1589,TW 6000,TRAM,47.48144,19.069347,,,
MPW624,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42781,19.158371,,,
V2214,CAF 5 modulos szerelvény,TRAM,47.519135,19.091335,3,Mexikói út M,Gubacsi út / Határ út
V2213,CAF 5 modulos szerelvény,TRAM,47.502113,19.136883,3,Mexikói út M,Gubacsi út / Határ út
LOV878,VanHool AG318 csuklós autóbusz,BUS,47.440258,19.093613,923,Békásmegyer H,Dél-pesti autóbuszgarázs
BPO231,Ikarus 412-es típusú autóbusz,BUS,47.46286,19.164146,98,Rákoscsaba vasútállomás,Kőbánya-Kispest M
V2210,CAF 5 modulos szerelvény,TRAM,47.44363,19.096598,3,Mexikói út M,Gubacsi út / Határ út
BPO234,Ikarus 412-es típusú autóbusz,BUS,47.428905,19.156128,,,
MPW626,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427032,19.159609,,,
NBW007,MERCEDES Conecto szóló (BKV),BUS,47.500443,19.237326,,,
V4228,Tátra T5C5K,TRAM,47.55258,19.092691,14,"Káp.megyer, Megyeri út",Lehel tér M
MPW625,VanHool A330 CNG típusú szóló autóbusz,BUS,47.426903,19.159393,,,
V2218,CAF 5 modulos szerelvény,TRAM,47.46502,19.124092,3,Mexikói út M,Gubacsi út / Határ út
MUT887,VanHool  NewAG300 csuklós autóbusz,BUS,47.42781,19.158749,,,
MUT889,VanHool  NewAG300 csuklós autóbusz,BUS,47.51082,19.056662,923,Békásmegyer H,Dél-pesti autóbuszgarázs
LOV851,VanHool AG318 csuklós autóbusz,BUS,47.45478,19.087034,923,Békásmegyer H,Dél-pesti autóbuszgarázs
MXJ003,MB515 minibusz,BUS,47.499077,19.237196,,,
MUT895,VanHool  NewAG300 csuklós autóbusz,BUS,47.42679,19.159262,,,
LOV857,VanHool AG318 csuklós autóbusz,BUS,47.426895,19.159151,,,
MUT894,VanHool  NewAG300 csuklós autóbusz,BUS,47.51009,19.056175,923,Békásmegyer H,Dél-pesti autóbuszgarázs
V2101,CAF 9 modulos szerelvény,TRAM,47.492657,19.10382,,,
BPO358,Ikarus 260-as típusú autóbusz,BUS,47.500565,19.235239,,,
V4317,Tátra T5C5K,TRAM,47.481705,18.999023,,,
MUT781,MB Citaro C2-S1-G csuklós autóbusz,BUS,47.571087,19.133724,,,
MUT891,VanHool  NewAG300 csuklós autóbusz,BUS,47.427685,19.15671,,,
V1560,TW 6000,TRAM,47.476048,19.07645,24,Keleti pályaudvar M,Közvágóhíd H
V1563,TW 6000,TRAM,47.464897,19.122986,,,
LOV855,VanHool AG318 csuklós autóbusz,BUS,47.42838,19.1579,,,
V1568,TW 6000,TRAM,47.486477,19.108576,28A,Új köztemető (Kozma u.),Blaha Lujza tér M
LOV860,VanHool AG318 csuklós autóbusz,BUS,47.427803,19.15855,,,
V4051,Tátra T5C5K,TRAM,47.55225,19.093782,,,
LOV861,VanHool AG318 csuklós autóbusz,BUS,47.42832,19.156301,,,
MUT900,VanHool  NewAG300 csuklós autóbusz,BUS,47.425575,19.15884,,,
V1569,TW 6000,TRAM,47.46639,19.123055,,,
MUT899,VanHool  NewAG300 csuklós autóbusz,BUS,47.427094,19.159632,,,
LOV858,VanHool AG318 csuklós autóbusz,BUS,47.428333,19.156286,,,
V1437,Ganz csuklós,TRAM,47.47029,19.024485,49,Kelenföld vasútállomás M,Deák Ferenc tér M
MOS264,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.484447,19.229477,,,
V2110,CAF 9 modulos szerelvény,TRAM,47.491688,19.09077,,,
MUU906,VanHool  NewAG300 csuklós autóbusz,BUS,47.592785,19.066322,34,"B.megyer, Újmegyeri tér",Göncz Árpád városkp. M
V1577,TW 6000,TRAM,47.465546,19.122679,,,
V2106,CAF 9 modulos szerelvény,TRAM,47.440147,19.035583,,,
V4055,Tátra T5C5,TRAM,47.50673,19.104504,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V2105,CAF 9 modulos szerelvény,TRAM,47.469635,19.084087,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4208,Tátra T5C5K,TRAM,47.554462,19.090635,14,"Káp.megyer, Megyeri út",Lehel tér M
MOS262,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.4255,19.157763,294E,"Gyál, Vecsési út",Határ út M
V2107,CAF 9 modulos szerelvény,TRAM,47.439682,19.035572,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
MOS256,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.49391,19.109232,,,
MRZ400,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.432034,19.043238,,,
MRZ399,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.461662,19.047754,,,
V4147,Tátra T5C5K,TRAM,47.53479,19.082691,14,"Káp.megyer, Megyeri út",Lehel tér M
915,MXA,SUBURBAN_RAILWAY,47.54609,19.26029,H8,Gödöllő,Örs vezér tere
V1553,TW 6000,TRAM,47.450413,19.161781,50,"Pestszentlőrinc, Béke tér",Villanytelep
MUT886,VanHool  NewAG300 csuklós autóbusz,BUS,47.450527,19.160748,50,Lajosmizsei sorompó,Határ út M
V1550,TW 6000,TRAM,47.458122,19.112627,,,
V4156,Tátra T5C5K,TRAM,47.50498,19.024282,56A,Móricz Zs. körtér M,Hűvösvölgy
V4033,Tátra T5C5K,TRAM,47.51427,19.001749,59,Márton Áron tér,Szent János Kórház
PKD003,Ikarus 127V típusú szóló autóbusz,BUS,47.47474,19.027853,15,Gyöngyösi utca M,Boráros tér H
V4271,Tátra T5C5K,TRAM,47.44307,19.015139,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
PDN610,MAN Lions City A21 (ArrivaBus),BUS,47.403233,19.009321,114,"Baross G.-telep, Ispiláng u.",Móricz Zs. körtér M
LYH129,MERCEDES Citaro O 530 (BKV spec.),BUS,47.568092,19.031158,91,Széll Kálmán tér M,Nyugati pályaudvar M
V4119,Tátra T5C5K,TRAM,47.48071,19.035385,61,Móricz Zs. körtér M,Hűvösvölgy
LYH130,MERCEDES Citaro O 530 (BKV spec.),BUS,47.586952,19.042925,960,"B.megyer, Újmegyeri tér",Móricz Zs. körtér M
PDN615,MAN Lions City A21 (ArrivaBus),BUS,47.454144,19.018288,114,"Baross G.-telep, Ispiláng u.",Móricz Zs. körtér M
PDN614,MAN Lions City A21 (ArrivaBus),BUS,47.45781,19.029053,,,
BPI188,Ikarus 280-as típusú autóbusz,BUS,47.568127,19.030252,,,
PDN612,MAN Lions City A21 (ArrivaBus),BUS,47.458042,19.02868,,,
V4137,Tátra T5C5K,TRAM,47.52731,19.075155,,,
V4131,Tátra T5C5K,TRAM,47.5154,19.000134,56A,Móricz Zs. körtér M,Hűvösvölgy
PDN626,MAN Lions City A21 (ArrivaBus),BUS,47.45804,19.029274,,,
PDN624,MAN Lions City A21 (ArrivaBus),BUS,47.457657,19.02879,,,
PDN625,MAN Lions City A21 (ArrivaBus),BUS,47.457016,19.023115,250,Savoya Park,Kelenföld vasútállomás M
PDN622,MAN Lions City A21 (ArrivaBus),BUS,47.45813,19.027943,,,
PDN623,MAN Lions City A21 (ArrivaBus),BUS,47.45713,19.02895,141,Savoya Park,Kelenföld vasútállomás M
PDB386,MERCEDES Conecto szóló (BKV),BUS,47.501015,19.216389,996A,Cinkotai autóbuszgarázs,Újpest-központ M
LYH115,MERCEDES Citaro O 530 (BKV spec.),BUS,47.56832,19.030369,,,
LYH116,MERCEDES Citaro O 530 (BKV spec.),BUS,47.567886,19.031927,,,
LYH111,MERCEDES Citaro O 530 (BKV spec.),BUS,47.567932,19.031776,,,
PDB384,MERCEDES Conecto szóló (BKV),BUS,47.493584,19.060324,908,Cinkotai autóbuszgarázs,Móricz Zs. körtér M
NCA437,MERCEDES Conecto csuklós,BUS,47.475513,19.040953,908,Cinkotai autóbuszgarázs,Móricz Zs. körtér M
PDB382,MERCEDES Conecto szóló (BKV),BUS,47.49691,19.070007,931A,Deák Ferenc tér M,Örs vezér tere M H
NCA438,MERCEDES Conecto csuklós,BUS,47.457947,19.029228,,,
NCA435,MERCEDES Conecto csuklós,BUS,47.454727,19.189173,100E,Liszt Ferenc Airport 2,Deák Ferenc tér M
PHG659,"Volvo hibrid szóló (BKV, 2 ajt) autóbusz",BUS,47.501698,19.2349,144,"R.szentmihály, Csömöri út",Örs vezér tere M H
NCA436,MERCEDES Conecto csuklós,BUS,47.494137,19.06007,100E,Liszt Ferenc Airport 2,Deák Ferenc tér M
PDB381,MERCEDES Conecto szóló (BKV),BUS,47.504528,19.135996,908,Cinkotai autóbuszgarázs,Móricz Zs. körtér M
PDB379,MERCEDES Conecto szóló (BKV),BUS,47.50089,19.23681,,,
LYH128,MERCEDES Citaro O 530 (BKV spec.),BUS,47.567875,19.031984,,,
LYH122,MERCEDES Citaro O 530 (BKV spec.),BUS,47.54407,19.042076,934,Békásmegyer H,Nyugati pályaudvar M
V4261,Tátra T5C5K,TRAM,47.55122,19.092503,14,"Káp.megyer, Megyeri út",Lehel tér M
LYH123,MERCEDES Citaro O 530 (BKV spec.),BUS,47.507675,19.024927,960,"B.megyer, Újmegyeri tér",Móricz Zs. körtér M
LYH124,MERCEDES Citaro O 530 (BKV spec.),BUS,47.56748,19.031008,,,
PKN601,MERCEDES Conecto szóló (BKV),BUS,47.499268,19.237028,,,
PDB388,MERCEDES Conecto szóló (BKV),BUS,47.499138,19.236443,,,
LYH120,MERCEDES Citaro O 530 (BKV spec.),BUS,47.54805,19.030191,,,
PKN609,MERCEDES Conecto szóló (BKV),BUS,47.498493,19.237917,98,Rákoscsaba vasútállomás,Kőbánya-Kispest M
PKN610,MERCEDES Conecto szóló (BKV),BUS,47.512478,19.196505,908,Cinkotai autóbuszgarázs,Móricz Zs. körtér M
PDN603,MAN Lions City A21 (ArrivaBus),BUS,47.457928,19.02837,,,
