licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
LOV871,VanHool AG318 csuklós autóbusz,BUS,47.46484,19.127474,50,Lajosmizsei sorompó,Határ út M
LOV873,VanHool AG318 csuklós autóbusz,BUS,47.45482,19.087542,54,"Péterimajor, Víztorony tér",Boráros tér H
V1441,Ganz csuklós,TRAM,47.500748,19.046146,2,Jászai Mari tér,Közvágóhíd H
BPO220,Ikarus 412-es típusú autóbusz,BUS,47.423973,19.234673,236A,Havanna utcai lakótelep,"Ganztelep, Mednyánszky u."
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.416615,19.131107,123A,Szentlőrinci úti ltp.,Határ út M
LOV869,VanHool AG318 csuklós autóbusz,BUS,47.389328,19.16204,54,"Péterimajor, Víztorony tér",Boráros tér H
V1448,Ganz csuklós,TRAM,47.47514,19.039848,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2209,CAF 5 modulos szerelvény,TRAM,47.519276,19.091146,3,Mexikói út M,Gubacsi út / Határ út
V2208,CAF 5 modulos szerelvény,TRAM,47.448673,19.104113,3,Mexikói út M,Gubacsi út / Határ út
LOV874,VanHool AG318 csuklós autóbusz,BUS,47.464043,19.079174,23E,Boráros tér H,Pesterzsébeti lakótelep
V1444,Ganz csuklós,TRAM,47.47132,19.073008,2,Jászai Mari tér,Közvágóhíd H
V2205,CAF 5 modulos szerelvény,TRAM,47.511913,19.125015,3,Mexikói út M,Gubacsi út / Határ út
LOV875,VanHool AG318 csuklós autóbusz,BUS,47.47976,19.06709,,,
V1443,Ganz csuklós,TRAM,47.469906,19.025194,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2204,CAF 5 modulos szerelvény,TRAM,47.443897,19.096025,3,Mexikói út M,Gubacsi út / Határ út
V2207,CAF 5 modulos szerelvény,TRAM,47.50242,19.13686,3,Mexikói út M,Gubacsi út / Határ út
V1445,Ganz csuklós,TRAM,47.460953,19.041775,47,Városház tér,Deák Ferenc tér M
V2206,CAF 5 modulos szerelvény,TRAM,47.446224,19.100447,3,Mexikói út M,Gubacsi út / Határ út
