licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,47.471092,19.073154,2,Jászai Mari tér,Közvágóhíd H
LOV871,VanHool AG318 csuklós autóbusz,BUS,47.457863,19.143913,50,Lajosmizsei sorompó,Határ út M
V2112,CAF 9 modulos szerelvény,TRAM,47.440712,19.035591,,,
LOV872,VanHool AG318 csuklós autóbusz,BUS,47.454315,19.152208,50,Lajosmizsei sorompó,Határ út M
V1442,Ganz csuklós,TRAM,47.470222,19.02479,,,
LOV873,VanHool AG318 csuklós autóbusz,BUS,47.46247,19.08053,54,"Péterimajor, Víztorony tér",Boráros tér H
V1441,Ganz csuklós,TRAM,47.467926,19.075716,2,Jászai Mari tér,Közvágóhíd H
V4331,Tátra T5C5K,TRAM,47.487206,19.02465,61,Móricz Zs. körtér M,Hűvösvölgy
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.416275,19.134756,123,"Soroksár, IKEA áruház",Határ út M
LOV869,VanHool AG318 csuklós autóbusz,BUS,47.39911,19.178701,54,"Péterimajor, Víztorony tér",Boráros tér H
V2209,CAF 5 modulos szerelvény,TRAM,47.443398,19.095951,3,Mexikói út M,Gubacsi út / Határ út
V1448,Ganz csuklós,TRAM,47.465794,19.021849,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2208,CAF 5 modulos szerelvény,TRAM,47.511803,19.125235,3,Mexikói út M,Gubacsi út / Határ út
LOV874,VanHool AG318 csuklós autóbusz,BUS,47.44367,19.096794,23E,Boráros tér H,Pesterzsébeti lakótelep
V1444,Ganz csuklós,TRAM,47.490513,19.051876,2,Jászai Mari tér,Közvágóhíd H
V2205,CAF 5 modulos szerelvény,TRAM,47.455738,19.114653,3,Mexikói út M,Gubacsi út / Határ út
V4339,Tátra T5C5,TRAM,47.5406,19.041409,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V2204,CAF 5 modulos szerelvény,TRAM,47.519215,19.091303,3,Mexikói út M,Gubacsi út / Határ út
V2207,CAF 5 modulos szerelvény,TRAM,47.522243,19.102732,3,Mexikói út M,Gubacsi út / Határ út
V1445,Ganz csuklós,TRAM,47.48666,19.056702,47,Városház tér,Deák Ferenc tér M
V2206,CAF 5 modulos szerelvény,TRAM,47.517525,19.094025,3,Mexikói út M,Gubacsi út / Határ út
V2212,CAF 5 modulos szerelvény,TRAM,47.477364,19.121279,3,Mexikói út M,Gubacsi út / Határ út
V1451,Ganz csuklós,TRAM,47.511707,19.047245,2,Jászai Mari tér,Közvágóhíd H
LOV881,VanHool AG318 csuklós autóbusz,BUS,47.42832,19.156303,,,
V1450,Ganz csuklós,TRAM,47.478954,19.050076,47,Városház tér,Deák Ferenc tér M
V2211,CAF 5 modulos szerelvény,TRAM,47.471924,19.112574,3,Mexikói út M,Gubacsi út / Határ út
V2214,CAF 5 modulos szerelvény,TRAM,47.465202,19.123207,3,Mexikói út M,Gubacsi út / Határ út
LRV480,Renault ND Master mozgáskorl. száll.,BUS,47.550243,19.041597,,,
LOV878,VanHool AG318 csuklós autóbusz,BUS,47.41722,19.130756,223M,Boráros tér H,Szentlőrinci úti ltp.
BPO231,Ikarus 412-es típusú autóbusz,BUS,47.46741,19.249159,98,Rákoscsaba vasútállomás,Kőbánya-Kispest M
V2210,CAF 5 modulos szerelvény,TRAM,47.499706,19.13745,3,Mexikói út M,Gubacsi út / Határ út
V2219,CAF 5 modulos szerelvény,TRAM,47.50989,19.128523,3,Mexikói út M,Gubacsi út / Határ út
BPO234,Ikarus 412-es típusú autóbusz,BUS,47.427795,19.221912,236A,Havanna utcai lakótelep,"Ganztelep, Mednyánszky u."
V2216,CAF 5 modulos szerelvény,TRAM,47.443607,19.09553,3,Mexikói út M,Gubacsi út / Határ út
LRV481,Renault ND Master mozgáskorl. száll.,BUS,47.573055,19.102787,MOZG,Különjárat,Különjárat
LRV482,Renault ND Master mozgáskorl. száll.,BUS,47.525597,19.082561,,,
V2215,CAF 5 modulos szerelvény,TRAM,47.494938,19.13977,3,Mexikói út M,Gubacsi út / Határ út
